year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2014,11,0,48.9,16,15.933,16,13.0,16,0.003695,16,3.449,44
2014,11,1,33.2,6,20.892,6,13.0,6,0.002997,6,3.688,21
2014,11,2,38.2,8,8.853,8,12.5,8,0.001983,8,4.010,30
2014,11,3,29.3,5,14.796,5,12.0,5,0.003337,5,4.228,17
2014,11,4,42.0,9,13.133,9,15.0,9,0.001704,9,6.346,19
2014,11,5,32.3,11,15.273,11,11.0,11,0.001622,11,4.301,26
2014,11,6,38.1,18,22.685,18,13.5,18,0.001544,18,4.353,28
2014,11,7,102.2,4,13.831,4,14.0,4,0.001245,4,4.338,27
2014,11,8,33.9,25,10.628,25,14.0,25,0.001088,25,4.028,53
2014,11,9,40.9,32,13.485,32,13.0,32,0.002795,32,4.212,54
2014,11,10,75.3,23,16.190,23,12.0,23,0.004294,23,4.009,73
2014,11,11,64.6,19,11.855,19,13.0,19,0.002796,19,4.135,69
2014,11,12,45.8,19,15.185,19,13.0,19,0.001972,19,3.950,49
2014,11,13,33.2,30,10.172,30,12.5,30,0.001657,30,4.102,59
2014,11,14,40.0,25,18.877,25,14.0,25,0.001848,25,4.008,65
2014,11,15,63.0,21,8.707,21,14.0,21,0.003536,21,4.154,51
2014,11,16,43.9,31,18.348,31,13.0,31,0.001518,31,4.339,66
2014,11,17,39.0,27,12.429,27,13.0,27,0.001575,27,4.017,69
2014,11,18,53.7,33,13.314,33,17.0,33,0.001241,33,3.566,75
2014,11,19,46.1,35,13.926,35,15.0,35,0.002185,35,3.911,76
2014,11,20,53.4,55,11.114,55,17.0,55,0.002053,55,4.005,114
2014,11,21,42.4,34,15.431,34,15.5,34,0.002496,34,4.135,73
2014,11,22,45.1,33,13.952,33,12.0,33,0.001139,33,3.213,58
2014,11,23,39.4,33,7.938,33,15.0,33,0.002189,33,3.475,70
2014,12,0,48.6,71,15.226,71,14.0,71,0.002217,71,3.580,149
2014,12,1,38.2,41,16.449,41,12.0,41,0.001853,41,3.907,118
2014,12,2,49.5,29,18.888,29,14.0,29,0.000695,29,4.137,84
2014,12,3,30.7,26,17.053,26,14.5,26,0.001057,26,3.901,73
2014,12,4,41.0,27,15.258,27,14.0,27,0.002026,27,3.770,67
2014,12,5,43.8,28,15.022,28,15.0,28,0.001048,28,3.616,56
2014,12,6,45.1,24,12.508,24,16.0,24,0.001472,24,3.995,55
2014,12,7,40.6,38,13.488,38,15.0,38,0.001804,38,3.289,97
2014,12,8,32.0,30,16.066,30,11.5,30,0.001904,30,4.362,88
2014,12,9,41.8,57,12.530,57,15.0,57,0.001068,57,4.019,123
2014,12,10,47.3,49,19.870,49,14.0,49,0.001009,49,4.047,124
2014,12,11,48.9,52,14.924,52,13.0,52,0.002742,52,3.725,138
2014,12,12,36.5,60,20.499,60,13.0,60,0.001299,60,4.154,138
2014,12,13,44.7,76,14.509,76,13.0,76,0.002123,76,3.966,176
2014,12,14,32.7,57,15.203,57,12.0,57,0.001374,57,3.948,142
2014,12,15,37.9,55,17.482,55,14.0,55,0.002906,55,4.164,123
2014,12,16,46.6,76,17.110,76,13.0,76,0.001057,76,4.149,175
2014,12,17,38.7,93,14.178,93,14.0,93,0.001492,93,4.141,234
2014,12,18,42.2,110,18.338,110,14.0,110,0.002171,110,3.998,232
2014,12,19,47.1,125,13.983,125,15.0,125,0.002260,125,4.077,245
2014,12,20,45.9,79,15.892,79,16.0,79,0.001143,79,3.961,200
2014,12,21,53.1,94,11.403,94,17.5,94,0.003215,94,3.499,205
2014,12,22,52.8,82,12.390,82,12.5,82,0.001746,82,3.986,197
2014,12,23,44.9,98,11.501,98,14.0,98,0.001130,98,4.138,210
2015,1,0,46.1,46,15.806,46,15.0,46,0.001397,46,3.448,122
2015,1,1,51.0,51,13.868,51,14.0,51,0.001823,51,3.737,135
2015,1,2,42.3,43,15.603,43,14.0,43,0.001026,43,3.994,90
2015,1,3,53.9,30,13.486,30,13.0,30,0.000826,30,2.891,73
2015,1,4,39.5,19,18.083,19,13.0,19,0.001044,19,2.519,45
2015,1,5,43.4,27,14.434,27,14.0,27,0.001275,27,2.547,60
2015,1,6,48.7,35,14.514,35,14.0,35,0.001142,35,1.724,75
2015,1,7,47.7,50,15.241,50,15.5,50,0.001490,50,3.707,92
2015,1,8,40.8,34,22.136,34,14.5,34,0.001392,34,4.216,79
2015,1,9,44.9,40,13.770,40,13.5,40,0.000698,40,3.114,100
2015,1,10,42.9,56,15.396,56,14.0,56,0.001040,56,2.890,123
2015,1,11,46.8,51,17.063,51,14.0,51,0.001415,51,4.047,129
2015,1,12,40.5,56,17.807,56,14.0,56,0.000932,56,4.074,113
2015,1,13,36.9,67,13.122,67,14.0,67,0.001096,67,3.523,149
2015,1,14,45.8,75,15.092,75,14.0,75,0.000864,75,4.144,169
2015,1,15,39.5,59,16.061,59,14.0,59,0.000754,59,3.507,163
2015,1,16,43.8,90,20.525,90,13.0,90,0.001920,90,4.112,215
2015,1,17,52.4,107,15.028,107,15.0,107,0.001599,107,3.953,209
2015,1,18,50.3,110,12.750,110,16.0,110,0.001260,110,4.142,261
2015,1,19,46.8,133,14.311,133,16.0,133,0.002293,133,4.137,262
2015,1,20,54.5,129,14.538,129,19.0,129,0.002119,129,4.108,306
2015,1,21,48.1,93,17.207,93,16.0,93,0.001607,93,4.131,225
2015,1,22,48.2,113,12.193,113,15.0,113,0.001713,113,4.032,228
2015,1,23,36.3,62,23.901,62,12.0,62,0.000928,62,4.154,163
2015,2,0,51.1,48,18.538,48,12.0,48,0.001181,48,1.762,104
2015,2,1,54.7,45,15.150,45,13.0,45,0.001082,45,4.137,91
2015,2,2,40.5,27,14.919,27,14.0,27,0.000980,27,3.685,66
2015,2,3,38.7,23,15.063,23,14.0,23,0.000741,23,4.119,49
2015,2,4,50.6,17,14.367,17,14.0,17,0.001276,17,4.151,41
2015,2,5,42.0,27,19.217,27,15.0,27,0.000914,27,4.048,51
2015,2,6,38.6,23,14.739,23,14.0,23,0.000957,23,1.799,62
2015,2,7,41.2,42,11.521,42,12.0,42,0.001518,42,3.633,95
2015,2,8,43.4,46,15.887,46,14.0,46,0.001553,46,4.239,118
2015,2,9,50.7,34,19.608,34,13.0,34,0.001938,34,4.288,82
2015,2,10,40.6,41,16.093,41,13.0,41,0.001072,41,4.304,105
2015,2,11,48.8,43,13.538,43,15.0,43,0.001892,43,4.257,114
2015,2,12,39.9,37,15.528,37,15.0,37,0.000899,37,3.923,98
2015,2,13,47.1,41,16.964,41,12.0,41,0.002717,41,4.291,125
2015,2,14,52.4,53,10.305,53,14.0,53,0.000999,53,4.096,132
2015,2,15,42.3,52,14.912,52,13.5,52,0.001664,52,4.076,99
2015,2,16,47.6,64,17.934,64,13.0,64,0.001544,64,4.210,161
2015,2,17,45.1,84,14.144,84,13.0,84,0.001509,84,4.115,189
2015,2,18,59.5,95,8.783,95,15.0,95,0.002481,95,3.882,175
2015,2,19,48.1,68,13.758,68,13.0,68,0.002080,68,4.094,184
2015,2,20,42.1,116,17.079,116,14.0,116,0.001265,116,4.143,245
2015,2,21,46.1,110,15.800,110,13.5,110,0.001703,110,4.080,235
2015,2,22,52.3,107,15.225,107,13.0,107,0.000845,107,4.055,211
2015,2,23,49.8,63,15.478,63,13.0,63,0.000757,63,3.906,158
2015,3,0,45.3,55,11.331,55,13.0,55,0.001759,55,2.717,140
2015,3,1,80.8,26,14.487,26,13.0,26,0.001118,26,3.786,67
2015,3,2,58.6,25,13.590,25,16.0,25,0.000746,25,3.347,56
2015,3,3,35.4,5,24.777,5,9.0,5,0.000544,5,4.044,37
2015,3,4,47.9,15,23.184,15,12.0,15,0.000752,15,3.812,41
2015,3,5,37.1,25,15.178,25,14.0,25,0.001926,25,3.619,42
2015,3,6,49.1,28,11.986,28,12.5,28,0.002354,28,2.701,58
2015,3,7,53.3,34,21.712,34,12.0,34,0.002486,34,4.170,71
2015,3,8,49.1,30,19.198,30,13.0,30,0.001868,30,4.458,71
2015,3,9,53.2,34,27.522,34,14.5,34,0.001565,34,4.237,84
2015,3,10,44.3,37,15.532,37,13.0,37,0.001636,37,4.098,95
2015,3,11,45.9,49,14.367,49,15.0,49,0.002087,49,4.048,108
2015,3,12,45.9,48,14.888,48,13.0,48,0.001075,48,4.030,97
2015,3,13,44.6,45,15.624,45,15.0,45,0.001146,45,4.016,95
2015,3,14,39.6,59,15.249,59,12.0,59,0.001033,59,4.330,123
2015,3,15,53.9,61,16.472,61,12.0,61,0.001405,61,4.241,140
