year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2014,9,24,80.3,22,10.037,22,25.0,22,0.003759,22,1.746,50
2014,9,25,62.5,59,7.750,59,28.0,59,0.003565,59,2.309,160
2014,9,26,64.5,76,8.760,76,25.0,76,0.002316,76,3.166,159
2014,9,27,69.1,80,8.450,80,25.0,80,0.003005,80,1.776,155
2014,9,28,62.9,72,13.227,72,25.0,72,0.001852,72,1.823,171
2014,9,29,58.9,55,7.305,55,27.0,55,0.001984,55,1.506,124
2014,9,30,42.1,57,11.044,57,24.0,57,0.001239,57,3.426,124
2014,10,1,88.2,49,9.556,49,26.0,49,0.001810,49,1.154,122
2014,10,2,55.8,58,10.814,58,24.0,58,0.001545,58,1.721,105
2014,10,3,48.8,51,10.328,51,25.0,51,0.002215,51,1.721,111
2014,10,4,60.7,57,11.346,57,25.0,57,0.001660,57,1.820,142
2014,10,5,57.0,59,10.129,59,25.0,59,0.001479,59,1.661,148
2014,10,6,48.2,49,13.682,49,23.0,49,0.001508,49,1.699,110
2014,10,7,58.6,60,6.659,60,25.0,60,0.002842,60,3.731,126
2014,10,8,56.1,78,9.651,78,24.0,78,0.002717,78,1.696,175
2014,10,9,60.7,39,14.392,39,25.0,39,0.001233,39,1.831,87
2014,10,10,63.2,52,9.948,52,25.0,52,0.002289,52,1.790,132
2014,10,11,58.1,62,14.782,62,25.0,62,0.000832,62,1.712,152
2014,10,12,56.2,67,9.160,67,24.0,67,0.001869,67,1.783,184
2014,10,13,56.3,59,13.904,59,23.0,59,0.002198,59,1.705,142
2014,10,14,51.7,75,8.298,75,25.0,75,0.003254,75,1.839,145
2014,10,15,49.3,90,19.450,90,24.0,90,0.002363,90,4.187,183
2014,10,16,58.7,71,13.761,71,24.0,71,0.001375,71,1.784,152
2014,10,17,54.5,66,11.123,66,23.0,66,0.001423,66,1.858,166
2014,10,18,51.9,74,13.109,74,25.0,74,0.001255,74,4.107,170
2014,10,19,52.9,76,9.463,76,25.0,76,0.003193,76,1.668,162
2014,10,20,68.2,93,6.351,93,25.0,93,0.003736,93,1.722,150
2014,10,21,50.7,92,12.975,92,24.0,92,0.001142,92,1.749,188
2014,10,22,53.6,59,12.135,59,25.0,59,0.002386,59,1.662,143
2014,10,23,57.0,86,10.836,86,26.0,86,0.001533,86,1.784,165
2014,10,24,45.5,51,12.957,51,24.0,51,0.002054,51,1.888,118
2014,10,25,71.7,69,14.503,69,28.0,69,0.001885,69,2.807,155
2014,10,26,55.9,82,14.069,82,25.0,82,0.002115,82,3.441,148
2014,10,27,66.6,52,14.924,52,25.0,52,0.002323,52,3.328,126
2014,10,28,56.8,93,12.652,93,25.0,93,0.001358,93,4.130,185
