month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.006069,70,55,70,103.8,70,3.076,70,0.5319,126
1,1,2012,0.008297,65,59,65,102.9,65,4.42,65,0.5386,103
1,2,2012,0.007394,38,51,38,84.37,38,4.908,38,0.5431,63
1,3,2012,0.006526,41,63,41,112.5,41,2.372,41,0.4824,53
1,4,2012,0.007134,32,52,32,84.54,32,4.95,32,0.7474,47
1,5,2012,0.007014,38,52.5,38,104.6,38,2.488,38,0.4854,56
1,6,2012,0.005839,28,50,28,72.72,28,5.231,28,0.483,51
1,7,2012,0.007873,28,60,28,87.09,28,3.505,28,0.6091,44
1,8,2012,0.00533,33,48,33,77.42,33,4.82,33,0.7596,51
1,9,2012,0.003307,38,49.5,38,74.66,38,5.74,38,0.7997,60
1,10,2012,0.005155,62,47,62,77.5,62,4.807,62,0.5177,111
1,11,2012,0.008714,50,53.5,50,85.56,50,4.443,50,0.4836,106
1,12,2012,0.006077,65,53,65,90.41,65,4.338,65,0.5481,105
1,13,2012,0.00467,72,52,72,87.81,72,3.586,72,0.5462,132
1,14,2012,0.005866,95,52,95,88.27,95,2.684,95,0.5542,156
1,15,2012,0.005505,91,48,91,85.11,91,4.565,91,0.5309,138
1,16,2012,0.004219,90,49,90,78,90,5.545,90,0.6641,154
1,17,2012,0.006228,84,54.5,84,88.47,84,3.723,84,0.5474,128
1,18,2012,0.005183,110,48,110,84.47,110,4.625,110,0.5907,180
1,19,2012,0.005466,95,49,95,80.45,95,4.734,95,0.7523,176
1,20,2012,0.005697,102,51,102,79.49,102,4.532,102,0.674,181
1,21,2012,0.006523,147,54,147,94.97,147,3.947,147,0.7195,218
1,22,2012,0.00608,122,54.5,122,95.02,122,2.821,122,0.5778,175
1,23,2012,0.005757,95,53,95,94.68,95,4.233,95,0.5424,161
2,0,2012,0.004167,72,47.5,72,72.3,72,7.193,72,0.6121,130
2,1,2012,0.005361,49,50,49,80.08,49,5.04,49,0.7579,75
2,2,2012,0.005454,43,49,43,85.58,43,4.859,43,0.7265,64
2,3,2012,0.005942,23,50,23,95.6,23,4.762,23,0.7585,44
2,4,2012,0.003488,24,43.5,24,81.56,24,6.173,24,0.5962,39
2,5,2012,0.004902,22,42,22,75.97,22,4.739,22,0.5282,49
2,6,2012,0.003667,33,44,33,76.86,33,5.031,33,0.7745,49
2,7,2012,0.003168,32,41,32,86.94,32,5.072,32,0.6053,53
2,8,2012,0.005447,50,40.5,50,77.95,50,7.922,50,0.7713,75
2,9,2012,0.005292,56,48.5,56,82.51,56,3.633,56,0.5415,98
2,10,2012,0.004536,70,54,70,79.83,70,7.606,70,0.7881,106
2,11,2012,0.004959,71,47,71,79.38,71,5.055,71,0.6587,119
2,12,2012,0.008223,90,51.5,90,105.7,90,2.686,90,0.5136,139
2,13,2012,0.007417,84,43,84,79.95,84,2.769,84,0.5085,139
2,14,2012,0.005789,81,46,81,82.58,81,3.843,81,0.5431,108
2,15,2012,0.006181,81,46,81,77.58,81,4.811,81,0.5458,123
2,16,2012,0.005027,82,47,82,79.27,82,4.698,82,0.5129,128
2,17,2012,0.004266,104,45,104,73.02,104,5.068,104,0.5415,176
2,18,2012,0.005329,103,46,103,78.28,103,5.005,103,0.5485,168
