month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.0115,28,52.5,28,92.92,28,2.746,28,0.3965,62
1,1,2012,0.01138,16,60,16,138.8,16,2.527,16,0.3964,46
1,2,2012,0.009957,21,48,21,137.2,21,2.442,21,0.4167,46
1,3,2012,0.0112,14,51,14,83.78,14,2.836,14,0.5844,27
1,4,2012,0.01201,8,43.5,8,70.47,8,3.41,8,0.4678,18
1,5,2012,0.01881,15,33,15,66.86,15,2.529,15,0.5089,26
1,6,2012,0.01292,10,51,10,97.77,10,4.081,10,0.4988,20
1,7,2012,0.01352,16,37,16,70.04,16,2.683,16,0.5235,29
1,8,2012,0.008486,24,38,24,90.3,24,4.777,24,0.5228,39
1,9,2012,0.007869,23,43,23,77.3,23,3.837,23,0.4811,43
1,10,2012,0.00624,19,43,19,76.33,19,3.564,19,0.4952,52
1,11,2012,0.008878,24,51.5,24,88.95,24,2.903,24,0.4051,48
1,12,2012,0.01181,35,38,35,74.47,35,3.671,35,0.5149,60
1,13,2012,0.01104,36,38.5,36,72.18,36,3.154,36,0.5055,73
1,14,2012,0.009896,44,50.5,44,75.43,44,3.323,44,0.5451,77
1,15,2012,0.01023,38,46.5,38,86.78,38,3.2,38,0.4231,76
1,16,2012,0.01064,36,53.5,36,90.15,36,1.659,36,0.4065,76
1,17,2012,0.0118,38,61.5,38,137.3,38,1.673,38,0.4128,72
1,18,2012,0.01316,55,59,55,129.2,55,2.608,55,0.4084,95
1,19,2012,0.01105,72,56,72,100.5,72,2.255,72,0.4204,110
1,20,2012,0.01327,63,56,63,105.8,63,1.812,63,0.3987,112
1,21,2012,0.009766,63,53,63,106.9,63,2.168,63,0.3773,120
1,22,2012,0.01017,67,54,67,121.6,67,2.064,67,0.4408,103
1,23,2012,0.01304,39,64,39,138.7,39,2.575,39,0.4094,82
2,0,2012,0.01906,22,60,22,103.4,22,2.04,22,0.4592,45
2,1,2012,0.01273,17,49,17,93.29,17,2.463,17,0.4912,33
2,2,2012,0.00519,20,57,20,97.54,20,3.64,20,0.5477,42
2,3,2012,0.004846,10,46.5,10,74.37,10,3.572,10,0.4915,21
2,4,2012,0.01003,10,54.5,10,73.78,10,7.853,10,0.4939,21
2,5,2012,0.004396,6,50,6,164.6,6,2.771,6,0.4093,19
2,6,2012,0.0145,4,59,4,109.6,4,3.142,4,0.4445,24
2,7,2012,0.009358,24,47,24,64.35,24,3.692,24,0.5166,37
2,8,2012,0.005212,17,50,17,95.17,17,2.124,17,0.525,29
2,9,2012,0.003212,26,43.5,26,80.17,26,4.781,26,0.6036,41
2,10,2012,0.006737,31,46,31,79.92,31,2.948,31,0.5331,47
2,11,2012,0.008275,19,57,19,96.67,19,2.857,19,0.4234,46
2,12,2012,0.005803,28,51,28,74.21,28,4.644,28,0.5414,56
2,13,2012,0.005388,38,43.5,38,71.65,38,4.449,38,0.6254,64
2,14,2012,0.0144,24,44,24,64.23,24,2.259,24,0.5144,52
2,15,2012,0.008706,24,56.5,24,127.4,24,2.787,24,0.4126,61
2,16,2012,0.006278,31,55,31,104.9,31,1.995,31,0.543,65
2,17,2012,0.006694,36,54,36,87.51,36,2.725,36,0.5553,57
2,18,2012,0.008598,39,49,39,98.73,39,3.415,39,0.5165,61
2,19,2012,0.00953,46,47.5,46,91.31,46,3.273,46,0.5196,73
2,20,2012,0.01293,53,46,53,88.27,53,2.544,53,0.4827,76
2,21,2012,0.0155,51,50,51,104.5,51,1.608,51,0.4121,99
2,22,2012,0.01028,61,54,61,92.23,61,2.791,61,0.4385,127
2,23,2012,0.01249,59,47,59,81.91,59,2.711,59,0.473,84
3,0,2012,0.006069,37,55,37,84.58,37,5.857,37,0.5563,64
3,1,2012,0.006848,23,56,23,84.29,23,4.422,23,0.5219,46
3,2,2012,0.006024,22,64.5,22,84.54,22,4.552,22,0.4652,38
3,3,2012,0.005936,12,64,12,90.72,12,2.791,12,0.4154,25
3,4,2012,0.006426,16,63,16,83.83,16,7.263,16,0.4345,32
3,5,2012,0.00606,12,62.5,12,111.3,12,5.727,12,0.5097,23
3,6,2012,0.006044,11,76,11,118.5,11,3.525,11,0.4804,24
3,7,2012,0.005784,12,44,12,81.44,12,6.926,12,0.5069,25
3,8,2012,0.005066,17,46,17,91.07,17,3.803,17,0.5309,36
3,9,2012,0.005535,13,52,13,91.12,13,2.828,13,0.4569,28
3,10,2012,0.01006,23,48,23,83.87,23,4.468,23,0.4112,48
3,11,2012,0.006397,27,45,27,64.36,27,8.543,27,0.5776,57
3,12,2012,0.01311,30,57,30,101.3,30,2.432,30,0.5622,58
3,13,2012,0.0101,26,51,26,103,26,1.643,26,0.5074,46
3,14,2012,0.006211,23,60,23,90.62,23,2.776,23,0.46,41
3,15,2012,0.01418,31,54,31,95.21,31,2.842,31,0.4639,61
3,16,2012,0.006098,46,58,46,85.16,46,3.615,46,0.5489,84
3,17,2012,0.01217,46,62,46,84.05,46,4.6,46,0.5735,75
3,18,2012,0.01445,36,58.5,36,84.2,36,2.649,36,0.4233,78
3,19,2012,0.008571,44,47,44,86.43,44,2.747,44,0.4603,83
3,20,2012,0.01002,61,39,61,84.51,61,3.123,61,0.5518,99
3,21,2012,0.009353,50,59.5,50,87.55,50,2.655,50,0.5272,83
3,22,2012,0.006043,65,57,65,101.8,65,3.434,65,0.5327,105
3,23,2012,0.007009,28,54.5,28,88.89,28,3.834,28,0.452,63
4,0,2012,0.006032,47,55,47,84.13,47,5.719,47,0.5901,72
4,1,2012,0.00615,34,63,34,84.03,34,8.885,34,0.6114,45
4,2,2012,0.005878,35,63,35,84.05,35,9.515,35,0.5969,56
4,3,2012,0.005852,14,59.5,14,83.9,14,7.421,14,0.4121,34
4,4,2012,0.006845,18,62.5,18,84.84,18,8.3,18,0.5288,31
4,5,2012,0.005969,16,62,16,84.01,16,9.269,16,0.6212,19
4,6,2012,0.006037,19,63,19,84.14,19,6.49,19,0.5964,27
4,7,2012,0.00803,16,54,16,73.51,16,4.555,16,0.5132,28
4,8,2012,0.005911,19,57,19,87.58,19,6.24,19,0.5984,35
4,9,2012,0.006103,24,58,24,82.31,24,5.766,24,0.5788,43
4,10,2012,0.005901,35,62,35,93.82,35,4.519,35,0.5527,55
4,11,2012,0.006971,14,62,14,83.58,14,3.72,14,0.5519,33
4,12,2012,0.005711,19,52,19,84.3,19,7.245,19,0.4064,46
4,13,2012,0.01172,31,60,31,118.7,31,2.171,31,0.5066,56
4,14,2012,0.006546,37,62,37,85.35,37,6.915,37,0.4843,70
4,15,2012,0.01405,37,62,37,84.18,37,3.286,37,0.4913,78
4,16,2012,0.01091,36,60.5,36,91.3,36,3.266,36,0.5382,60
4,17,2012,0.008763,36,57.5,36,83.21,36,2.797,36,0.5274,74
4,18,2012,0.01155,37,52,37,84.43,37,4.321,37,0.6006,67
4,19,2012,0.006011,48,63,48,85.76,48,6.125,48,0.5678,86
4,20,2012,0.006038,39,62,39,87.41,39,5.699,39,0.5541,73
4,21,2012,0.006489,65,52,65,94.61,65,4.807,65,0.565,99
4,22,2012,0.007593,52,52.5,52,84.87,52,3.469,52,0.5079,96
4,23,2012,0.006045,52,62,52,84.26,52,4.983,52,0.5607,77
5,0,2012,0.008052,35,57,35,89.25,35,2.939,35,0.4666,60
5,1,2012,0.008871,35,62,35,90.65,35,4.23,35,0.5562,61
5,2,2012,0.006654,30,61,30,82.46,30,7.206,30,0.6156,50
5,3,2012,0.006341,20,60,20,87.54,20,7.401,20,0.5971,38
5,4,2012,0.005569,8,61.5,8,93.69,8,4.464,8,0.4077,21
5,5,2012,0.005776,8,61.5,8,75.58,8,9.194,8,0.6152,17
5,6,2012,0.005894,13,61,13,83.02,13,4.904,13,0.3881,23
5,7,2012,0.004904,13,62,13,82.68,13,6.106,13,0.5429,21
5,8,2012,0.009252,13,61,13,82.2,13,6.02,13,0.53,26
5,9,2012,0.006473,19,52,19,89.4,19,6.416,19,0.5439,40
5,10,2012,0.004301,16,54.5,16,75.58,16,6.494,16,0.5219,37
5,11,2012,0.007788,27,59,27,86.6,27,3.737,27,0.5541,47
5,12,2012,0.006613,23,57,23,87.72,23,3.75,23,0.5318,50
5,13,2012,0.006296,29,44,29,79.73,29,3.762,29,0.5032,61
5,14,2012,0.006185,41,59,41,87.67,41,2.852,41,0.5246,67
5,15,2012,0.006456,46,54.5,46,83.56,46,5.421,46,0.544,74
5,16,2012,0.008395,36,54,36,77.95,36,5.195,36,0.5434,67
5,17,2012,0.006415,56,53.5,56,87.55,56,5.673,56,0.62,87
5,18,2012,0.006284,50,55.5,50,90.53,50,5.319,50,0.5515,81
5,19,2012,0.008489,41,57,41,81.91,41,4.418,41,0.5264,76
5,20,2012,0.007149,42,53.5,42,86.36,42,4.959,42,0.5105,65
5,21,2012,0.01164,37,55,37,90.56,37,3.272,37,0.572,60
5,22,2012,0.008011,62,52,62,85.5,62,3.126,62,0.5249,106
5,23,2012,0.007805,44,58,44,85.24,44,3.966,44,0.4102,86
6,0,2012,0.01919,32,60.5,32,86.53,32,2.001,32,0.5407,56
6,1,2012,0.006361,17,63,17,90.44,17,4.917,17,0.5333,38
6,2,2012,0.007361,25,63,25,90.47,25,6.222,25,0.6041,42
6,3,2012,0.004196,16,86.5,16,102.8,16,4.435,16,0.6032,27
6,4,2012,0.0129,11,60,11,82.2,11,1.382,11,0.5276,22
6,5,2012,0.01213,12,65,12,120.8,12,2.675,12,0.5548,20
6,6,2012,0.006154,9,61,9,93.54,9,1.435,9,0.477,23
6,7,2012,0.006318,15,74,15,110.5,15,2.748,15,0.4979,23
6,8,2012,0.00791,18,48.5,18,86.69,18,3.813,18,0.5617,32
6,9,2012,0.006375,21,49,21,88.36,21,3.482,21,0.5244,41
6,10,2012,0.006448,17,48,17,72.9,17,5.41,17,0.5407,33
6,11,2012,0.007587,28,50,28,85.14,28,2.932,28,0.5114,51
6,12,2012,0.009724,27,56,27,102.3,27,2.78,27,0.4101,47
6,13,2012,0.006318,20,54.5,20,87.57,20,6.803,20,0.4103,50
6,14,2012,0.01416,41,57,41,95.75,41,2.478,41,0.4107,68
6,15,2012,0.006263,34,63.5,34,93.52,34,2.971,34,0.4502,50
6,16,2012,0.01063,30,60.5,30,92.58,30,3.384,30,0.4328,53
6,17,2012,0.006432,30,51.5,30,93.11,30,4.827,30,0.4131,58
6,18,2012,0.005804,28,60,28,101.5,28,3.44,28,0.4816,58
6,19,2012,0.0065,33,63,33,93.75,33,3.646,33,0.5887,65
6,20,2012,0.007042,40,53.5,40,89.88,40,3.404,40,0.4335,75
6,21,2012,0.01126,49,61,49,141.3,49,2.753,49,0.4758,84
6,22,2012,0.009507,50,59,50,89.85,50,4.329,50,0.4831,81
6,23,2012,0.009109,36,48,36,87.01,36,3.545,36,0.4113,69
7,0,2012,0.01266,39,50,39,83.39,39,3.459,39,0.4352,73
7,1,2012,0.008744,24,52.5,24,85.86,24,5.102,24,0.4561,51
7,2,2012,0.006344,22,53,22,83.25,22,6.402,22,0.624,41
7,3,2012,0.007538,10,66.5,10,125.1,10,4.889,10,0.639,29
7,4,2012,0.003724,8,52.5,8,89.7,8,3.719,8,0.5493,16
7,5,2012,0.01063,11,42,11,79.99,11,4.845,11,0.4785,21
7,6,2012,0.01328,5,32,5,44.11,5,5.15,5,0.4734,19
7,7,2012,0.009095,4,30.5,4,53.48,4,3.203,4,0.5023,10
7,8,2012,0.005021,14,47,14,108,14,2.873,14,0.4817,33
