month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.001416,46,18.5,46,36.64,46,14.23,46,3.576,69
1,2,2012,0.001391,48,20.5,48,40.33,48,12.18,48,2.681,65
1,3,2012,0.0007241,34,18.5,34,35.52,34,15.46,34,2.692,57
1,4,2012,0.001079,47,18,47,43.53,47,12.81,47,2.679,74
1,5,2012,0.001929,43,19,43,49.43,43,10.78,43,3.048,63
1,6,2012,0.0006643,36,19,36,36.04,36,14.67,36,2.691,51
1,7,2012,0.0007574,39,18,39,32.63,39,17.39,39,3.214,65
1,8,2012,0.001447,56,19,56,46.17,56,9.222,56,3.001,77
1,9,2012,0.00107,29,18,29,41,29,13.36,29,2.692,47
1,10,2012,0.002291,32,21.5,32,47.64,32,10.61,32,2.248,55
1,11,2012,0.001082,20,16.5,20,34.92,20,17.15,20,4.072,36
1,12,2012,0.01239,34,19.5,34,42.08,34,3.18,34,3.636,47
1,13,2012,0.00579,35,23,35,56.12,35,2.834,35,2.81,47
1,14,2012,0.005978,33,19,34,36.56,34,4.46,34,3.212,59
1,15,2012,0.01061,46,18,46,35.52,46,3.516,46,3.451,56
1,16,2012,0.006206,42,19,42,50.76,42,3.71,42,3.034,55
1,17,2012,0.003191,45,17,45,32.35,45,6.635,45,3.129,66
1,18,2012,0.001672,41,18,41,34.36,41,13.48,41,3.212,57
1,19,2012,0.002374,45,18,45,34.34,45,11.05,45,3.894,54
1,20,2012,0.001106,38,15.5,38,27.69,38,14.41,38,2.651,47
1,21,2012,0.002127,70,19,70,38.66,70,9.563,70,2.973,77
1,22,2012,0.003428,61,19,61,35.2,61,7.853,61,2.772,76
1,23,2012,0.007251,31,18,31,35.5,31,5.812,31,2.692,44
1,24,2012,0.0004821,26,15,26,34.07,26,14.23,26,2.688,42
1,25,2012,0.001234,46,15.5,46,28.78,46,12.75,46,2.652,65
1,26,2012,0.001604,27,17,27,28.27,27,8.984,27,2.672,36
1,27,2012,0.004659,78,26.5,78,91.4,78,2.587,78,2.48,106
1,28,2012,0.00137,81,21,81,49.96,81,5.129,81,2.678,101
1,29,2012,0.002085,52,19,52,36.78,52,6.046,52,2.638,68
1,30,2012,0.001886,36,17.5,36,35.38,36,10.56,36,2.754,54
1,31,2012,0.001879,48,17,48,32.13,48,8.975,48,3.325,64
2,1,2012,0.001834,35,16,35,30.37,35,10.36,35,2.632,54
2,2,2012,0.002006,54,17.5,54,27.78,54,11.06,54,2.836,68
2,3,2012,0.001126,34,19,34,32.81,34,11.79,34,2.693,47
2,4,2012,0.001116,35,18,35,37.04,35,9.351,35,3.094,52
2,5,2012,0.0009809,61,18,61,38.73,61,9.669,61,2.892,80
2,6,2012,0.001228,30,18,30,38,30,9.815,30,3.537,47
2,7,2012,0.0008421,35,17,35,29.46,35,14.41,35,3.051,43
2,8,2012,0.001464,28,19,28,37.27,28,12.69,28,3.013,41
2,9,2012,0.001349,46,16,46,38.25,46,9.775,46,3.734,63
2,10,2012,0.001052,61,19,61,38.66,61,13.93,61,3.61,71
2,11,2012,0.001283,45,17,45,32.45,45,13.47,45,3.533,67
2,12,2012,0.001348,45,18,45,38.68,45,11.23,45,3.055,65
2,13,2012,0.001144,48,18,48,34.32,48,13.46,48,3.656,63
2,14,2012,0.001315,44,17,44,36.38,44,11.46,44,3.046,57
2,15,2012,0.001214,36,19,36,38.81,36,10.04,36,3.454,48
2,16,2012,0.0006735,35,18,35,30.77,35,16.59,35,3.613,45
2,17,2012,0.001161,28,20,28,37.33,28,14.26,28,3.011,38
2,18,2012,0.0008177,52,17,52,34.95,52,17.7,52,3.588,68
2,19,2012,0.001042,56,19,56,40.86,56,13.35,56,3.213,79
2,20,2012,0.001334,45,19,46,40.44,46,12.06,46,3.373,57
2,21,2012,0.0009087,33,16,33,38.18,33,14.05,33,3.013,47
2,22,2012,0.001034,36,18,36,42.4,36,7.757,36,2.649,57
2,23,2012,0.001216,24,17.5,24,31.18,24,15.72,24,3.377,37
2,24,2012,0.0009933,42,19,42,34.28,42,12.82,42,3.21,55
2,25,2012,0.001311,51,19,51,45.95,51,11.18,51,3.166,69
2,26,2012,0.001211,59,19,59,47.92,59,10.96,59,3.271,88
