month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.001527,85,19,85,43.58,85,6.699,85,2.689,101
1,1,2012,0.001307,42,18.5,42,35.07,42,9.584,42,2.692,55
1,2,2012,0.001629,39,19,39,51.8,39,6.252,39,2.652,63
1,3,2012,0.001486,31,19,31,35.98,31,11.62,31,3.087,37
1,4,2012,0.001593,18,16.5,18,32.5,18,13.86,18,3.218,23
1,5,2012,0.0009831,28,15,28,22.51,28,19.25,28,2.693,31
1,6,2012,0.001132,21,15,21,31.37,21,14.35,21,2.92,33
1,7,2012,0.001009,21,17,21,32.69,21,13.56,21,2.609,35
1,8,2012,0.0009604,22,18,22,34.46,22,12.41,22,2.917,32
1,9,2012,0.0008129,36,18,36,29.87,36,9.031,36,2.693,50
1,10,2012,0.001531,42,16.5,42,32.32,42,13.56,42,3.47,66
1,11,2012,0.001049,52,17.5,52,35.34,52,12.44,52,3.239,75
1,12,2012,0.00285,65,20,65,49.78,65,4.418,65,2.726,82
1,13,2012,0.002734,64,18,64,36.16,64,10.88,64,3.515,93
1,14,2012,0.001478,62,18,63,34.87,63,13.29,63,2.646,84
1,15,2012,0.002379,53,19,53,41.11,53,7.612,53,2.973,87
1,16,2012,0.002093,58,18.5,58,40.83,58,8.297,58,3.566,83
1,17,2012,0.002114,71,18,71,34.11,71,10.83,71,3.049,101
1,18,2012,0.001743,79,19,79,37.29,79,11.81,79,2.746,112
1,19,2012,0.002589,84,19,84,41.61,84,6.576,84,2.771,126
1,20,2012,0.002806,87,19,87,35.68,87,9.813,87,3.46,123
1,21,2012,0.002168,92,19,92,38.81,92,7.518,92,2.651,131
1,22,2012,0.00289,88,20,88,42.96,88,6.871,88,2.682,123
1,23,2012,0.003153,105,22,105,50.74,105,4.943,105,2.693,134
2,0,2012,0.000895,72,17,72,34.32,72,14.55,72,3.632,86
2,1,2012,0.000956,41,19,41,41.76,41,13.46,41,3.615,52
2,2,2012,0.000737,26,17,26,31.51,26,18.56,26,3.415,38
2,3,2012,0.0009877,13,18,13,42.37,13,7.272,13,2.995,22
2,4,2012,0.001178,10,20,10,33.66,10,12.79,10,2.793,18
2,5,2012,0.001251,18,17.5,18,38.69,18,7.618,18,2.651,25
2,6,2012,0.0004181,13,19,13,28.99,13,17.13,13,2.81,22
2,7,2012,0.00166,16,18.5,16,32.94,16,13.89,16,3.569,26
2,8,2012,0.001112,25,18,25,34.86,25,18.44,25,2.683,45
2,9,2012,0.001128,42,17,43,32.23,43,15.38,43,2.851,62
2,10,2012,0.001003,52,18,52,36.86,52,14.56,52,3.533,67
2,11,2012,0.001116,49,18,49,34.45,49,12.54,49,3.252,66
2,12,2012,0.00144,44,18.5,44,36.65,44,10.1,44,3.047,67
2,13,2012,0.0008853,48,18,48,39.62,48,12.86,48,3.092,80
2,14,2012,0.001688,46,18,46,35.22,46,10.45,46,3.64,72
2,15,2012,0.0009913,65,19,65,40.39,65,11.31,65,2.668,78
2,16,2012,0.001033,75,16,75,38.14,75,12.72,75,3.247,98
2,17,2012,0.001005,69,18,69,37.53,69,14.68,69,3.031,104
2,18,2012,0.001594,74,19,74,42.52,74,8.106,74,3.294,99
2,19,2012,0.001159,69,19,69,38.18,69,13.03,69,3.053,95
2,20,2012,0.001317,91,19,91,44.47,91,8.57,91,3.491,122
2,21,2012,0.001084,71,19,71,38.81,71,10.51,71,3.013,93
2,22,2012,0.001238,88,18,88,37.28,88,10.81,88,3.566,103
2,23,2012,0.001235,89,17,89,35.19,89,13.08,89,3.174,126
3,0,2012,0.001916,77,19,77,42.1,77,12.77,77,3.629,115
3,1,2012,0.0008667,48,18.5,48,37.37,48,15.45,48,3.564,71
3,2,2012,0.0007612,21,17,21,33.16,21,17.61,21,3.388,32
3,3,2012,0.0005251,19,19,19,33.57,19,19.4,19,3.583,32
3,4,2012,0.0007105,23,16,23,27.81,23,22.27,23,2.652,31
3,5,2012,0.0005895,19,17,19,28.82,19,25.37,19,3.51,28
3,6,2012,0.001134,19,19,19,33.64,19,19.75,19,3.669,32
3,7,2012,0.001064,25,18,25,31.68,25,20.01,25,3.172,38
3,8,2012,0.0006782,33,18,33,34.72,33,17.16,33,3.606,41
3,9,2012,0.0011,43,17,43,34.18,43,15.77,43,3.052,54
3,10,2012,0.0007818,32,16.5,32,34.74,32,16.39,32,3.284,50
3,11,2012,0.001552,33,19,33,41.62,33,9.191,33,2.973,52
3,12,2012,0.001165,55,18,55,38.87,55,14.75,55,3.041,81
3,13,2012,0.0012,79,18,79,35.49,79,14.84,79,3.228,102
3,14,2012,0.0007205,64,18.5,64,42.18,64,12.41,64,3.049,97
3,15,2012,0.001257,59,18,59,39.45,59,11.28,59,3.615,88
3,16,2012,0.0008144,67,17,67,38.32,67,14.44,67,3.302,92
3,17,2012,0.001655,68,18,68,39.87,68,13.53,68,3.167,101
3,18,2012,0.000949,78,19,78,36.68,78,18.04,78,3.212,127
3,19,2012,0.001125,78,17,78,37.54,78,13.46,78,3.054,116
3,20,2012,0.001351,92,19,92,44.04,92,11.53,92,3.311,140
3,21,2012,0.001943,90,19.5,90,47.82,90,10.94,90,3.17,110
3,22,2012,0.001234,64,18.5,64,41.36,64,10.86,64,3.331,100
3,23,2012,0.001157,71,19,71,43.91,71,15.33,71,3.202,93
4,0,2012,0.001728,67,20,67,43.92,67,12.48,67,3.267,92
4,1,2012,0.00257,42,22,42,49.81,42,6.574,42,2.643,58
4,2,2012,0.002518,41,22,41,36.17,41,11.38,41,2.682,57
4,3,2012,0.0006303,18,18,18,37.84,18,17.94,18,2.684,28
4,4,2012,0.0008507,22,19,22,36.48,22,14.39,22,2.486,37
4,5,2012,0.0008215,14,17.5,14,40.47,14,18.64,14,2.764,31
4,6,2012,0.001005,12,18.5,12,34.5,12,19.63,12,4.494,15
4,7,2012,0.001661,12,23.5,12,33.73,12,9.63,12,3.228,38
4,8,2012,0.001347,27,18,27,40.22,27,14.08,27,3.025,48
4,9,2012,0.001273,34,19,34,36.5,34,15.45,34,3.233,54
4,10,2012,0.001213,36,19,36,35.18,36,18.56,36,3.147,56
4,11,2012,0.0008643,45,18,45,35.83,45,19.22,45,3.049,63
4,12,2012,0.001195,34,18,34,35.49,34,16.14,34,2.966,58
4,13,2012,0.001618,38,18,38,41.62,38,13.1,38,2.969,52
4,14,2012,0.0009214,47,18,47,40.66,47,11.83,47,2.81,67
4,15,2012,0.00124,60,19.5,60,37.96,60,15.61,60,3.531,75
4,16,2012,0.001693,43,19,43,40.96,43,14.24,43,3.164,64
4,17,2012,0.001398,53,18,53,35.48,53,14.24,53,3.054,81
4,18,2012,0.0009671,71,18,71,44.86,71,12.09,71,2.821,106
4,19,2012,0.001013,71,19,71,45.84,71,14.18,71,3.207,110
4,20,2012,0.001665,95,21,95,49.31,95,12.1,95,3.125,147
4,21,2012,0.00135,73,19,73,39.43,73,11.61,73,3.124,119
4,22,2012,0.001269,75,19,75,39.97,75,12.91,75,3.071,106
4,23,2012,0.001867,85,20,85,46.49,85,9.47,85,2.686,123
5,0,2012,0.0008728,53,19,53,39.21,53,14.34,53,3.481,80
5,1,2012,0.001614,54,19,54,43.28,54,14.43,54,3.048,75
5,2,2012,0.001896,25,19,25,35.62,25,17.97,25,3.055,43
