year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,1,57.1,203,8.753,203,29.0,203,0.002029,203,0.719,332
2012,1,2,55.7,151,7.981,151,28.0,151,0.002979,151,0.758,238
2012,1,3,47.8,131,11.611,131,18.0,131,0.001687,131,0.680,254
2012,1,4,64.2,171,8.196,171,24.0,171,0.002524,171,0.623,275
2012,1,5,68.3,111,9.466,111,29.0,111,0.001621,111,0.712,214
2012,1,6,48.9,121,9.881,121,29.0,121,0.002362,121,0.683,227
2012,1,7,54.4,162,9.577,162,22.5,162,0.002228,162,0.612,261
2012,1,8,50.3,176,10.476,176,27.0,176,0.002381,176,0.685,340
2012,1,9,52.9,120,9.899,120,20.0,120,0.002229,120,0.622,236
2012,1,10,62.7,155,8.645,155,28.0,155,0.002375,155,0.622,267
2012,1,11,53.9,126,10.726,126,29.0,126,0.002201,126,0.764,255
2012,1,12,52.7,170,9.414,170,26.0,170,0.002677,170,0.615,272
2012,1,13,54.2,162,11.505,162,25.5,162,0.002314,162,0.624,281
2012,1,14,52.0,197,11.559,197,25.0,197,0.001643,197,0.617,325
2012,1,15,56.1,188,10.725,188,27.5,188,0.002953,188,0.653,304
2012,1,16,59.5,176,9.639,176,24.5,176,0.002130,176,0.683,294
2012,1,17,55.7,167,11.008,167,30.0,167,0.002229,167,0.622,272
2012,1,18,61.8,139,9.905,139,28.0,139,0.002520,139,0.689,256
2012,1,19,53.1,149,11.671,149,29.0,149,0.001737,149,0.734,256
2012,1,20,50.1,123,9.634,123,27.0,123,0.002044,123,0.642,219
2012,1,21,61.2,187,9.084,187,29.0,187,0.002669,187,0.675,323
2012,1,22,57.5,186,10.046,186,26.0,186,0.002322,186,0.764,314
2012,1,23,51.5,154,10.212,154,27.0,154,0.002616,154,0.764,303
2012,1,24,54.1,140,8.752,140,25.0,140,0.002290,140,0.764,247
2012,1,25,55.2,175,8.588,175,25.0,175,0.002200,175,0.737,294
2012,1,26,49.2,162,11.270,162,24.5,162,0.002719,160,0.697,292
2012,1,27,50.5,180,11.152,180,24.5,180,0.001743,178,0.758,283
2012,1,28,54.7,201,10.402,201,26.0,201,0.002049,201,0.724,322
2012,1,29,53.2,217,8.719,217,28.0,217,0.002408,215,0.607,348
2012,1,30,57.1,136,9.485,136,31.0,136,0.002273,136,0.674,252
2012,1,31,60.7,153,8.910,153,30.0,153,0.001923,153,0.755,282
2012,2,1,52.1,143,10.352,143,25.0,143,0.002159,142,0.776,265
2012,2,2,52.1,157,8.549,157,20.0,157,0.001739,157,0.618,285
2012,2,3,48.7,180,11.462,180,24.5,180,0.002302,180,0.623,324
2012,2,4,54.7,239,11.208,239,26.0,239,0.001774,239,0.639,425
2012,2,5,55.1,176,10.822,177,28.0,176,0.001767,177,0.756,328
2012,2,6,59.7,181,9.632,181,28.0,181,0.002028,181,0.716,319
2012,2,7,53.3,184,11.128,184,24.0,184,0.001755,184,0.764,283
2012,2,8,58.1,196,10.167,196,26.5,196,0.001748,196,0.764,353
2012,2,9,53.4,209,11.107,209,28.0,209,0.001860,209,0.654,398
2012,2,10,50.5,201,12.078,201,28.0,201,0.001841,201,0.763,345
2012,2,11,52.0,236,9.651,236,25.0,236,0.001843,236,0.619,397
2012,2,12,51.7,212,10.947,213,26.0,212,0.002055,213,0.792,349
2012,2,13,48.2,196,11.703,196,29.0,196,0.001839,196,0.764,327
2012,2,14,51.6,161,11.362,161,25.0,161,0.002059,161,0.740,265
2012,2,15,53.5,193,10.736,193,24.0,193,0.002211,193,0.749,341
2012,2,16,56.2,205,9.996,205,27.0,205,0.001620,205,0.724,355
2012,2,17,50.6,174,11.599,174,28.0,174,0.001923,174,0.763,329
2012,2,18,56.1,244,10.764,244,28.0,244,0.001962,244,0.799,467
2012,2,19,54.1,269,10.074,269,28.0,269,0.002163,269,0.759,459
2012,2,20,55.2,245,9.805,245,26.0,245,0.001961,245,0.776,419
2012,2,21,52.5,212,11.419,212,24.0,212,0.001611,212,0.764,375
2012,2,22,54.7,194,9.401,194,21.0,194,0.001987,193,0.761,365
2012,2,23,57.5,223,9.568,223,28.0,223,0.002502,223,0.724,368
2012,2,24,54.1,213,11.404,213,25.0,213,0.002079,213,0.764,411
2012,2,25,53.3,236,9.629,236,26.0,236,0.002222,236,0.764,431
2012,2,26,53.3,262,10.665,262,28.0,262,0.002315,262,0.780,452
2012,2,27,52.5,197,11.831,197,28.0,197,0.002235,197,0.799,368
2012,2,28,48.9,186,11.641,186,24.0,186,0.001625,186,0.804,332
2012,2,29,54.5,205,10.220,205,26.0,205,0.001721,205,0.783,363
2012,3,1,53.1,201,10.919,201,26.0,201,0.002248,201,0.804,336
2012,3,2,53.4,205,11.344,205,32.0,205,0.001866,205,0.800,354
2012,3,3,54.0,232,10.462,232,23.0,232,0.002468,232,0.795,417
2012,3,4,54.9,228,9.872,228,31.0,228,0.002234,228,0.804,430
2012,3,5,51.9,200,9.705,200,27.0,200,0.002076,200,0.804,363
2012,3,6,60.8,173,8.587,173,32.0,173,0.003093,173,0.802,288
2012,3,7,54.5,198,9.550,198,28.0,198,0.001809,198,0.810,339
2012,3,8,48.7,219,11.420,219,26.0,219,0.001763,219,0.805,355
2012,3,9,49.0,194,12.372,194,25.5,194,0.002042,194,0.804,310
2012,3,10,55.3,239,10.727,239,28.0,239,0.001929,238,0.805,395
2012,3,11,55.9,210,10.167,210,26.0,210,0.002389,210,0.803,362
2012,3,12,51.0,175,11.334,175,28.0,175,0.001756,175,0.815,303
2012,3,13,53.5,175,9.947,175,24.0,175,0.001988,173,0.815,349
2012,3,14,48.2,173,12.603,173,25.0,173,0.001604,173,0.817,292
2012,3,15,48.0,171,13.229,171,24.0,171,0.001882,171,0.821,287
2012,3,16,49.3,138,12.267,138,27.0,138,0.001591,138,0.808,285
2012,3,17,53.9,191,9.607,191,25.0,191,0.002083,190,0.807,370
2012,3,18,52.0,175,9.932,175,26.0,175,0.001802,175,0.814,366
2012,3,19,52.4,210,11.761,210,25.0,210,0.001799,210,0.809,387
2012,3,20,55.6,189,8.123,189,30.0,189,0.002197,189,0.805,318
2012,3,21,54.1,140,12.387,140,28.5,140,0.001603,140,0.810,279
2012,3,22,48.8,173,9.581,174,26.0,173,0.002094,174,0.813,300
2012,3,23,50.9,142,12.152,142,28.0,142,0.002004,141,0.816,286
2012,3,24,49.3,201,11.274,201,27.0,201,0.001903,201,0.807,352
2012,3,25,53.3,223,9.026,223,29.0,223,0.002203,223,0.803,405
2012,3,26,48.2,208,13.074,208,25.5,208,0.001632,208,0.812,361
2012,3,27,58.2,168,10.050,168,29.0,168,0.002239,168,0.803,304
2012,3,28,53.0,157,8.789,157,25.0,157,0.001697,157,0.811,301
2012,3,29,55.8,176,8.262,176,28.0,176,0.001876,176,0.815,289
2012,3,30,48.0,141,11.599,141,26.0,141,0.002008,140,0.814,242
2012,3,31,49.6,225,13.476,225,26.0,225,0.001744,224,0.815,379
2012,4,1,50.6,218,10.682,218,22.0,218,0.001960,218,0.815,391
2012,4,2,48.7,232,11.524,232,26.0,232,0.001938,232,0.817,393
2012,4,3,54.0,182,10.525,182,28.5,182,0.002015,182,0.814,306
2012,4,4,50.8,152,11.682,152,29.0,152,0.002160,152,0.821,288
2012,4,5,49.4,174,13.878,174,29.0,174,0.001930,174,0.815,275
2012,4,6,47.7,201,11.727,201,25.0,201,0.001959,201,0.817,338
2012,4,7,53.2,236,12.262,236,26.0,236,0.001762,235,0.815,381
2012,4,8,51.4,171,12.066,171,26.0,171,0.002035,171,0.810,325
2012,4,9,50.1,198,9.674,198,27.0,198,0.001992,198,0.805,340
2012,4,10,53.5,180,10.729,180,30.0,180,0.002275,180,0.815,294
2012,4,11,54.7,193,9.036,193,29.0,193,0.001996,193,0.810,338
2012,4,12,52.9,160,11.227,160,23.5,160,0.001822,160,0.811,281
2012,4,13,54.0,176,10.989,176,24.0,176,0.002114,176,0.808,294
2012,4,14,58.0,217,9.576,217,25.0,217,0.001761,217,0.816,387
2012,4,15,51.9,202,11.088,203,23.5,202,0.002212,203,0.804,357
2012,4,16,55.9,164,12.534,164,28.5,164,0.001863,163,0.817,318
2012,4,17,51.0,151,10.787,151,23.0,151,0.001822,151,0.803,276
2012,4,18,51.7,143,12.395,143,25.0,143,0.001416,143,0.821,265
2012,4,19,46.5,164,12.392,164,24.0,164,0.001720,164,0.822,310
2012,4,20,57.4,149,12.618,150,31.0,149,0.002266,150,0.818,280
2012,4,21,52.0,198,10.531,198,25.5,198,0.002405,198,0.819,316
2012,4,22,53.5,230,9.784,230,23.5,230,0.002283,230,0.815,393
2012,4,23,53.0,213,8.138,213,33.0,213,0.002619,213,0.820,359
2012,4,24,54.9,188,9.352,188,31.0,188,0.002902,188,0.811,349
2012,4,25,50.5,174,11.312,174,29.5,174,0.002512,174,0.820,303
2012,4,26,49.4,156,9.580,156,28.0,156,0.002581,156,0.822,315
2012,4,27,55.2,168,8.864,168,31.0,168,0.002703,168,0.824,305
2012,4,28,54.4,196,11.142,196,27.5,196,0.001925,196,0.821,349
2012,4,29,58.0,220,10.504,220,28.0,220,0.002247,220,0.816,367
2012,4,30,59.2,215,9.447,215,28.0,215,0.001947,215,0.816,375
2012,5,1,55.0,178,10.321,178,32.0,178,0.002381,178,0.818,321
2012,5,2,54.1,145,8.394,145,32.0,145,0.002640,145,0.812,259
2012,5,3,54.6,190,10.951,190,32.0,190,0.002086,190,0.818,298
2012,5,4,51.4,160,13.122,160,25.0,160,0.002253,160,0.814,273
2012,5,5,57.6,193,10.288,193,32.0,193,0.002163,193,0.816,315
2012,5,6,59.7,215,9.310,215,28.0,215,0.002340,215,0.812,352
2012,5,7,50.3,190,11.225,190,26.0,190,0.001966,190,0.817,357
2012,5,8,54.9,202,8.894,202,30.5,202,0.002390,202,0.813,329
2012,5,9,56.5,200,11.745,200,31.5,200,0.001818,200,0.821,341
2012,5,10,52.9,190,11.178,190,29.0,190,0.002256,190,0.821,332
