year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,56.6,262,9.419,262,25.0,262,0.002261,262,0.623,441
2012,1,1,51.0,166,11.925,166,26.5,166,0.001822,166,0.617,289
2012,1,2,52.0,145,12.603,145,26.0,145,0.001899,145,0.723,236
2012,1,3,59.2,84,10.368,84,25.5,84,0.002076,84,0.759,152
2012,1,4,49.9,52,14.075,52,31.0,52,0.001470,52,0.713,95
2012,1,5,46.9,64,13.923,64,27.0,64,0.002029,64,0.761,102
2012,1,6,51.0,53,9.624,53,25.0,53,0.003270,53,0.759,112
2012,1,7,45.3,67,14.740,67,27.0,67,0.001490,67,0.729,140
2012,1,8,45.1,104,12.865,104,25.5,104,0.002244,103,0.792,192
2012,1,9,49.6,128,12.337,128,26.5,128,0.002052,128,0.769,245
2012,1,10,49.3,160,10.737,160,29.0,160,0.002140,160,0.758,281
2012,1,11,51.8,188,9.652,188,28.0,188,0.002178,188,0.760,341
2012,1,12,51.0,188,10.282,188,23.0,188,0.002388,186,0.692,359
2012,1,13,54.1,201,11.573,201,30.0,201,0.001971,201,0.746,347
2012,1,14,55.4,245,10.857,245,25.0,245,0.001776,245,0.761,417
2012,1,15,55.4,210,10.589,210,26.0,210,0.002000,210,0.676,383
2012,1,16,56.1,288,8.575,288,29.0,288,0.002552,288,0.757,464
2012,1,17,53.9,275,10.138,275,26.0,275,0.002026,275,0.752,505
2012,1,18,56.4,302,9.575,302,27.0,302,0.002051,300,0.635,515
2012,1,19,55.3,403,8.481,403,28.0,403,0.002785,402,0.622,651
2012,1,20,55.4,433,8.687,433,25.0,433,0.002304,433,0.622,698
2012,1,21,59.4,371,9.477,371,29.0,371,0.002479,371,0.711,641
2012,1,22,60.6,327,8.196,327,24.0,327,0.002838,327,0.602,519
2012,1,23,59.0,273,8.501,273,24.0,273,0.002853,273,0.611,513
2012,2,0,53.7,283,10.761,283,22.0,283,0.001858,283,0.638,480
2012,2,1,52.7,209,12.123,209,26.0,209,0.001874,209,0.699,381
2012,2,2,53.3,152,11.829,152,22.0,152,0.001402,152,0.783,292
2012,2,3,56.0,93,11.620,94,29.0,93,0.001797,94,0.759,184
2012,2,4,43.3,58,17.176,58,17.0,58,0.001292,58,0.804,127
2012,2,5,51.6,62,16.517,62,26.0,62,0.001898,62,0.801,119
2012,2,6,43.7,72,14.664,72,28.5,72,0.001253,72,0.815,136
2012,2,7,51.2,99,12.626,99,28.0,99,0.002350,99,0.804,180
2012,2,8,51.4,139,12.985,139,31.0,139,0.001618,138,0.804,276
2012,2,9,50.1,167,11.130,167,26.0,167,0.001856,167,0.797,326
2012,2,10,48.4,205,13.151,205,28.0,205,0.001763,205,0.762,374
2012,2,11,52.1,237,11.059,237,27.0,237,0.001854,237,0.763,417
2012,2,12,48.0,267,11.506,267,26.0,267,0.002087,267,0.724,462
2012,2,13,51.8,242,12.625,242,28.0,242,0.002037,242,0.803,450
2012,2,14,50.0,260,12.098,260,24.0,260,0.001802,260,0.735,477
2012,2,15,55.2,306,10.437,306,24.0,306,0.001722,306,0.760,547
2012,2,16,55.4,369,10.215,369,27.0,369,0.002277,369,0.772,618
2012,2,17,53.6,335,11.017,335,26.0,335,0.002210,335,0.764,593
2012,2,18,50.3,385,9.939,385,24.0,385,0.001920,385,0.763,663
2012,2,19,53.3,384,9.275,384,27.0,384,0.001963,384,0.757,671
2012,2,20,58.8,410,8.537,411,26.0,410,0.002157,411,0.718,693
2012,2,21,58.1,435,9.762,435,26.0,435,0.002289,435,0.734,690
2012,2,22,56.3,408,9.482,408,26.0,408,0.002203,407,0.745,709
2012,2,23,59.0,352,9.879,352,24.0,352,0.002197,352,0.731,633
2012,3,0,50.0,284,12.811,284,22.0,284,0.001601,282,0.815,520
2012,3,1,51.9,220,12.891,220,26.5,220,0.002112,220,0.816,414
2012,3,2,50.8,133,14.940,133,24.0,133,0.001589,133,0.814,269
2012,3,3,52.8,109,15.148,109,31.0,109,0.001839,109,0.805,208
2012,3,4,48.6,93,15.407,93,28.0,93,0.001252,93,0.811,187
2012,3,5,49.1,45,11.351,45,22.0,45,0.001284,45,0.815,95
2012,3,6,51.3,77,16.189,77,31.0,77,0.002062,77,0.819,151
2012,3,7,48.7,86,12.440,86,25.0,86,0.002199,85,0.820,173
2012,3,8,47.4,140,16.020,140,28.5,140,0.001938,140,0.814,277
2012,3,9,45.5,160,10.713,160,27.0,160,0.001768,160,0.805,293
2012,3,10,47.3,198,12.165,198,26.5,198,0.002063,198,0.813,360
