month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.006338,198,36,198,119.4,198,11.2,198,2.164,480
1,2,2012,0.005817,226,29,228,101.6,228,7.564,228,3.472,514
1,3,2012,0.005745,195,28,195,96.65,195,5.823,195,3.837,451
1,4,2012,0.005473,155,27,155,102.2,155,9.655,155,2.89,444
1,5,2012,0.005556,148,27,148,93.07,148,7.413,148,1.639,408
1,6,2012,0.005109,164,23,164,90.23,164,7.38,164,2.216,450
1,7,2012,0.005282,172,20,172,97.61,172,12.59,172,3.777,474
1,8,2012,0.005707,228,27,228,103.3,228,6.884,229,3.482,555
1,9,2012,0.005917,152,26,152,101.5,152,6.35,152,3.344,398
1,10,2012,0.004986,164,21.5,164,85.17,164,9.649,164,4.035,435
1,11,2012,0.005992,180,23,181,90.72,181,12.57,181,2.291,499
1,12,2012,0.005769,162,24,162,96.05,162,11,162,3.909,447
1,13,2012,0.004681,156,20,157,96.61,157,12.02,157,3.379,454
1,14,2012,0.005416,179,20,179,89.71,179,10.52,179,3.697,485
1,15,2012,0.006068,208,22,209,87.85,209,5.796,209,3.614,523
1,16,2012,0.005147,203,22,203,84.23,203,7.172,203,2.787,529
1,17,2012,0.007111,176,34.5,176,89.04,176,2.961,176,0.6203,475
1,18,2012,0.006203,160,23,160,91.76,160,7.431,160,3.885,372
1,19,2012,0.006138,182,25,182,105.4,182,8.213,182,3.912,458
1,20,2012,0.005935,185,22,185,99.37,185,13.67,185,3.932,446
1,21,2012,0.006942,205,25,205,101.9,205,6.454,205,2.545,577
1,22,2012,0.005688,190,25,190,87.36,190,8.527,190,3.631,491
1,23,2012,0.005618,152,25,152,84.7,152,7.615,152,3.267,425
1,24,2012,0.005129,159,24,159,97.67,159,11.24,159,3.413,465
1,25,2012,0.006245,162,30.5,162,106.1,162,8.453,162,3.073,448
1,26,2012,0.005333,165,24,165,99.49,165,7.708,165,3.512,447
1,27,2012,0.005859,175,26,177,82.87,177,6.393,177,3.506,463
1,28,2012,0.005028,196,25,196,87.71,196,9.351,196,3.865,508
1,29,2012,0.005618,227,23,228,95.68,228,10.08,228,3.619,625
1,30,2012,0.005144,157,29,157,89.94,157,7.371,157,3.738,398
1,31,2012,0.005707,157,21,157,100.4,157,14.78,157,3.165,398
2,1,2012,0.005476,150,30.5,150,108.5,150,6.158,150,2.783,387
2,2,2012,0.005339,168,26,168,96.74,168,11.05,168,3.277,394
2,3,2012,0.005964,149,23,149,96.97,149,9.982,149,3.087,430
2,4,2012,0.005364,187,23,188,86.45,188,7.008,188,3.657,518
2,5,2012,0.00539,179,29,179,85.92,179,5.889,179,2.733,487
2,6,2012,0.005621,157,29.5,158,90,158,7.499,158,2.588,448
2,7,2012,0.004808,158,24,158,77.1,158,10.31,158,3.794,412
2,8,2012,0.005361,173,21,173,98.25,173,12.46,173,3.674,450
2,9,2012,0.005741,176,27,176,85.12,176,11.14,176,3.514,552
2,10,2012,0.005241,206,40,206,102.2,206,4.238,206,3.175,517
2,11,2012,0.004899,212,23.5,214,88.65,214,5.746,214,3.81,593
2,12,2012,0.006251,240,22.5,240,102.1,240,9.369,240,3.453,633
2,13,2012,0.004965,172,22,172,98.15,172,14.05,172,3.936,465
2,14,2012,0.0051,147,22,147,93.89,147,5.301,147,3.395,418
2,15,2012,0.005256,165,29,165,100.6,165,7.795,165,3.414,446
2,16,2012,0.00398,150,25,150,92.49,150,8.815,150,3.772,432
2,17,2012,0.005119,163,24,163,101,163,9.671,163,3.351,464
2,18,2012,0.005202,253,22,252,80.28,253,9.225,253,4.028,630
2,19,2012,0.0037,207,26,207,93.53,207,9.073,207,3.652,606
2,20,2012,0.005079,216,21,217,84.3,217,9.635,217,3.876,552
2,21,2012,0.005058,185,21,185,95.69,185,10.42,185,3.709,500
2,22,2012,0.005916,177,22,177,100.1,177,11.66,177,3.85,484
2,23,2012,0.004829,175,31,175,108.5,175,5.276,175,2.505,470
2,24,2012,0.005498,185,25,185,88.67,185,4.361,185,1.065,538
2,25,2012,0.005515,196,33.5,196,85.7,196,6.221,196,3.454,571
2,26,2012,0.004386,205,30,205,89.05,205,10.52,205,3.812,616
2,27,2012,0.005155,161,28,161,86.4,161,9.563,161,3.611,526
2,28,2012,0.005721,176,36,176,78.87,176,3.34,176,2.53,485
2,29,2012,0.005615,167,34,167,114,167,6.898,167,2.211,466
3,1,2012,0.00558,181,32,181,100.7,181,10.81,181,1.142,554
3,2,2012,0.006043,189,34,189,104,189,6.139,189,3.251,509
3,3,2012,0.005557,225,32,225,95.52,225,3.138,225,3.014,637
3,4,2012,0.005753,265,29,265,90.11,265,6.248,265,3.413,635
