month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.005404,247,22.0,247,92.08,247,10.251,247,3.8818,617
1,1,2012,0.006073,203,33.0,203,103.99,203,7.931,203,3.4896,527
1,2,2012,0.005429,144,21.0,144,100.29,144,12.302,144,4.0739,348
1,3,2012,0.006275,114,20.0,114,95.23,114,12.668,114,4.1727,289
1,4,2012,0.005349,125,22.0,125,92.9,125,15.868,125,4.2576,255
1,5,2012,0.007342,99,24.0,99,108.79,99,22.218,99,3.68,217
1,6,2012,0.00667,92,27.0,93,115.37,93,17.845,93,4.1404,207
1,7,2012,0.007038,122,24.5,122,106.14,122,13.719,122,3.9753,273
1,8,2012,0.00636,129,20.0,130,96.19,130,15.793,130,3.3742,330
1,9,2012,0.005565,155,24.0,155,100.65,155,15.687,155,4.1357,401
1,10,2012,0.006006,182,22.0,182,101.2,182,9.106,182,3.2956,496
1,11,2012,0.00592,172,27.0,172,101.09,172,5.873,172,2.9769,517
1,12,2012,0.004926,226,22.0,226,84.4,226,7.869,226,3.7585,619
1,13,2012,0.00559,245,22.0,246,87.02,246,10.018,246,3.3639,673
1,14,2012,0.005904,249,25.0,249,100.76,249,8.522,249,3.0541,717
1,15,2012,0.005189,258,25.0,259,83.69,259,6.794,259,3.426,735
1,16,2012,0.005422,311,25.0,312,87.89,312,6.717,312,3.1335,802
1,17,2012,0.00547,309,24.0,309,87.09,309,8.422,309,2.0079,875
1,18,2012,0.004944,337,26.0,337,95.8,337,4.956,337,2.2781,884
1,19,2012,0.005036,354,25.0,355,96.87,355,6.573,355,3.7198,944
1,20,2012,0.006009,387,29.0,387,105.55,387,6.093,387,2.1291,1024
1,21,2012,0.006075,394,29.0,395,99.07,395,6.408,395,3.1662,1032
1,22,2012,0.005499,377,25.0,377,89.27,377,7.574,378,3.1661,983
1,23,2012,0.004228,307,22.5,308,92.01,308,8.811,308,3.0484,777
2,0,2012,0.005123,187,22.0,187,114.08,187,8.577,187,2.8445,607
2,1,2012,0.00438,178,27.0,178,103.21,178,9.684,178,3.2517,479
2,2,2012,0.005532,131,21.0,131,107.56,131,12.85,131,3.7348,368
2,3,2012,0.006416,108,21.0,108,113.18,108,14.448,108,4.1758,253
2,4,2012,0.005741,103,20.0,103,113.87,103,20.484,103,3.9088,236
2,5,2012,0.00645,105,26.0,105,115.03,105,12.279,105,2.1482,234
2,6,2012,0.006169,110,22.0,110,90.28,110,16.251,110,4.2116,237
2,7,2012,0.006682,123,32.0,123,100.59,123,11.314,123,3.335,293
2,8,2012,0.006185,136,29.0,137,95.67,137,8.86,137,3.8163,389
2,9,2012,0.005401,152,34.0,153,107.27,153,12.282,153,1.6074,444
2,10,2012,0.005177,212,21.0,212,70.48,212,9.511,212,3.8698,604
2,11,2012,0.005223,182,20.0,182,82.51,182,10.852,182,3.4157,594
2,12,2012,0.004679,196,22.0,196,88.0,196,8.262,196,3.3499,602
2,13,2012,0.005293,218,24.5,218,96.15,218,9.071,218,3.7718,627
2,14,2012,0.005988,219,25.0,220,100.28,220,6.468,220,2.5313,643
2,15,2012,0.004804,306,28.5,306,96.35,306,6.647,306,1.636,778
2,16,2012,0.004276,310,25.5,310,97.96,310,7.456,310,3.6558,809
2,17,2012,0.004044,294,24.0,295,80.91,295,7.187,295,3.7348,804
2,18,2012,0.005206,329,25.0,329,85.18,330,6.115,330,3.4544,953
2,19,2012,0.004977,323,33.0,323,91.41,323,5.439,323,3.5694,901
2,20,2012,0.005799,375,33.0,375,86.93,375,5.445,375,3.4125,996
2,21,2012,0.005043,356,23.5,356,86.87,356,8.742,356,3.5725,963
2,22,2012,0.005161,317,28.0,317,82.85,317,6.117,317,3.4566,845
2,23,2012,0.004571,285,24.0,285,83.51,285,8.469,285,3.456,831
3,0,2012,0.005593,270,22.0,271,82.81,271,9.984,271,3.5406,688
3,1,2012,0.006033,193,35.0,193,96.16,193,7.774,193,1.4877,530
3,2,2012,0.006094,108,20.5,108,90.27,108,17.176,108,3.9703,353
3,3,2012,0.006278,121,22.0,121,106.52,121,16.473,121,4.1272,309
3,4,2012,0.006471,97,31.0,97,117.76,97,15.319,97,0.7799,233
3,5,2012,0.006056,85,31.0,85,119.64,85,14.89,85,3.7181,219
3,6,2012,0.006063,101,20.0,101,105.82,101,22.633,101,3.9152,254
3,7,2012,0.006213,128,20.0,128,100.55,128,18.452,128,4.0323,321
3,8,2012,0.006321,152,22.0,152,102.19,152,14.71,152,3.933,411
3,9,2012,0.006196,161,24.0,161,96.99,161,13.572,161,3.4922,462
3,10,2012,0.005186,203,26.0,203,98.64,203,7.853,203,2.4405,529
3,11,2012,0.005429,217,22.0,217,85.41,217,8.595,217,3.2323,586
3,12,2012,0.00522,214,27.5,214,87.92,214,6.738,214,3.1089,642
3,13,2012,0.00556,247,22.0,247,99.54,247,10.255,247,3.7652,697
3,14,2012,0.004322,250,22.0,254,89.06,254,7.866,254,3.329,687
3,15,2012,0.005446,270,23.5,270,86.2,270,8.612,270,3.4824,733
3,16,2012,0.00454,309,24.0,309,80.55,309,8.086,309,3.456,879
3,17,2012,0.004921,333,22.0,333,81.09,333,10.035,333,3.7732,943
3,18,2012,0.00539,337,22.0,337,79.02,337,8.945,337,3.1687,952
3,19,2012,0.003774,331,23.0,332,82.28,332,9.029,332,3.7305,1017
3,20,2012,0.005905,432,23.0,434,86.28,434,8.588,434,3.4543,1095
3,21,2012,0.004548,413,29.0,413,77.35,413,7.97,413,3.4484,1052
3,22,2012,0.005589,366,23.5,366,87.45,366,6.379,366,2.9721,938
3,23,2012,0.005304,340,24.0,341,87.14,341,8.638,341,3.0905,915
4,0,2012,0.00501,272,22.0,272,88.48,272,10.536,272,3.6598,646
4,1,2012,0.004381,181,22.0,181,74.73,181,13.792,181,3.4018,466
