month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.007524,40,46,40,83.91,40,3.353,40,0.7645,64
1,2,2012,0.007383,48,35,48,82.27,48,3.723,48,0.5261,76
1,3,2012,0.02211,49,34,49,89.2,49,2.573,49,0.5197,67
1,4,2012,0.01358,42,35,42,87.04,42,2.794,42,0.5228,59
1,5,2012,0.00727,39,34,39,74.22,39,4.618,39,0.5482,53
1,6,2012,0.005975,28,70,28,97.07,28,3.784,28,0.5053,49
1,7,2012,0.005829,29,44,29,79.91,29,4.362,29,0.397,73
1,8,2012,0.01437,63,40,63,77.49,63,3.587,63,0.4407,99
1,9,2012,0.0058,37,35,37,74.19,37,4.746,37,0.5294,59
1,10,2012,0.005735,36,34.5,36,64.6,36,4.768,36,0.5226,64
1,11,2012,0.003422,26,41,26,74.31,26,7.329,26,0.7709,40
1,12,2012,0.01048,22,46.5,22,82.55,22,2.222,22,0.51,41
1,13,2012,0.007825,20,47,20,121.7,20,2.597,20,0.7099,49
1,14,2012,0.006203,27,39,27,75.35,27,4.548,27,0.4374,48
1,15,2012,0.005264,24,51,24,83.73,24,4.18,24,0.415,47
1,16,2012,0.005966,19,45,19,72.02,19,4.882,19,0.51,31
1,17,2012,0.005957,34,50,34,112.5,34,2.374,34,0.4738,65
1,18,2012,0.006976,28,52.5,28,89.32,28,4.114,28,0.5255,49
1,19,2012,0.0075,20,46.5,20,103.9,20,2.536,20,0.5227,38
1,20,2012,0.007938,20,60.5,20,111.3,20,2.631,20,0.4363,39
1,21,2012,0.007198,26,73,26,93.63,26,2.639,26,0.6764,47
1,22,2012,0.004813,29,47,29,79.42,29,4.44,29,0.5113,43
1,23,2012,0.006407,26,43.5,26,73.65,26,3.373,26,0.5296,33
1,24,2012,0.007899,26,50.5,26,77.97,26,3.802,26,0.4485,44
1,25,2012,0.007146,33,66,33,102,33,4.551,33,0.4991,49
1,26,2012,0.007198,35,56,35,85.17,35,4.604,35,0.4732,56
1,27,2012,0.005049,18,58,18,123.8,18,2.246,18,0.542,41
1,28,2012,0.005248,16,61.5,16,73.9,16,6.765,16,0.7728,31
1,29,2012,0.008134,23,41,23,85.31,23,2.474,23,0.3667,48
1,30,2012,0.009849,19,51,19,97.22,19,1.296,19,0.3521,40
1,31,2012,0.01065,16,107.5,16,185.2,16,1.542,16,0.3214,27
2,1,2012,0.003509,22,39,22,84.01,22,4.518,22,0.5401,37
2,2,2012,0.008292,24,50,24,99.7,24,3.231,24,0.3905,51
2,3,2012,0.01174,33,56,33,140.1,33,1.382,33,0.401,48
2,4,2012,0.006317,36,62.5,36,102.5,36,1.97,36,0.3587,72
2,5,2012,0.01103,36,88,36,120.5,36,1.539,36,0.3529,61
2,6,2012,0.006639,20,47.5,20,84.39,20,7.023,20,0.5408,38
2,7,2012,0.005739,28,55,28,99.73,28,4.014,28,0.3694,46
2,8,2012,0.003134,32,42.5,32,88.33,32,3.826,32,0.3687,56
2,9,2012,0.004676,27,49,27,108.9,27,2.621,27,0.3615,54
2,10,2012,0.00334,25,45,25,88.38,25,4.429,25,0.5369,36
2,11,2012,0.005716,33,43,33,69.01,33,4.893,33,0.5228,47
2,12,2012,0.007853,26,54,26,97.27,26,2.748,26,0.5136,50
2,13,2012,0.01121,46,46.5,46,86.94,46,3.958,46,0.5087,73
2,14,2012,0.003813,47,56,47,93.7,47,3.243,47,0.4833,91
2,15,2012,0.004897,43,48,43,96.39,43,2.484,43,0.5363,68
2,16,2012,0.006949,42,52,42,90.16,42,3.611,42,0.656,82
2,17,2012,0.005149,39,41,39,84.51,39,4.141,39,0.5104,66
2,18,2012,0.004508,28,46,28,75.19,28,4.807,28,0.5432,62
2,19,2012,0.007264,31,45,31,98.87,31,2.836,31,0.572,70
2,20,2012,0.007675,33,46,33,76.44,33,7.147,33,0.6499,49
2,21,2012,0.005251,25,47,25,76.99,25,4.953,25,0.7917,43
2,22,2012,0.009323,26,44.5,26,87.38,26,3.362,26,0.6831,41
2,23,2012,0.005497,36,40.5,36,78.61,36,4.626,36,0.5335,54
2,24,2012,0.002656,33,38,33,66.43,33,7.66,33,0.5623,52
2,25,2012,0.004467,24,33.5,24,63.92,24,5.969,24,0.5279,39
2,26,2012,0.004018,33,38,33,64.23,33,7.109,33,0.7639,50
2,27,2012,0.004831,42,46.5,42,74.46,42,6.99,42,0.5456,66
2,28,2012,0.006722,32,50,32,77.9,32,6.137,32,0.7791,59
2,29,2012,0.005894,40,48,40,105.7,40,3.604,40,0.5369,57
3,1,2012,0.01039,29,59,29,106.4,29,1.642,29,0.351,50
3,2,2012,0.006289,35,47,35,78.17,35,4.605,35,0.786,52
3,3,2012,0.00427,35,42,35,77.85,35,4.809,35,0.552,53
3,4,2012,0.008534,19,41,19,83.84,19,3.755,19,0.535,58
3,5,2012,0.004983,25,39,25,66.4,25,7.711,25,0.6366,40
3,6,2012,0.00589,38,48.5,38,83.48,38,4.795,38,0.6603,58
3,7,2012,0.006455,31,47,31,69.7,31,4.011,31,0.5533,55
3,8,2012,0.006709,23,44,23,82.85,23,4.874,23,0.5448,38
3,9,2012,0.008145,32,52.5,32,103.8,32,2.632,32,0.5065,41
3,10,2012,0.004009,48,52,48,89.64,48,4.023,48,0.4934,75
3,11,2012,0.005347,48,46.5,48,105.3,48,2.816,48,0.5028,70
3,12,2012,0.003755,28,45.5,28,88.45,28,4.941,28,0.4938,50
3,13,2012,0.009641,11,50,11,105.6,11,1.6,11,0.3518,26
3,14,2012,0.002747,24,48,24,99.23,24,4.122,24,0.3563,51
3,15,2012,0.009732,21,47,21,96.24,21,2.536,21,0.4931,33
3,16,2012,0.003613,33,49,33,87.79,33,4.989,33,0.552,46
3,17,2012,0.01179,19,46,19,131.3,19,2.446,19,0.5098,33
3,18,2012,0.02252,22,54,22,103.7,22,2.259,22,0.5025,39
3,19,2012,0.01211,21,45,21,99.32,21,3.339,21,0.5106,42
3,20,2012,0.005533,24,41,24,89.42,24,4.749,24,0.3566,48
3,21,2012,0.01171,20,54.5,20,83.39,20,2.333,20,0.6664,42
3,22,2012,0.01049,32,48,32,130.6,32,1.789,32,0.4821,48
3,23,2012,0.0074,34,52,34,92.66,34,3.369,34,0.3776,63
3,24,2012,0.006034,40,51.5,40,79.53,40,3.902,40,0.3705,71
3,25,2012,0.004478,35,41,35,68.79,35,5.384,35,0.6718,56
3,26,2012,0.008388,16,43,16,88.42,16,2.498,16,0.3615,33
3,27,2012,0.01061,13,48,13,72.53,13,5.045,13,0.5978,30
3,28,2012,0.01122,17,46,17,87.65,17,2.577,17,0.5305,34
3,29,2012,0.004025,28,41,28,81.01,28,4.7,28,0.5248,51
3,30,2012,0.004743,29,53,29,75.42,29,4.782,29,0.4907,52
3,31,2012,0.005362,46,49.5,46,89.64,46,4.755,46,0.4897,96
4,1,2012,0.008047,32,44.5,32,92.59,32,2.304,32,0.3418,59
4,2,2012,0.006311,30,53,30,82,30,2.828,30,0.5062,62
4,3,2012,0.006733,30,49.5,30,90.43,30,3.261,30,0.4382,48
4,4,2012,0.004237,33,42,33,77.9,33,2.511,33,0.5445,57
4,5,2012,0.006424,33,45,33,69.05,33,6.358,33,0.7965,46
4,6,2012,0.004433,33,47,33,86.3,33,5.025,33,0.7973,74
4,7,2012,0.005777,28,41,28,84.39,28,4.859,28,0.5148,43
4,8,2012,0.006021,41,45,41,83.14,41,4.748,41,0.5125,66
4,9,2012,0.002518,19,45,19,68.57,19,2.466,19,0.4787,33
4,10,2012,0.006983,27,45,27,77.07,27,2.435,27,0.5229,46
4,11,2012,0.00721,26,45.5,26,89.44,26,3.83,26,0.5211,43
4,12,2012,0.005583,27,45,27,87.96,27,3.093,27,0.5094,43
4,13,2012,0.007573,24,51,24,100.6,24,3.255,24,0.4819,57
4,14,2012,0.01129,25,48,25,98.69,25,3.802,25,0.3498,43
4,15,2012,0.007926,41,45,41,85.75,41,2.376,41,0.6941,60
4,16,2012,0.004446,23,47,23,79.2,23,5.602,23,0.7242,40
4,17,2012,0.004447,30,44.5,30,74.8,30,5.662,30,0.7691,45
4,18,2012,0.01104,20,50,20,95.65,20,3.657,20,0.4962,35
4,19,2012,0.01005,33,46,33,82.65,33,2.851,33,0.5038,44
4,20,2012,0.006535,22,49,21,97.69,21,3.89,22,0.4739,43
4,21,2012,0.004905,28,44,28,83.51,28,4.341,28,0.4963,42
4,22,2012,0.002517,26,38.5,26,95.48,26,4.549,26,0.5278,47
4,23,2012,0.005223,17,44,17,75.71,17,4.773,17,0.5456,34
4,24,2012,0.01094,33,46,33,83.27,33,4.157,33,0.5365,48
4,25,2012,0.009716,18,49.5,18,106.9,18,3.261,18,0.518,37
4,26,2012,0.004615,30,46,29,79.35,29,4.384,30,0.7341,48
4,27,2012,0.006294,39,47,39,84.39,39,3.25,39,0.5067,58
4,28,2012,0.005783,40,46,40,83.57,40,4.055,40,0.5749,55
4,29,2012,0.006306,25,46,25,83.4,25,4.498,25,0.565,40
4,30,2012,0.007203,36,46,36,102.8,36,2.517,36,0.5265,54
5,1,2012,0.007973,22,44,22,83.03,22,2.556,22,0.7275,40
5,2,2012,0.00636,26,48,26,101.4,26,3.844,26,0.5073,43
5,3,2012,0.004776,35,45,35,72.07,35,4.841,35,0.6805,57
5,4,2012,0.004683,37,39,37,81.96,37,4.863,37,0.7629,56
5,5,2012,0.005563,24,49,24,87.01,24,4.119,24,0.4826,34
5,6,2012,0.003191,16,34.5,16,110.3,16,2.359,16,0.451,37
5,7,2012,0.004305,23,43,23,83.13,23,4.126,23,0.5076,48
5,8,2012,0.003111,36,44.5,36,81.92,36,4.885,36,0.5398,59
5,9,2012,0.0048,34,47,34,68.61,34,7.97,34,0.8045,61
5,10,2012,0.005367,44,47,44,75.24,44,5.925,44,0.7425,74
5,11,2012,0.004341,38,48,38,118.6,38,2.39,38,0.7602,53
5,12,2012,0.008684,34,49.5,34,97.1,34,3.223,34,0.574,48
5,13,2012,0.005698,52,51.5,52,83.62,52,2.952,52,0.5793,84
5,14,2012,0.0101,42,55.5,42,116.7,42,2.006,42,0.3606,69
5,15,2012,0.00406,38,48,38,78.47,38,5.605,38,0.7214,61
5,16,2012,0.004965,33,59,33,84.8,33,4.076,33,0.7635,51
5,17,2012,0.005221,28,47,28,73.88,28,5.918,28,0.5418,50
5,18,2012,0.007435,48,52,48,86.12,48,4.305,48,0.7225,71
5,19,2012,0.00546,37,45,37,76.8,37,5.4,37,0.7327,56
5,20,2012,0.007238,48,57.5,48,94.18,48,4.729,48,0.5325,83
5,21,2012,0.004324,31,48,31,72.01,31,5.648,31,0.7662,57
5,22,2012,0.005576,45,31,45,85.01,45,3.273,45,0.7969,62
5,23,2012,0.003646,30,54,30,78.39,30,4.637,30,0.5513,67
5,24,2012,0.006789,43,57,43,93.16,43,2.801,43,0.4964,70
5,25,2012,0.005316,20,62.5,20,97.98,20,4.152,20,0.7762,39
5,26,2012,0.004577,28,53,28,112.1,28,5.129,28,0.7171,39
5,27,2012,0.004467,36,44.5,36,77.51,36,5.249,36,0.7912,56
5,28,2012,0.006279,41,48,41,81.23,41,4.989,41,0.7907,66
5,29,2012,0.006574,25,44,25,71.74,25,3.619,25,0.6193,42
5,30,2012,0.008689,38,44.5,38,72.48,38,2.445,38,0.5421,61
5,31,2012,0.007253,22,57.5,22,95.95,22,4.724,22,0.7386,47
6,1,2012,0.006149,24,35,24,86.93,24,4.085,24,0.5112,37
6,2,2012,0.004279,30,44.5,30,86.47,30,4.656,30,0.548,40
6,3,2012,0.007518,23,50,23,71.06,23,4.108,23,0.3967,48
6,4,2012,0.005526,19,49,19,78.74,19,2.947,19,0.4911,32
6,5,2012,0.002251,18,37,18,70.59,18,4.502,18,0.4306,40
6,6,2012,0.007779,22,47.5,22,67.72,22,3.126,22,0.3994,38
6,7,2012,0.004844,15,47,15,76.16,15,4.702,15,0.7603,31
6,8,2012,0.004037,17,41,17,109.5,17,3.56,17,0.5416,29
6,9,2012,0.04403,21,35,21,133.2,21,1.406,21,0.4911,37
6,10,2012,0.004521,32,31,32,78.14,32,5.248,32,0.5906,63
6,11,2012,0.005728,54,26,54,50.57,54,8.997,54,1.032,78
6,12,2012,0.003898,33,27,33,51.61,33,10.66,33,0.8124,55
6,13,2012,0.003742,37,27,37,52.44,37,10.51,37,0.8014,57
6,14,2012,0.002558,77,45,77,83.56,77,4.391,77,0.4807,139
6,15,2012,0.002907,45,29,45,52.51,45,10.54,45,0.9243,65
6,16,2012,0.004064,40,27,40,53.46,40,10.62,40,0.8073,56
6,17,2012,0.005584,39,28,39,71.78,39,10.16,39,0.8293,57
6,18,2012,0.006632,24,49,24,99,24,2.716,24,0.3606,45
6,19,2012,0.007119,26,42,26,119.4,26,1.98,26,0.347,49
6,20,2012,0.005868,46,47,46,80.16,46,5.524,46,0.77,73
6,21,2012,0.01408,36,49.5,36,105.9,36,2.476,36,0.4573,52
6,22,2012,0.003319,81,11,81,13.81,81,17.52,81,7.721,103
6,23,2012,0.002254,29,41,29,68.28,29,5.006,29,0.5385,51
6,24,2012,0.003224,17,30,17,67.57,17,5.268,17,0.5385,32
6,25,2012,0.003474,28,48.5,28,93.82,28,4.849,28,0.5262,42
6,26,2012,0.002618,31,36,31,76.58,31,10.57,31,1.104,48
6,27,2012,0.008872,29,59,29,127,29,2.753,29,0.4955,55
6,28,2012,0.002966,17,55,17,95.46,17,4.81,17,0.5915,38
6,29,2012,0.004991,23,35,23,74.12,23,4.364,23,0.6426,37
6,30,2012,0.008333,20,65,20,157.5,20,2.754,20,0.3596,34
7,1,2012,0.009738,33,48,33,87.48,33,4.281,33,0.5189,53
7,2,2012,0.01212,25,50,25,104.9,25,2.646,25,0.3745,48
7,3,2012,0.007968,27,37.5,26,77.14,26,2.706,27,0.7027,48
7,4,2012,0.00458,36,46.5,36,81.54,36,4.758,36,0.5227,59
7,5,2012,0.003513,28,47,28,69.96,28,5.243,28,0.7015,42
7,6,2012,0.004691,28,35.5,28,74.69,28,5.298,28,0.5778,41
7,7,2012,0.004653,25,45,25,133.2,25,2.773,25,0.5826,33
7,8,2012,0.01075,36,45.5,36,128.7,36,2.761,36,0.53,60
7,9,2012,0.006369,34,53,34,132.2,34,2.082,34,0.7153,51
7,10,2012,0.005917,43,49,43,74.93,43,3.79,43,0.6368,70
7,11,2012,0.005715,47,45,47,84.19,47,5.439,47,0.7507,65
7,12,2012,0.005094,30,42,30,94.22,30,2.915,30,0.4361,46
7,13,2012,0.006932,40,58.5,40,82.26,40,2.917,40,0.7114,63
7,14,2012,0.00729,51,48,51,81.47,51,5.011,51,0.764,72
7,15,2012,0.004727,57,47,57,91.56,57,4.876,57,0.5951,84
7,16,2012,0.004937,63,43,63,71.12,63,4.877,63,0.5473,95
7,17,2012,0.007042,39,47,39,94.92,39,3.196,39,0.5558,49
7,18,2012,0.008763,30,42,30,85.79,30,2.288,30,0.5425,67
7,19,2012,0.004048,39,40,39,76.57,39,3.901,39,0.5435,59
7,20,2012,0.005717,60,49,60,107,60,3.322,60,0.5047,134
7,21,2012,0.003921,37,51,37,100.6,37,4.488,37,0.5463,80
7,22,2012,0.006294,36,47,36,83.46,36,3.504,36,0.5451,62
7,23,2012,0.005889,36,29.5,36,76.16,36,3.976,36,0.4317,63
7,24,2012,0.004405,25,33,25,71.73,25,5.026,25,0.7075,47
7,25,2012,0.002875,44,33.5,44,73.25,44,5.09,44,0.6823,67
7,26,2012,0.005045,37,47,37,81.14,37,5.029,37,0.5704,56
7,27,2012,0.003845,32,41.5,32,74.39,32,4.799,32,0.604,62
7,28,2012,0.002825,31,28,31,69.68,31,5.081,31,0.5264,55
7,29,2012,0.005371,46,45,46,72.23,46,5.358,46,0.5806,73
7,30,2012,0.007107,30,46,30,92.78,30,2.85,30,0.4464,53
7,31,2012,0.004822,27,44,27,70.87,27,7.982,27,1.083,52
8,1,2012,0.004962,22,31.5,22,62.85,22,6.576,22,0.7988,43
8,2,2012,0.00524,39,35,39,89.42,39,3.89,39,0.4603,69
8,3,2012,0.004998,34,36.5,34,68.2,34,4.885,34,0.3629,59
8,4,2012,0.004902,30,43.5,30,83.29,30,3.841,30,0.6534,47
8,5,2012,0.002669,16,38,16,63.35,16,8.979,16,0.7239,39
8,6,2012,0.005452,38,47,38,95.05,38,2.996,38,0.5789,67
8,7,2012,0.00536,38,49.5,38,93.73,38,2.416,38,0.5128,68
8,8,2012,0.008573,20,38,20,86.38,20,4.711,20,0.7446,38
8,9,2012,0.005561,25,49,25,81.93,25,3.555,25,0.8059,39
8,10,2012,0.004516,24,36,24,85.32,24,2.582,24,0.477,51
8,11,2012,0.003418,23,45,23,61.66,23,4.3,23,0.5478,47
8,12,2012,0.004159,20,47.5,20,70.33,20,4.926,20,0.5946,34
8,13,2012,0.004329,26,37,26,56.63,26,10.58,26,0.7457,50
8,14,2012,0.006559,25,33,25,97.21,25,5.484,25,0.5992,38
8,15,2012,0.002938,33,44,33,81.31,33,4.804,33,0.5295,59
8,16,2012,0.006041,40,35.5,40,86,40,3.026,40,0.5391,62
8,17,2012,0.003559,37,42,37,80.04,37,4.925,37,0.5301,58
8,18,2012,0.004807,34,30.5,34,68.4,34,3.822,34,0.571,49
8,19,2012,0.0067,19,31,19,66.96,19,5.628,19,0.4421,33
8,20,2012,0.009296,26,41.5,26,82.05,26,2.132,26,0.5577,42
8,21,2012,0.009254,31,48,31,139.9,31,2.387,31,0.3635,48
8,22,2012,0.005171,43,31,43,82.35,43,3.7,43,0.5409,67
8,23,2012,0.005792,31,24,31,82.1,31,3.249,31,0.5655,36
8,24,2012,0.007914,23,44,23,94.23,23,2.448,23,0.5054,39
8,25,2012,0.004107,31,56,31,106.3,31,3.14,31,0.5068,57
8,26,2012,0.004931,34,36,34,65.22,34,5.187,34,0.6218,66
8,27,2012,0.003782,34,45,34,82.34,34,3.665,34,0.6387,60
8,28,2012,0.004816,26,44.5,26,90.52,26,2.494,26,0.4729,42
8,29,2012,0.005747,29,50,29,98.57,29,3.537,29,0.5323,45
8,30,2012,0.004456,20,41.5,20,89.22,20,4.365,20,0.6207,28
8,31,2012,0.006347,42,52.5,42,94.42,42,3.307,42,0.6655,65
9,1,2012,0.005974,57,48,57,96.54,57,2.971,57,0.5437,96
9,2,2012,0.006999,46,49,46,91.26,46,3.673,46,0.5428,61
9,3,2012,0.005726,41,49,41,80.42,41,4.601,41,0.7682,65
9,4,2012,0.005716,36,45.5,36,103.8,36,2.397,36,0.6677,54
9,5,2012,0.005565,38,50,38,92.84,38,3.256,38,0.5328,72
9,6,2012,0.003667,55,51,55,99.49,55,4.054,55,0.4677,112
9,7,2012,0.007463,29,43,29,103.1,29,2.423,29,0.5348,45
9,8,2012,0.006667,83,45,83,76.38,83,2.719,83,0.7711,102
9,9,2012,0.00531,43,43,43,87.31,43,3.894,43,0.5268,71
9,10,2012,0.006332,32,44.5,32,88.52,32,4.468,32,0.5864,45
9,11,2012,0.004095,35,38,35,71.84,35,5.498,35,0.732,50
9,12,2012,0.004949,44,37,44,72.31,44,5.01,44,0.5505,69
9,13,2012,0.006295,39,43,39,82.57,39,3.016,39,0.42,65
9,14,2012,0.007249,44,43,44,82.45,44,3.179,44,0.5128,74
9,15,2012,0.004116,61,44,61,74.75,61,2.85,61,0.5497,99
9,16,2012,0.004964,66,46,66,77.95,66,4.765,66,0.5983,87
9,17,2012,0.007531,45,50,45,89.88,45,2.789,45,0.5917,60
9,18,2012,0.004127,78,53,78,86.61,78,4.289,78,0.5413,125
9,19,2012,0.004915,97,48,97,90.94,97,3.17,97,0.6174,129
9,20,2012,0.004677,58,43.5,58,67.18,58,4.503,58,0.5483,74
9,21,2012,0.005857,57,47,57,90.29,57,4.452,57,0.594,76
9,22,2012,0.006963,56,51,56,93.04,56,2.844,56,0.5809,83
9,23,2012,0.006549,70,51.5,70,102.8,70,2.782,70,0.5794,86
9,24,2012,0.006375,66,48,66,89.72,66,2.728,66,0.5347,101
9,25,2012,0.005722,69,45,69,72.84,69,4.145,69,0.7403,85
9,26,2012,0.01028,51,48,51,112.2,51,2.293,51,0.5259,79
9,27,2012,0.006599,65,48,65,91.15,65,3.118,65,0.5964,83
9,28,2012,0.004193,54,45.5,54,71.76,54,4.644,54,0.6013,74
9,29,2012,0.005255,75,49,75,88.36,75,4.57,75,0.6005,97
9,30,2012,0.006677,58,49,58,83.91,58,4.556,58,0.7185,71
10,1,2012,0.005206,57,49,57,72.39,57,4.58,57,0.7839,74
10,2,2012,0.00686,41,47,41,92.65,41,3.773,41,0.5597,63
10,3,2012,0.007055,52,52,52,98.17,52,2.644,52,0.5378,84
