year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,1,42.6,96,11.374,96,13.0,96,0.001319,96,1.680,150
2012,1,2,40.5,89,8.341,89,13.0,89,0.001739,89,1.688,132
2012,1,3,45.0,82,11.490,82,15.0,82,0.001468,82,1.689,137
2012,1,4,42.1,99,10.521,99,12.0,99,0.002096,99,1.687,145
2012,1,5,41.2,72,13.263,72,12.0,72,0.001559,72,1.689,116
2012,1,6,44.0,88,10.930,88,13.5,88,0.001817,88,1.688,124
2012,1,7,50.5,72,9.312,72,13.5,72,0.002133,72,1.688,131
2012,1,8,45.4,98,9.047,98,16.0,98,0.002153,98,1.688,164
2012,1,9,46.1,83,9.522,83,14.0,83,0.001610,83,1.687,144
2012,1,10,41.4,75,10.799,75,14.0,75,0.001365,75,1.688,121
2012,1,11,44.4,85,10.017,85,13.0,85,0.001416,85,1.687,130
2012,1,12,49.9,75,12.532,75,15.0,75,0.002049,75,1.713,122
2012,1,13,37.3,97,14.163,97,12.0,97,0.000938,97,1.722,161
2012,1,14,46.9,92,9.959,92,13.5,92,0.001298,92,1.726,155
2012,1,15,45.0,102,9.401,102,15.0,102,0.001529,102,1.687,152
2012,1,16,45.3,90,8.019,90,14.0,90,0.002351,90,1.686,124
2012,1,17,45.3,60,9.487,60,18.5,60,0.002875,60,1.652,103
2012,1,18,43.9,70,11.422,70,13.5,70,0.001303,70,1.683,136
2012,1,19,50.5,79,11.027,79,14.0,79,0.002294,79,1.675,117
2012,1,20,46.4,71,13.039,71,14.0,71,0.001937,71,1.713,110
2012,1,21,50.5,110,8.936,110,16.0,110,0.002030,110,1.670,169
2012,1,22,49.6,97,9.456,97,15.0,97,0.001832,97,1.686,148
2012,1,23,47.8,87,10.676,87,13.0,87,0.001246,87,1.689,126
2012,1,24,40.0,61,12.992,61,12.0,61,0.000855,61,1.688,104
2012,1,25,39.5,68,14.249,68,13.0,68,0.001095,68,1.687,122
2012,1,26,41.0,71,12.359,71,13.0,71,0.001654,71,1.688,116
2012,1,27,43.3,89,11.429,89,13.0,89,0.001937,89,1.689,142
2012,1,28,47.9,95,11.545,95,14.0,95,0.001984,95,1.686,161
2012,1,29,45.2,87,10.645,87,15.0,87,0.001417,87,1.686,146
2012,1,30,42.3,78,13.240,78,14.0,78,0.001936,78,1.695,124
2012,1,31,43.7,72,11.528,72,13.0,72,0.001170,72,1.688,119
2012,2,1,45.4,62,13.188,62,12.5,62,0.001632,62,1.682,110
2012,2,2,49.6,90,9.709,90,13.5,90,0.001134,90,1.684,150
2012,2,3,46.5,65,11.646,65,15.0,65,0.001700,65,1.689,116
2012,2,4,44.7,108,12.473,108,12.0,108,0.001069,108,1.685,189
2012,2,5,46.3,99,11.256,99,14.0,99,0.001709,99,1.673,175
2012,2,6,42.6,117,12.486,117,12.0,117,0.001319,117,1.687,193
2012,2,7,44.3,94,12.201,94,12.0,94,0.001405,94,1.687,152
2012,2,8,47.2,91,13.122,91,12.0,91,0.002383,91,1.688,149
2012,2,9,46.3,102,11.081,102,13.0,102,0.001468,102,1.685,193
2012,2,10,48.0,92,13.524,92,13.5,92,0.001600,92,1.687,161
2012,2,11,42.8,128,14.081,128,12.0,128,0.001903,128,1.688,208
2012,2,12,44.2,150,11.787,151,13.0,150,0.001429,151,1.685,218
2012,2,13,42.9,74,13.595,74,13.0,74,0.001320,74,1.647,126
2012,2,14,43.2,94,13.752,94,12.0,94,0.001871,94,1.653,162
2012,2,15,42.8,84,14.636,84,12.0,84,0.001257,84,1.683,152
2012,2,16,41.0,99,11.956,99,13.0,99,0.001302,99,1.686,152
2012,2,17,43.6,125,10.975,125,14.0,125,0.001490,125,1.687,201
2012,2,18,47.6,124,12.201,124,13.0,124,0.001084,124,1.683,213
2012,2,19,44.8,128,11.072,128,12.5,128,0.001941,128,1.687,218
2012,2,20,49.4,93,9.705,93,13.0,93,0.001201,93,1.685,182
2012,2,21,44.2,93,13.109,93,13.0,93,0.001119,93,1.687,177
2012,2,22,36.0,87,13.856,87,12.0,87,0.000788,87,1.688,151
2012,2,23,39.7,98,13.029,98,11.0,98,0.001305,98,1.685,192
2012,2,24,45.8,105,12.485,105,12.0,105,0.001665,105,1.682,185
2012,2,25,51.6,87,10.975,87,13.0,87,0.001797,87,1.685,177
2012,2,26,42.5,127,12.913,127,12.0,127,0.001359,127,1.683,214
2012,2,27,42.1,73,12.313,73,12.0,73,0.001555,73,1.686,136
2012,2,28,37.7,86,15.870,86,12.0,86,0.000907,86,1.688,168
2012,2,29,45.0,96,12.273,96,12.0,96,0.001128,96,1.685,191
2012,3,1,45.4,76,12.102,76,13.0,76,0.001168,75,1.686,135
2012,3,2,46.4,89,13.082,89,12.0,89,0.002596,89,1.686,148
2012,3,3,43.5,97,13.086,97,12.0,97,0.001281,97,1.687,177
2012,3,4,42.8,141,12.041,141,13.0,141,0.001291,141,1.686,221
2012,3,5,44.9,101,10.472,101,12.0,101,0.001311,101,1.683,173
2012,3,6,48.3,96,11.203,96,12.0,96,0.002249,96,1.647,158
2012,3,7,47.1,65,9.798,65,12.0,65,0.002225,65,1.684,155
2012,3,8,45.7,69,15.868,69,13.0,69,0.001139,69,1.687,142
2012,3,9,44.7,75,10.367,75,12.0,75,0.002402,75,1.689,132
2012,3,10,43.6,111,12.964,111,13.0,111,0.001434,110,1.687,217
2012,3,11,51.7,106,11.247,106,13.0,106,0.001970,106,1.687,197
2012,3,12,46.0,86,12.901,86,13.0,86,0.001617,85,1.646,155
2012,3,13,42.0,66,15.558,66,12.0,66,0.000885,66,1.684,142
2012,3,14,46.4,80,11.307,80,13.5,80,0.001418,80,1.686,144
2012,3,15,52.8,88,10.922,88,14.0,88,0.001656,88,1.684,158
2012,3,16,49.1,63,8.509,63,13.0,63,0.001977,62,1.687,127
2012,3,17,51.8,87,10.218,87,14.0,87,0.001720,86,1.646,183
2012,3,18,56.9,82,9.337,82,14.0,82,0.001836,82,1.665,152
2012,3,19,51.1,80,10.025,80,14.5,80,0.001781,80,1.645,153
2012,3,20,50.0,84,8.160,84,12.5,84,0.001743,84,1.639,137
2012,3,21,53.6,58,11.847,58,13.5,58,0.002743,57,1.679,112
2012,3,22,48.5,70,10.523,70,14.0,70,0.001317,70,1.605,129
2012,3,23,50.6,59,11.872,59,13.0,59,0.001830,59,1.643,117
2012,3,24,45.2,81,11.545,81,12.0,81,0.001705,81,1.642,172
2012,3,25,51.1,108,9.833,108,12.5,108,0.002287,108,1.684,186
2012,3,26,38.5,75,13.029,75,12.0,75,0.001137,75,1.684,151
2012,3,27,45.7,68,12.601,68,12.0,68,0.001623,68,1.681,137
2012,3,28,46.8,68,9.875,68,12.0,68,0.002302,68,1.642,119
2012,3,29,46.8,62,12.379,62,12.0,62,0.001254,62,1.683,119
2012,3,30,43.0,84,13.968,84,12.0,84,0.001549,84,1.646,150
2012,3,31,38.2,114,16.131,114,12.0,114,0.000951,114,1.687,206
2012,4,1,38.2,89,14.685,89,12.0,89,0.001243,89,1.688,185
2012,4,2,45.1,81,13.504,81,12.0,81,0.001135,81,1.724,148
2012,4,3,38.4,79,16.365,79,11.0,79,0.001078,79,1.685,128
2012,4,4,35.9,70,12.707,70,12.0,70,0.001271,70,1.686,140
2012,4,5,37.2,103,17.635,103,12.0,103,0.000963,103,1.702,172
2012,4,6,40.9,118,13.757,118,12.0,118,0.000891,118,1.684,203
2012,4,7,45.1,95,13.280,95,12.0,95,0.001529,95,1.684,174
2012,4,8,38.7,98,14.389,98,12.0,98,0.000798,98,1.687,208
2012,4,9,33.1,66,16.887,66,11.0,66,0.000662,66,1.714,131
2012,4,10,39.1,83,12.609,83,12.0,83,0.001426,83,1.724,140
2012,4,11,39.8,90,13.879,90,12.0,90,0.000809,90,1.714,187
2012,4,12,42.9,98,13.846,98,12.0,98,0.001215,98,1.688,184
2012,4,13,38.3,87,13.741,87,12.0,87,0.001469,87,1.686,159
2012,4,14,42.5,89,14.405,89,12.0,89,0.001032,89,1.682,166
2012,4,15,41.5,98,13.646,98,12.0,98,0.001974,98,1.684,178
2012,4,16,43.2,63,15.195,63,12.0,63,0.001108,63,1.682,139
2012,4,17,34.3,60,11.026,60,11.0,60,0.001807,60,1.683,134
2012,4,18,34.1,66,15.867,66,12.0,66,0.001170,66,1.686,135
2012,4,19,34.1,95,17.295,95,11.0,95,0.000901,95,1.718,130
2012,4,20,31.6,59,16.312,59,11.0,59,0.001520,59,1.720,117
2012,4,21,40.1,81,14.333,81,13.0,81,0.001460,81,1.686,158
2012,4,22,35.8,97,16.309,97,12.0,97,0.000988,97,1.681,203
2012,4,23,40.8,84,14.293,84,12.0,84,0.001266,84,1.686,149
2012,4,24,36.8,71,16.620,71,12.0,71,0.001237,71,1.673,130
2012,4,25,43.6,87,8.488,87,13.0,87,0.002174,87,1.686,148
2012,4,26,39.0,77,15.902,77,13.0,77,0.001073,77,1.683,153
