month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.002038,125,13,125,44.92,125,11.34,125,1.687,197
1,1,2012,0.001383,86,12,86,41.19,86,13.24,86,1.688,172
1,2,2012,0.001858,60,13,60,42.06,60,10.98,60,1.717,110
1,3,2012,0.001859,52,12,52,43.87,52,12.09,52,1.689,101
1,4,2012,0.001615,28,11.5,28,42.03,28,13.71,28,1.688,59
1,5,2012,0.001032,23,12,23,39.28,23,18.53,23,1.725,43
1,6,2012,0.003748,26,25,26,44.31,26,13.38,26,1.609,56
1,7,2012,0.001739,33,31,33,47.16,33,11.13,33,1.688,71
1,8,2012,0.001536,45,16,45,42.28,45,15.1,45,1.688,101
1,9,2012,0.001074,78,15,78,42.38,78,12.99,78,1.705,144
1,10,2012,0.001309,103,12,103,41.6,103,15.44,103,1.688,183
1,11,2012,0.001437,112,14,112,43.24,112,14.11,112,1.71,207
1,12,2012,0.001124,137,14,137,46.21,137,13.69,137,1.721,231
1,13,2012,0.001876,148,13,148,43.21,148,11.89,148,1.689,249
1,14,2012,0.001275,144,12,144,39.87,144,13.41,144,1.72,242
1,15,2012,0.00126,160,13,160,41.47,160,12.35,160,1.721,261
1,16,2012,0.001196,181,12,181,43.63,181,12.7,181,1.712,265
1,17,2012,0.001752,200,14,200,47.02,200,9.735,200,1.687,311
1,18,2012,0.001422,204,13,204,40.96,204,10.99,204,1.688,329
1,19,2012,0.001632,249,14,249,45.91,249,10.37,249,1.687,346
1,20,2012,0.002319,265,14,265,48.38,265,7.429,265,1.686,400
1,21,2012,0.002372,220,15,220,48.08,220,8.045,220,1.646,311
1,22,2012,0.00198,238,14,238,48.3,238,8.008,238,1.685,329
1,23,2012,0.002038,219,14,219,46.61,219,9.524,219,1.687,318
2,0,2012,0.001938,135,13,135,44.16,135,11.94,135,1.686,229
2,1,2012,0.001056,77,12,77,41.82,77,12.95,77,1.688,154
2,2,2012,0.001403,44,13.5,44,39.11,44,15.29,44,1.688,87
2,3,2012,0.001199,39,12,39,43.81,39,15.75,39,1.687,76
2,4,2012,0.001962,24,12,24,42.16,24,14.08,24,1.686,55
2,5,2012,0.002275,32,12,32,39.39,32,14.3,32,1.687,64
2,6,2012,0.0004406,28,14.5,28,46.88,28,17.02,28,1.727,56
2,7,2012,0.001208,49,12,49,39.4,49,16.81,49,1.685,87
2,8,2012,0.001384,54,12,54,38.73,54,16.63,54,1.683,115
2,9,2012,0.001071,60,12,60,34.85,60,17.28,60,1.688,122
2,10,2012,0.001077,79,12,79,40.43,79,13.28,79,1.684,169
2,11,2012,0.001277,112,12,112,42.39,112,12.78,112,1.686,204
2,12,2012,0.001255,125,12,125,45.98,125,13.3,125,1.661,205
2,13,2012,0.001231,126,12.5,126,43.3,126,12.58,126,1.687,236
2,14,2012,0.00118,130,12,130,44.66,130,14.59,130,1.688,225
2,15,2012,0.001242,140,13,140,45.65,140,10.32,140,1.699,276
2,16,2012,0.001014,161,13,161,42.72,161,12.33,161,1.687,280
2,17,2012,0.001342,179,13,179,44.19,179,11.2,179,1.686,317
2,18,2012,0.001423,172,12.5,172,43.77,172,12.36,172,1.664,326
2,19,2012,0.001458,221,13,221,49.53,221,10.74,221,1.688,357
2,20,2012,0.001658,233,12,233,42.72,233,12.68,233,1.685,363
2,21,2012,0.001806,258,13,257,47.66,257,9.654,258,1.673,377
2,22,2012,0.001472,217,13,217,49.14,217,12.75,217,1.683,333
2,23,2012,0.001665,177,13,177,46.58,177,11.81,177,1.685,298
3,0,2012,0.001563,110,13,110,52.01,110,12.64,110,1.685,232
3,1,2012,0.001595,91,13,91,55.18,91,10.06,91,1.688,187
3,2,2012,0.001089,62,12,63,47.55,63,13.01,63,1.649,113
3,3,2012,0.00169,32,12.5,32,54.83,32,7.743,32,1.646,84
3,4,2012,0.001575,33,13,33,46.29,33,14.3,33,1.634,77
3,5,2012,0.001167,27,12,28,40.1,28,15.7,28,1.685,69
3,6,2012,0.001471,35,13,35,49.46,35,13.7,35,1.678,62
3,7,2012,0.001427,44,12.5,44,39.35,44,15.2,44,1.686,83
3,8,2012,0.001145,56,12,56,42.22,56,13.33,56,1.688,116
3,9,2012,0.001691,64,12.5,64,45.91,64,11.2,64,1.681,120
3,10,2012,0.00105,72,12,72,39.4,72,13.5,72,1.686,133
3,11,2012,0.001814,71,12,71,47.49,71,11.59,71,1.683,162
3,12,2012,0.001599,104,13,104,48.27,104,12.09,104,1.687,195
3,13,2012,0.001722,123,13,123,47.14,123,13.14,123,1.679,237
3,14,2012,0.0009679,120,12,121,39.02,121,11.67,121,1.684,214
3,15,2012,0.001373,114,12,114,46.34,114,12.06,114,1.661,226
3,16,2012,0.001738,152,12,152,41.34,152,11.44,152,1.676,269
3,17,2012,0.001847,164,13,165,43.93,165,10.36,165,1.683,284
3,18,2012,0.001478,165,12,166,45.37,166,12.55,166,1.68,298
3,19,2012,0.001886,179,13,179,47.05,179,10.44,179,1.684,329
3,20,2012,0.001272,217,13,217,46.94,217,12.17,217,1.683,364
3,21,2012,0.001629,181,12,181,47.27,181,11.87,181,1.669,311
3,22,2012,0.001743,198,13.5,198,49.28,198,10.4,198,1.647,326
3,23,2012,0.001448,169,12,170,48.12,170,11.84,170,1.647,313
4,0,2012,0.001119,137,12,137,45.22,137,12.94,137,1.686,248
4,1,2012,0.00129,71,12,71,37.33,71,14.49,71,1.688,158
4,2,2012,0.0009261,62,11,62,34.24,62,17.3,62,1.701,144
4,3,2012,0.0011,30,12,30,40.91,30,17.97,30,1.688,79
4,4,2012,0.001211,24,11,24,38.28,24,15.74,24,1.687,66
4,5,2012,0.001116,19,11,19,35.47,19,19.99,19,1.686,47
4,6,2012,0.001696,29,14,29,42.38,29,15.9,29,1.714,70
4,7,2012,0.0008447,33,12,33,33.87,33,18.61,33,1.699,85
4,8,2012,0.0007901,38,11,38,31.85,38,19.1,38,1.704,104
4,9,2012,0.0009601,68,11.5,68,33.05,68,16.23,68,1.684,160
4,10,2012,0.001365,81,12,81,37.75,81,14.48,81,1.684,173
4,11,2012,0.001237,96,11,96,35.75,96,16.09,96,1.685,197
4,12,2012,0.001294,100,11,100,36.56,100,15.11,100,1.687,218
4,13,2012,0.0009134,112,12,112,39.05,112,14.94,112,1.721,217
4,14,2012,0.001181,129,12,129,40.06,129,14.26,129,1.685,213
4,15,2012,0.001396,129,12,129,38.19,129,14.98,129,1.686,217
4,16,2012,0.001454,158,12,158,35.27,158,15.51,158,1.712,250
4,17,2012,0.001559,163,12,163,39.17,163,14.02,163,1.688,266
4,18,2012,0.0009108,165,12,165,37.02,165,15.78,165,1.685,296
4,19,2012,0.001389,164,12,164,44.97,164,13.21,164,1.683,295
4,20,2012,0.001148,201,12,201,40.4,201,13.48,201,1.686,321
4,21,2012,0.00142,189,12,189,44.05,189,11.75,189,1.685,300
4,22,2012,0.001085,191,12,191,43.62,191,14.01,191,1.687,321
4,23,2012,0.001602,162,12,162,43.61,162,12.86,162,1.684,296
5,0,2012,0.0009218,109,12,109,35.37,109,14.97,109,1.686,217
5,1,2012,0.001474,69,12,69,36.65,69,15.82,69,1.687,139
5,2,2012,0.001927,64,13,64,43.49,64,13.84,64,1.684,108
5,3,2012,0.0006283,35,12,35,36.47,35,19.26,35,1.686,70
5,4,2012,0.001245,30,13,30,47.58,30,12.44,30,1.685,60
5,5,2012,0.0006461,35,13,35,32.32,35,19.92,35,1.686,64
5,6,2012,0.001542,24,13.5,24,39.05,24,14.02,24,1.685,58
5,7,2012,0.001034,41,12,41,38.37,41,16.1,41,1.684,80
5,8,2012,0.001144,57,12,57,34.63,57,15.59,57,1.684,141
5,9,2012,0.001076,78,12,78,35.89,78,17.6,78,1.722,148
5,10,2012,0.001195,86,12,86,36.21,86,17.2,86,1.687,184
5,11,2012,0.001137,112,12,112,36.77,112,16,112,1.71,206
5,12,2012,0.001081,116,12,116,40.92,116,14.97,116,1.687,216
5,13,2012,0.00106,130,12,130,36.26,130,16.26,130,1.682,259
5,14,2012,0.00155,110,12,110,37.72,110,14.22,110,1.683,191
5,15,2012,0.00145,139,13,139,42.94,139,13.16,139,1.685,238
5,16,2012,0.001143,146,12,146,39.85,146,14.76,146,1.686,275
5,17,2012,0.001343,150,12,150,41.46,150,14.32,150,1.685,290
5,18,2012,0.001201,163,12,163,40.55,163,13.99,163,1.684,282
5,19,2012,0.001447,178,13,178,42.22,178,11.76,178,1.684,311
5,20,2012,0.001279,208,12,208,40.54,208,13.29,208,1.685,340
5,21,2012,0.001198,179,12,179,41.18,179,14.33,179,1.685,304
5,22,2012,0.001214,190,13,190,40.53,190,15.31,190,1.685,346
5,23,2012,0.001112,184,12,184,41.94,184,14.27,184,1.685,348
6,0,2012,0.001782,129,14,129,45.86,129,12.87,129,1.686,251
6,1,2012,0.00155,87,12,87,39.54,87,14.65,87,1.689,169
6,2,2012,0.001089,59,12,59,41.99,59,13.63,59,1.689,115
6,3,2012,0.00126,47,11,47,37.14,47,14.69,47,1.724,92
6,4,2012,0.001036,32,13,32,39.44,32,18.32,32,1.687,71
6,5,2012,0.001406,19,13,19,31.97,19,18.05,19,1.727,47
6,6,2012,0.0008033,66,10,66,22.21,66,18.83,66,1.722,72
6,7,2012,0.001044,34,10.5,34,35.26,34,18.94,34,1.726,83
6,8,2012,0.0008732,46,12,46,35.79,46,16.63,46,1.687,109
6,9,2012,0.001151,78,12,78,38.19,78,15.15,78,1.726,139
6,10,2012,0.0009582,87,12,87,38.61,87,14.59,87,1.693,165
6,11,2012,0.0009044,109,12,109,42.53,109,14.4,109,1.689,207
6,12,2012,0.001202,84,12,84,39.9,84,16.29,84,1.688,203
6,13,2012,0.001061,105,12,105,41.52,105,13.51,105,1.715,209
6,14,2012,0.001157,111,12,111,42.53,111,13.68,111,1.687,228
6,15,2012,0.001094,168,12,168,39.63,168,13.76,168,1.718,276
6,16,2012,0.001215,131,13,131,44.53,131,13.08,131,1.687,265
6,17,2012,0.001304,144,12,144,37.11,144,13.97,144,1.688,230
6,18,2012,0.000833,178,12,178,40.95,178,15.06,178,1.687,278
6,19,2012,0.001139,159,13,159,42.21,159,13.94,159,1.685,316
6,20,2012,0.001475,163,13,163,41.73,163,12.46,163,1.685,307
6,21,2012,0.001393,183,13,183,44.92,183,15.69,183,1.687,348
6,22,2012,0.001295,188,13,188,46.24,188,13.43,188,1.686,331
6,23,2012,0.00147,179,14,179,43.17,179,12.61,179,1.688,320
7,0,2012,0.001467,153,12,153,41.98,153,13.15,153,1.686,261
7,1,2012,0.001341,94,12,94,39.64,94,14.34,94,1.685,178
7,2,2012,0.001285,61,12,61,40.31,61,13.83,61,1.726,105
7,3,2012,0.001028,57,12,57,35.76,57,17.21,57,1.71,92
7,4,2012,0.001332,29,13,29,37.45,29,16.67,29,1.698,56
7,5,2012,0.0008566,28,12,28,37.35,28,17.79,28,1.728,59
7,6,2012,0.00231,22,12,22,32.94,22,16.91,22,1.727,50
7,7,2012,0.001418,43,12,43,39.24,43,10.08,43,1.687,103
7,8,2012,0.0009812,54,12,54,36.08,54,15.47,54,1.687,104
7,9,2012,0.001115,60,11,60,37.96,60,14.29,60,1.684,139
7,10,2012,0.001064,83,12,83,37.21,83,14.89,83,1.685,177
7,11,2012,0.00154,130,12,130,40.32,130,14.72,130,1.686,220
7,12,2012,0.001026,128,12,128,41.4,128,14.22,128,1.685,243
7,13,2012,0.001593,139,12,139,44.68,139,13.46,139,1.686,259
7,14,2012,0.001531,139,12,139,42.21,139,12.91,139,1.687,260
7,15,2012,0.001639,138,12,138,42.73,138,13.3,138,1.688,271
7,16,2012,0.001232,158,12,158,36.41,158,14.66,158,1.688,286
7,17,2012,0.001236,187,12,187,39.91,187,14.58,187,1.687,302
7,18,2012,0.001126,179,12,179,41.06,179,14.35,179,1.686,325
7,19,2012,0.001262,183,12,183,41.43,183,14.61,183,1.687,334
7,20,2012,0.001073,218,12,218,41.88,218,14.38,218,1.685,384
7,21,2012,0.001137,224,13,224,41.69,224,11.91,224,1.686,369
7,22,2012,0.001536,193,13,193,42.64,193,11.99,193,1.649,329
7,23,2012,0.001397,192,12,192,43.02,192,12.98,192,1.684,322
8,0,2012,0.001299,176,12,176,40.23,176,14.77,176,1.688,289
8,1,2012,0.001301,141,13,141,38.46,141,13.3,141,1.687,231
8,2,2012,0.001252,73,12,73,39.5,73,16.69,73,1.726,135
8,3,2012,0.001184,56,12,56,37.72,56,17.27,56,1.725,106
8,4,2012,0.001104,26,13,26,30.54,26,19.11,26,1.687,56
8,5,2012,0.001325,43,13,43,41.24,43,14.78,43,1.726,65
8,6,2012,0.001044,25,12,25,47.66,25,10.86,25,1.73,60
8,7,2012,0.00161,38,12.5,38,40.61,38,14.91,38,1.725,82
8,8,2012,0.0009631,61,12,61,36.11,61,17.17,61,1.725,124
8,9,2012,0.001887,64,12,64,35.49,64,14.24,64,1.688,130
8,10,2012,0.001428,115,12,115,39.06,115,15.1,115,1.691,201
8,11,2012,0.001476,129,13,129,38.81,129,13.97,129,1.687,244
8,12,2012,0.001313,149,13,149,39.99,149,15.26,149,1.688,247
8,13,2012,0.001553,154,12.5,154,39.36,154,14.22,154,1.687,269
8,14,2012,0.0009833,167,13,167,42.24,167,15.49,167,1.699,278
8,15,2012,0.001158,139,12,139,38,139,16.09,139,1.707,262
8,16,2012,0.001189,163,13,163,41.13,163,13.75,163,1.689,272
8,17,2012,0.00134,173,12,173,38.64,173,15.04,173,1.687,297
8,18,2012,0.001535,184,13,184,42.92,184,13.14,184,1.687,317
8,19,2012,0.001187,178,13,178,42.09,178,13.83,178,1.686,303
8,20,2012,0.001255,248,13,248,40.15,248,13.23,248,1.688,399
8,21,2012,0.001409,282,18,282,43.38,282,11.76,282,1.685,404
8,22,2012,0.001279,243,14,243,41.52,243,12.6,243,1.687,350
8,23,2012,0.001071,230,13,230,39.22,230,14.38,230,1.687,366
9,0,2012,0.001608,115,12,115,41.24,115,14.05,115,1.687,196
9,1,2012,0.001272,80,12,80,34.96,80,15.38,80,1.688,172
9,2,2012,0.0008315,49,12,49,35.69,49,15.63,49,1.684,86
9,3,2012,0.001046,50,11.5,50,33.94,50,15.69,50,1.686,80
9,4,2012,0.0009356,29,11,29,36.08,29,16.67,29,1.724,54
9,5,2012,0.001086,19,11,19,31.41,19,14.98,19,1.687,38
9,6,2012,0.001716,16,12,16,34.21,16,12.59,16,1.684,46
9,7,2012,0.0008938,23,11,23,39.8,23,19.95,23,1.686,50
9,8,2012,0.000633,47,12,47,35.49,47,18.25,47,1.708,84
9,9,2012,0.001041,62,12,62,33.8,62,16.41,62,1.719,118
9,10,2012,0.0008663,82,12,82,37.44,82,17.46,82,1.687,163
9,11,2012,0.001048,78,12,78,33.44,78,16.9,78,1.687,173
9,12,2012,0.0008499,91,12,91,36.19,91,14.43,91,1.687,178
9,13,2012,0.0008796,91,12,91,38.76,91,16.72,91,1.686,170
