month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.01219,34,67,34,96.66,34,2.995,34,0.3874,71
1,2,2012,0.01197,41,58,41,97.98,41,1.983,41,0.4069,74
1,3,2012,0.008917,32,47.5,32,86.43,32,2.487,32,0.4063,55
1,4,2012,0.02041,30,60.5,30,106.6,30,2.588,30,0.4429,44
1,5,2012,0.01034,34,53,34,98.82,34,2.318,34,0.3972,58
1,6,2012,0.01629,29,56,29,100.1,29,2.174,29,0.3967,66
1,7,2012,0.01554,39,63,39,133.6,39,2.505,39,0.4988,57
1,8,2012,0.008523,39,54,39,100.5,39,2.598,39,0.4042,70
1,9,2012,0.009179,28,54.5,28,99.46,28,2.804,28,0.4342,59
1,10,2012,0.01249,32,52,32,88.7,32,3.15,32,0.5093,63
1,11,2012,0.01568,48,63,48,105.4,48,2.295,48,0.4971,77
1,12,2012,0.01361,36,53,36,95.69,36,2.854,36,0.499,68
1,13,2012,0.009243,34,56.5,34,103.2,34,2.95,34,0.4676,50
1,14,2012,0.007367,34,51.5,34,97.96,34,2.856,34,0.4077,62
1,15,2012,0.01053,45,50,45,87.77,45,2.658,45,0.5183,64
1,16,2012,0.0123,41,58,41,113.7,41,2.733,41,0.4987,63
1,17,2012,0.005531,27,54,27,90.46,27,3.076,27,0.4096,54
1,18,2012,0.007935,28,55,28,100.9,28,2.674,28,0.4456,43
1,19,2012,0.006825,35,70,35,135.4,35,2.047,35,0.3885,49
1,20,2012,0.005839,43,64,43,112.8,43,2.556,43,0.4071,65
1,21,2012,0.01183,51,67,51,108.2,51,2.211,51,0.4074,79
1,22,2012,0.01391,36,68.5,36,154.8,36,1.801,36,0.3728,63
1,23,2012,0.01454,28,57.5,28,96.35,28,3.172,28,0.439,46
1,24,2012,0.007216,39,61,39,82.96,39,2.397,39,0.5577,63
1,25,2012,0.004621,36,55,35,90.63,35,2.471,36,0.5237,61
1,26,2012,0.00785,31,54,31,82.88,31,2.405,31,0.5926,58
1,27,2012,0.01009,37,52,37,69.78,37,2.45,37,0.5196,63
1,28,2012,0.01204,39,70,39,114.9,39,1.78,39,0.4769,68
1,29,2012,0.006825,32,56.5,32,86.76,32,2.929,32,0.4932,52
1,30,2012,0.007972,34,60.5,34,90.53,34,2.088,34,0.3995,61
1,31,2012,0.01954,42,50,42,76.6,42,2.418,42,0.5011,73
2,1,2012,0.007492,39,53,39,100.4,39,3.254,39,0.5725,69
2,2,2012,0.008889,34,53,34,104.4,34,3.379,34,0.4282,62
2,3,2012,0.01157,40,55.5,40,93.57,40,2.838,40,0.4082,83
2,4,2012,0.01153,35,63,35,125.5,35,2.726,35,0.4306,69
2,5,2012,0.01258,30,68.5,30,144.6,30,1.797,30,0.4352,45
2,6,2012,0.01084,33,59,33,95.36,33,3.458,33,0.515,45
2,7,2012,0.008253,35,61,35,91.64,35,2.279,35,0.4896,55
2,8,2012,0.01135,40,55,40,96.39,40,2.766,40,0.5363,70
2,9,2012,0.01308,34,52,34,89.49,34,2.65,34,0.4304,62
2,10,2012,0.006913,32,64.5,32,110.8,32,2.586,32,0.4042,57
2,11,2012,0.01013,32,66,32,107.6,32,2.515,32,0.4802,51
2,12,2012,0.01153,49,62,49,103.1,49,2.679,49,0.4136,70
2,13,2012,0.007744,39,61,39,99.38,39,2.627,39,0.4089,56
2,14,2012,0.01006,36,55,36,86.39,36,2.637,36,0.4692,53
2,15,2012,0.01164,24,55,24,82.91,24,3.179,24,0.5136,37
2,16,2012,0.01144,37,53,37,113.7,37,2.458,37,0.5092,64
2,17,2012,0.02144,25,58,25,100.1,25,1.422,25,0.4445,40
2,18,2012,0.01454,21,55.5,20,89.21,20,3.768,21,0.4534,49
2,19,2012,0.01199,42,66,42,129,42,2.193,42,0.3674,71
2,20,2012,0.006563,36,60.5,36,100.7,36,3.567,36,0.5727,61
2,21,2012,0.007824,32,59.5,32,103.2,32,2.896,32,0.4388,62
2,22,2012,0.007783,29,43,29,86.71,29,4.504,29,0.516,50
2,23,2012,0.01891,32,42.5,32,101.1,32,2.491,32,0.4692,49
2,24,2012,0.01021,18,44,18,67.56,18,3.217,18,0.4106,38
2,25,2012,0.007396,39,48,39,85.68,39,2.754,39,0.5223,66
2,26,2012,0.007683,23,44,23,79.25,23,2.792,23,0.4129,48
2,27,2012,0.01453,31,60,31,144.6,31,1.237,31,0.3857,51
2,28,2012,0.01273,29,42,29,86.23,29,3.539,29,0.5464,66
2,29,2012,0.01315,30,55.5,30,122,30,1.479,30,0.3986,50
3,1,2012,0.009803,17,53,17,93.62,17,1.574,17,0.5372,37
3,2,2012,0.008515,25,44,25,118.4,25,2.923,25,0.5192,64
3,3,2012,0.006623,37,59,37,159.5,37,2.751,37,0.5436,80
3,4,2012,0.005773,46,49.5,46,98.28,46,4.156,46,0.547,105
3,5,2012,0.004987,26,48,26,124.1,26,3.659,26,0.5607,70
3,6,2012,0.007022,39,46,39,112.3,39,1.783,39,0.5408,76
3,7,2012,0.007642,33,58,33,106.5,33,2.829,33,0.5771,79
3,8,2012,0.01042,26,41,26,105.2,26,2.671,26,0.6006,59
3,9,2012,0.01268,56,52,56,124.7,56,1.618,56,0.5103,84
3,10,2012,0.008871,35,52,35,108.7,35,1.882,35,0.5449,71
3,11,2012,0.0145,32,53,32,140.8,32,1.649,32,0.5122,61
3,12,2012,0.008174,36,47,36,97.93,36,2.868,36,0.5322,68
3,13,2012,0.01038,20,56.5,20,93.69,20,2.483,20,0.5378,42
3,14,2012,0.005573,22,34,22,80.91,22,3.319,22,0.5965,58
3,15,2012,0.009274,24,44,24,98.05,24,3.621,24,0.5603,55
3,16,2012,0.01282,33,50,33,103.1,33,2.05,33,0.4111,45
3,17,2012,0.01263,27,58,27,111.4,27,1.413,27,0.5897,48
3,18,2012,0.009211,35,53,35,145.5,35,1.604,35,0.4092,68
3,19,2012,0.01132,34,44.5,34,96.46,34,3.712,34,0.5727,71
3,20,2012,0.00973,22,47,22,84.39,22,3.12,22,0.5664,49
3,21,2012,0.01237,28,43.5,28,89.56,28,2.233,28,0.4506,53
3,22,2012,0.008852,34,51.5,34,103.9,34,1.663,34,0.5178,58
3,23,2012,0.02137,24,62,24,98.81,24,2.294,24,0.5469,54
3,24,2012,0.01059,41,56,41,85.6,41,2.831,41,0.5354,62
3,25,2012,0.01037,39,64,39,102.1,39,1.709,39,0.4001,61
3,26,2012,0.008723,35,51,35,86.65,35,2.39,35,0.5193,72
3,27,2012,0.006265,30,59.5,30,107.9,30,1.69,30,0.5397,54
3,28,2012,0.0136,31,49,31,75.71,31,2.453,31,0.521,59
3,29,2012,0.006857,27,52,27,102,27,1.436,27,0.4404,51
3,30,2012,0.008488,33,51,33,87.55,33,2.786,33,0.4084,61
3,31,2012,0.007297,38,53,38,87.37,38,2.553,38,0.5678,64
4,1,2012,0.009226,40,49,40,89.18,40,2.266,40,0.5031,56
4,2,2012,0.008009,39,47,39,88.74,39,2.844,39,0.5156,52
4,3,2012,0.006219,37,42,37,63.07,37,3.993,37,0.538,62
4,4,2012,0.007689,40,56,40,88.88,40,1.822,40,0.4113,55
4,5,2012,0.006122,36,62,36,96.32,36,2.958,36,0.5617,54
4,6,2012,0.009804,48,49.5,48,108,48,2.917,48,0.5385,75
4,7,2012,0.008009,32,50,32,96,32,3.669,32,0.5432,64
4,8,2012,0.007965,34,66,34,152.8,34,2.777,34,0.4017,54
4,9,2012,0.009684,42,47.5,42,88.37,42,2.858,42,0.521,60
4,10,2012,0.01387,32,52.5,32,117.2,32,2.762,32,0.4807,57
4,11,2012,0.007965,34,52.5,34,84.94,34,2.891,34,0.4755,59
4,12,2012,0.007887,27,53,27,116.6,27,1.286,27,0.3978,50
4,13,2012,0.01074,24,39.5,24,81.97,24,3.78,24,0.5413,45
4,14,2012,0.01384,27,51,27,85.47,27,2.1,27,0.5197,42
4,15,2012,0.008403,33,54,33,103.1,33,2.822,33,0.5431,57
4,16,2012,0.01313,26,45.5,26,80.28,26,1.963,26,0.4036,50
4,17,2012,0.01071,35,41,35,98.2,35,2.846,35,0.5421,53
4,18,2012,0.005455,34,42.5,34,85.27,34,4.393,34,0.5418,57
4,19,2012,0.007278,24,44,24,102.9,24,2.882,24,0.525,46
4,20,2012,0.01876,14,47,14,124.5,14,2.511,14,0.5258,28
4,21,2012,0.006651,39,42,39,75.63,39,5.64,39,0.5258,65
4,22,2012,0.01267,22,50,22,115.7,22,2.173,22,0.4092,45
4,23,2012,0.01079,28,47,28,78.73,28,3.741,28,0.5167,50
4,24,2012,0.007438,26,41,26,88.51,26,7.279,26,0.5459,44
4,25,2012,0.009649,25,49,25,125.6,25,2.164,25,0.4079,48
4,26,2012,0.007793,27,53,27,84.88,27,5.244,27,0.5419,51
4,27,2012,0.01148,24,53,24,113,24,4.1,24,0.406,40
4,28,2012,0.009448,24,52.5,24,80.36,24,2.91,24,0.4389,40
4,29,2012,0.01713,22,49,22,96.26,22,2.353,22,0.4102,47
4,30,2012,0.00697,29,49,29,75.85,29,5.509,29,0.5967,45
5,1,2012,0.005732,34,47,34,77.76,34,2.792,34,0.5441,55
5,2,2012,0.008547,21,47,21,100,21,1.459,21,0.5386,32
5,3,2012,0.01038,26,40.5,26,71.69,26,3.655,26,0.5616,44
5,4,2012,0.007095,28,52,28,84.77,28,2.773,28,0.4403,47
5,5,2012,0.007729,40,53,40,114,40,2.908,40,0.4175,61
5,6,2012,0.008136,42,54,42,95.84,42,2.673,42,0.4934,67
5,7,2012,0.007838,38,55.5,38,95.24,38,3.426,38,0.3654,61
5,8,2012,0.01404,40,55.5,40,102.9,40,2.856,40,0.4487,60
5,9,2012,0.01106,35,53,35,102.5,35,2.444,35,0.5252,60
5,10,2012,0.01074,29,52,29,110.8,29,2.937,29,0.5408,49
5,11,2012,0.006884,18,52,18,83.42,18,4.016,18,0.5039,41
5,12,2012,0.006143,29,46,29,89,29,3.875,29,0.5068,52
5,13,2012,0.01084,55,55,55,101.2,55,2.835,55,0.5265,96
5,14,2012,0.00833,38,59.5,38,101,38,2.29,38,0.5362,58
5,15,2012,0.007545,19,44,19,96.37,19,2.613,19,0.5898,34
5,16,2012,0.008578,27,54,27,83.05,27,3.896,27,0.5157,51
5,17,2012,0.006353,34,47,34,79.66,34,3.119,34,0.5161,56
5,18,2012,0.01312,35,51,35,82.93,35,4.16,35,0.5681,62
5,19,2012,0.005788,31,51,31,82.38,31,4.602,31,0.5452,52
