year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,56.8,228,11.768,228,24.0,228,0.001913,228,3.272,564
2012,1,1,52.0,150,13.446,150,22.0,150,0.001878,150,3.252,408
2012,1,2,63.5,137,13.105,137,22.0,137,0.001806,137,3.290,322
2012,1,3,55.7,103,13.207,103,23.0,103,0.001920,103,3.252,287
2012,1,4,48.5,51,13.564,51,21.0,51,0.002230,51,3.252,157
2012,1,5,59.1,45,6.930,45,24.0,45,0.001446,45,3.212,121
2012,1,6,53.0,50,13.899,50,21.0,50,0.001311,49,3.248,121
2012,1,7,47.8,66,13.851,66,20.0,66,0.001836,66,3.097,179
2012,1,8,50.6,120,14.016,120,21.0,120,0.001696,120,3.133,300
2012,1,9,49.4,149,13.363,149,21.0,149,0.001424,149,3.252,370
2012,1,10,47.5,182,12.749,182,21.0,182,0.001213,182,3.253,425
2012,1,11,49.3,188,11.390,188,21.5,188,0.001261,188,3.281,496
2012,1,12,55.0,236,12.033,236,21.0,236,0.001395,236,3.280,581
2012,1,13,51.7,223,13.877,224,21.0,223,0.001696,224,3.260,519
2012,1,14,49.7,258,12.635,258,22.0,258,0.001792,257,3.251,581
2012,1,15,50.8,305,13.657,305,21.0,305,0.001344,305,3.289,666
2012,1,16,52.6,329,13.046,329,21.0,329,0.001506,329,3.278,703
2012,1,17,52.4,327,13.624,327,21.0,327,0.001276,327,3.289,751
2012,1,18,52.4,345,11.734,345,21.0,345,0.001706,345,3.251,767
2012,1,19,51.1,349,12.721,349,22.0,349,0.001190,349,3.254,784
2012,1,20,51.1,412,12.132,412,21.0,412,0.001384,412,3.252,915
2012,1,21,55.2,431,11.850,431,21.0,431,0.001617,431,3.252,939
2012,1,22,54.6,348,12.519,348,21.0,348,0.001517,348,3.290,755
2012,1,23,53.5,299,12.572,299,21.0,299,0.001433,299,3.276,682
2012,2,0,55.9,255,11.682,255,22.0,255,0.001320,255,3.240,589
2012,2,1,57.2,209,12.123,209,22.0,209,0.001661,207,3.206,473
2012,2,2,49.1,147,12.604,147,22.0,147,0.001862,145,3.042,352
2012,2,3,58.4,91,10.568,91,23.0,91,0.002274,90,3.209,241
2012,2,4,59.0,68,13.550,68,23.5,68,0.001948,67,3.212,171
2012,2,5,50.3,53,17.219,53,19.0,53,0.000974,53,3.292,162
2012,2,6,61.6,86,11.551,86,21.0,86,0.002611,86,3.211,208
