year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,101.3,240,9.336,240,24.0,240,0.004939,240,3.731,593
2012,1,1,98.5,196,10.218,196,22.0,196,0.005920,196,3.605,455
2012,1,2,96.3,154,12.045,154,22.0,154,0.005888,154,3.657,364
2012,1,3,99.6,117,17.933,117,23.0,117,0.005847,117,3.373,269
2012,1,4,105.0,100,20.350,100,20.5,100,0.007251,100,4.132,193
2012,1,5,104.7,83,19.859,83,24.0,83,0.005705,83,4.194,195
2012,1,6,100.3,81,16.782,81,22.0,81,0.006766,81,4.010,177
2012,1,7,109.1,106,16.451,106,25.0,106,0.006633,106,3.813,267
2012,1,8,107.2,140,9.934,140,27.0,140,0.006254,140,3.483,354
2012,1,9,107.6,169,12.586,169,29.0,169,0.005701,169,3.662,493
2012,1,10,107.7,198,5.947,198,25.0,198,0.005761,198,1.809,493
2012,1,11,84.3,220,11.377,221,22.5,220,0.005171,221,3.805,575
2012,1,12,105.2,277,7.920,277,27.0,277,0.005782,277,3.421,666
2012,1,13,104.7,275,8.027,275,24.0,275,0.006168,275,3.451,675
2012,1,14,92.4,301,8.060,301,24.0,301,0.005416,301,3.332,730
2012,1,15,79.4,285,8.343,285,24.0,285,0.005083,285,3.575,712
2012,1,16,99.2,378,9.252,378,24.0,378,0.005455,378,3.663,910
2012,1,17,100.9,342,7.268,342,27.0,342,0.005602,342,3.664,858
2012,1,18,98.7,364,6.192,364,25.0,364,0.005068,364,3.631,928
2012,1,19,94.0,402,6.450,402,27.0,402,0.005103,402,3.374,979
2012,1,20,101.6,456,5.140,456,29.0,456,0.006154,456,1.872,1047
2012,1,21,93.5,474,5.919,474,30.5,474,0.005545,474,3.392,1068
2012,1,22,95.2,413,6.919,413,25.0,413,0.004967,413,3.613,952
2012,1,23,84.1,337,9.816,337,23.0,337,0.005344,337,3.652,814
2012,2,0,92.7,297,8.008,297,25.0,297,0.005554,296,3.674,710
