year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2014,9,24,65.8,63,6.909,63,20.0,63,0.004510,63,12.159,103
2014,9,25,57.3,106,0.981,106,35.0,106,0.034018,106,9.778,155
2014,9,26,53.9,99,2.396,99,28.0,99,0.011216,99,11.261,157
2014,9,27,58.0,96,3.327,96,30.0,96,0.007931,96,10.746,169
2014,9,28,62.7,120,5.245,120,36.0,120,0.006231,120,11.019,210
2014,9,29,51.5,95,4.967,95,26.0,95,0.007071,95,13.621,154
2014,9,30,71.3,105,5.743,105,29.0,105,0.005448,105,8.878,196
2014,10,1,50.8,117,4.270,117,19.0,117,0.004237,117,8.602,188
2014,10,2,55.8,87,11.033,87,15.0,87,0.001948,87,11.694,148
2014,10,3,60.1,74,11.952,74,17.0,74,0.001734,74,10.608,144
2014,10,4,81.6,91,13.626,91,31.0,91,0.001859,91,8.068,149
2014,10,5,79.9,83,14.797,83,20.0,83,0.002030,83,10.574,166
2014,10,6,58.0,56,15.096,56,16.5,56,0.002909,56,11.376,134
2014,10,7,46.1,71,9.486,71,15.0,71,0.002520,71,12.840,138
2014,10,8,58.2,73,17.036,73,11.0,73,0.001778,73,12.185,150
2014,10,9,51.0,59,18.408,59,12.0,59,0.001170,59,11.992,117
2014,10,10,57.1,78,19.031,78,15.5,78,0.002037,78,12.579,149
2014,10,11,91.2,66,14.688,66,18.5,66,0.003047,66,11.242,144
2014,10,12,51.4,79,15.370,79,17.0,79,0.001127,79,10.607,157
2014,10,13,46.1,92,15.213,92,17.0,92,0.001294,92,11.545,158
2014,10,14,51.6,76,8.137,76,16.0,76,0.002393,76,15.204,129
2014,10,15,49.6,95,7.263,95,19.0,95,0.005530,95,10.745,158
2014,10,16,47.8,76,10.788,78,19.0,76,0.002447,78,14.560,151
2014,10,17,79.7,64,12.597,64,13.0,64,0.002105,64,9.343,122
2014,10,18,48.0,77,16.505,77,16.0,77,0.002175,77,14.034,149
2014,10,19,57.0,96,14.945,96,19.0,96,0.002095,96,9.359,235
2014,10,20,37.5,74,12.486,74,17.0,74,0.002594,74,15.584,117
2014,10,21,49.6,77,8.860,77,17.0,77,0.002907,77,15.202,135
2014,10,22,45.9,85,7.146,85,15.0,85,0.005892,85,13.123,143
2014,10,23,70.1,64,15.944,64,15.5,64,0.001849,64,8.932,107
2014,10,24,66.8,55,15.574,55,17.0,55,0.001908,55,14.372,126
2014,10,25,64.2,68,10.403,68,21.5,68,0.003228,68,6.976,145
2014,10,26,88.0,93,6.543,93,47.0,93,0.003741,93,8.263,154
2014,10,27,74.2,66,12.205,66,19.5,66,0.003269,66,12.094,105
2014,10,28,47.4,51,19.587,51,17.0,51,0.002311,51,13.258,108
2014,10,29,53.7,51,26.511,51,16.0,51,0.001564,51,16.047,105
