year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2014,11,0,35.8,32,27.285,32,12.0,32,0.000836,32,12.153,43
2014,11,1,31.3,23,33.179,23,11.0,23,0.000380,23,10.733,28
2014,11,2,33.3,10,12.393,10,11.5,10,0.001270,10,3.102,13
2014,11,3,50.2,4,22.003,4,13.0,4,0.003026,4,9.344,9
2014,11,4,42.8,5,17.745,5,13.0,5,0.001210,5,3.792,6
2014,11,5,32.7,7,36.807,7,12.0,7,0.000949,7,20.486,11
2014,11,6,38.8,3,11.385,3,12.0,3,0.001014,3,3.183,8
2014,11,7,47.2,11,16.446,11,12.0,11,0.000918,11,7.081,21
2014,11,8,57.4,9,17.025,9,12.0,9,0.000672,9,4.131,20
2014,11,9,41.4,17,16.566,17,11.0,17,0.002893,17,3.928,27
2014,11,10,47.0,25,13.986,25,12.0,25,0.002300,25,4.488,37
2014,11,11,36.6,29,17.997,29,11.0,29,0.000937,29,9.021,45
2014,11,12,39.7,28,19.097,28,12.0,28,0.001004,28,7.861,41
2014,11,13,40.4,32,17.438,32,12.0,32,0.000725,32,4.213,47
2014,11,14,42.1,37,17.141,37,12.0,37,0.001196,37,4.013,51
2014,11,15,37.0,40,17.801,40,12.0,40,0.001192,40,4.047,63
2014,11,16,31.0,51,21.366,51,11.0,51,0.001416,51,11.616,69
2014,11,17,35.0,56,16.630,56,12.0,56,0.002329,56,4.108,80
2014,11,18,38.9,33,13.439,33,12.0,33,0.001219,33,6.001,61
2014,11,19,38.3,58,10.300,58,12.0,58,0.001857,58,3.907,72
2014,11,20,41.3,57,17.981,57,12.0,57,0.001020,57,7.325,81
2014,11,21,34.5,42,17.803,42,12.0,42,0.001070,42,4.869,70
2014,11,22,34.7,54,14.172,54,12.0,54,0.001226,54,6.030,79
2014,11,23,33.7,43,19.002,43,12.0,43,0.000964,43,9.344,60
2014,12,0,34.7,82,18.008,82,12.0,82,0.001106,82,9.546,120
2014,12,1,35.2,72,17.107,72,12.0,72,0.000916,72,4.577,110
2014,12,2,37.6,36,17.833,36,11.0,36,0.000889,36,4.252,61
2014,12,3,31.0,22,17.351,22,11.5,22,0.000720,22,4.025,38
2014,12,4,36.9,28,17.787,28,12.0,28,0.001695,28,9.046,43
2014,12,5,36.6,28,17.966,28,10.0,28,0.001950,28,4.239,49
2014,12,6,41.5,16,20.368,16,12.0,16,0.002386,16,19.745,41
2014,12,7,43.4,27,18.018,27,12.0,27,0.001704,27,4.853,54
2014,12,8,37.2,42,16.852,42,12.0,42,0.001188,42,9.272,70
2014,12,9,38.6,48,17.947,48,12.0,48,0.000867,48,9.873,96
2014,12,10,35.5,70,17.826,70,11.0,70,0.001398,70,4.095,95
2014,12,11,36.0,68,17.759,68,11.0,68,0.001153,68,4.049,103
2014,12,12,37.0,91,17.090,91,12.0,91,0.001514,91,4.281,130
2014,12,13,34.8,89,16.032,89,11.0,89,0.001154,89,4.086,139
2014,12,14,36.8,85,17.521,85,12.0,85,0.001147,85,4.059,135
2014,12,15,35.8,116,17.972,116,12.0,116,0.001074,116,4.441,186
2014,12,16,36.3,109,17.576,109,12.0,109,0.001445,109,4.192,189
2014,12,17,35.9,101,17.511,101,12.0,101,0.001512,101,4.058,173
2014,12,18,36.1,134,17.850,134,12.0,134,0.001093,134,4.093,203
2014,12,19,38.0,131,16.677,131,13.0,131,0.001401,131,4.082,199
2014,12,20,46.5,129,13.982,129,13.0,129,0.002264,129,4.260,207
2014,12,21,37.9,128,17.574,128,13.0,128,0.001297,128,5.835,183
2014,12,22,40.2,133,16.591,133,13.0,133,0.001324,133,4.149,184
2014,12,23,33.4,109,17.801,109,12.0,109,0.001361,109,5.475,147
