month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.007127,81,59.0,81,97.73,81,2.95,81,0.785,103
1,2,2012,0.006816,80,58.5,80,90.71,80,5.392,80,0.7859,114
1,3,2012,0.007265,69,62.0,69,83.25,69,5.646,69,0.8252,89
1,4,2012,0.008282,87,64.0,87,90.22,87,3.558,87,0.8048,112
1,5,2012,0.006447,77,56.0,77,87.62,77,4.948,77,0.7915,107
1,6,2012,0.005592,76,53.0,76,83.72,76,5.304,76,0.8646,97
1,7,2012,0.007428,85,61.0,85,101.32,85,3.749,85,0.7771,120
1,8,2012,0.006837,93,64.0,93,101.02,93,4.704,93,0.7899,121
1,9,2012,0.006665,71,62.0,71,107.32,71,3.13,71,0.7943,107
1,10,2012,0.006708,77,69.0,77,112.97,77,3.335,77,0.7683,121
1,11,2012,0.004706,95,49.0,95,83.28,95,6.948,95,0.8377,120
1,12,2012,0.006552,75,62.0,75,83.74,75,4.244,75,0.9838,99
1,13,2012,0.005819,80,64.0,80,89.23,80,4.58,80,0.7645,116
1,14,2012,0.007027,72,62.0,72,85.42,72,5.055,72,0.9381,94
1,15,2012,0.005482,95,59.0,95,83.2,95,5.074,95,0.9731,128
1,16,2012,0.006911,75,67.0,75,108.32,75,4.412,75,1.0268,98
1,17,2012,0.007822,66,66.5,66,120.52,66,2.587,66,0.548,94
1,18,2012,0.006257,63,65.0,63,102.88,63,3.136,63,0.7847,85
1,19,2012,0.006311,61,56.0,61,81.78,61,4.811,61,0.9729,86
1,20,2012,0.007094,72,60.5,72,84.85,72,4.062,72,0.8009,100
1,21,2012,0.007153,89,58.0,89,96.84,89,2.778,89,0.979,120
1,22,2012,0.006904,70,63.0,70,89.55,70,4.679,70,0.8191,92
1,23,2012,0.006227,65,61.0,65,88.3,65,4.557,65,0.8964,84
1,24,2012,0.006324,69,62.0,69,89.3,69,2.852,69,0.8628,85
1,25,2012,0.007001,69,58.0,69,86.9,69,4.904,69,0.8045,91
1,26,2012,0.007059,62,64.0,62,106.26,62,4.827,62,0.7834,89
1,27,2012,0.00676,60,58.5,60,90.01,60,4.995,60,0.8546,85
1,28,2012,0.006514,76,64.0,76,87.68,76,5.258,76,1.0341,105
1,29,2012,0.006609,77,53.0,77,83.09,77,4.363,77,0.8042,115
1,30,2012,0.004207,47,54.0,47,81.87,47,7.355,47,0.9261,80
1,31,2012,0.006417,68,63.5,68,87.86,68,5.415,68,0.8025,98
2,1,2012,0.007953,70,59.5,70,101.17,70,5.167,70,0.8913,114
2,2,2012,0.005933,56,61.0,56,89.08,56,5.72,56,0.9935,92
2,3,2012,0.004438,59,57.0,59,77.08,59,7.84,59,0.9218,95
2,4,2012,0.00744,78,63.0,78,88.5,78,3.538,78,0.6142,116
2,5,2012,0.007695,59,61.0,59,102.94,59,2.876,59,0.7643,88
2,6,2012,0.005562,59,56.0,59,90.5,59,5.555,59,0.8401,86
2,7,2012,0.006502,67,59.0,67,84.69,67,5.448,67,0.7633,101
2,8,2012,0.008768,98,124.0,98,158.11,98,1.424,98,0.6436,143
2,9,2012,0.005039,69,44.0,69,78.56,69,5.764,69,0.8051,97
2,10,2012,0.007223,70,62.0,70,88.42,70,5.328,70,0.803,107
2,11,2012,0.006298,96,60.0,96,86.86,96,5.276,96,0.7953,134
2,12,2012,0.006207,109,59.0,109,84.83,109,5.797,109,0.8047,153
2,13,2012,0.006474,60,61.0,60,86.81,60,8.065,60,0.9814,89
2,14,2012,0.005373,58,53.0,58,81.54,58,4.836,58,0.9042,77
2,15,2012,0.005745,74,63.0,74,92.11,74,5.086,74,0.7902,100
2,16,2012,0.005652,62,51.5,62,79.37,62,7.32,62,1.126,81
2,17,2012,0.005129,75,63.0,75,117.45,75,3.053,75,0.7483,98
2,18,2012,0.004801,75,58.0,75,84.26,75,7.13,75,1.0055,102
2,19,2012,0.006787,87,65.0,87,106.42,87,4.17,87,0.7982,115
2,20,2012,0.007483,90,61.0,90,100.39,90,5.321,90,0.791,121
2,21,2012,0.007326,75,63.0,75,87.89,75,3.998,75,0.786,97
2,22,2012,0.005762,88,58.5,88,78.14,88,4.553,88,0.7994,111
2,23,2012,0.007931,68,54.0,68,82.3,68,4.477,68,0.9546,87
2,24,2012,0.006076,94,60.5,94,87.71,94,5.363,94,0.8035,120
2,25,2012,0.007443,99,56.0,99,82.84,99,4.615,99,0.8908,121
2,26,2012,0.007141,108,61.0,108,82.79,108,4.457,108,0.8004,146
2,27,2012,0.006521,83,57.0,83,85.43,83,5.244,83,0.8034,109
2,28,2012,0.006655,48,49.5,48,74.44,48,5.625,48,0.7949,70
2,29,2012,0.004799,53,60.0,53,91.11,53,4.097,53,0.8065,82
3,1,2012,0.004179,70,57.5,70,77.06,70,5.406,70,1.0641,100
3,2,2012,0.006095,86,68.0,86,107.67,86,5.116,86,0.7621,121
3,3,2012,0.006698,92,59.5,92,92.05,92,4.309,92,0.7198,124
3,4,2012,0.004863,91,57.0,91,89.78,91,5.304,91,0.7941,123
3,5,2012,0.007623,88,60.5,88,96.46,88,4.229,88,0.7966,113
3,6,2012,0.005956,97,57.0,97,83.05,97,5.392,97,1.0046,131
3,7,2012,0.006052,71,56.0,71,88.57,71,5.449,71,0.7991,97
3,8,2012,0.006042,88,61.0,88,103.71,88,5.442,88,0.7905,108
3,9,2012,0.006599,77,54.0,77,81.86,77,4.128,77,0.839,103
3,10,2012,0.00493,84,60.5,84,86.47,84,7.048,84,0.8336,106
3,11,2012,0.00606,86,62.5,86,98.42,86,4.148,86,0.8659,115
3,12,2012,0.005874,81,63.0,81,97.32,81,5.164,81,0.9154,110
3,13,2012,0.006382,75,63.0,75,101.14,75,5.272,75,0.7993,114
3,14,2012,0.006618,71,62.0,71,102.3,71,4.928,71,0.7803,100
3,15,2012,0.007846,63,62.0,63,108.2,63,5.036,63,0.9601,88
3,16,2012,0.005482,63,60.0,63,78.53,63,8.816,63,1.1685,84
3,17,2012,0.006255,61,59.0,61,108.0,61,5.047,61,0.8895,86
3,18,2012,0.007919,76,60.5,76,100.86,76,5.304,76,0.9251,97
3,19,2012,0.006992,78,61.5,78,99.55,78,5.375,78,0.7873,106
3,20,2012,0.007072,65,61.0,65,91.26,65,4.772,65,0.8723,88
3,21,2012,0.006705,57,54.0,57,98.82,57,4.764,57,0.8056,85
3,22,2012,0.005905,64,61.5,64,90.21,64,4.519,64,0.7968,86
3,23,2012,0.006996,56,66.0,56,98.7,56,6.447,56,0.7955,74
3,24,2012,0.00597,105,57.0,105,87.12,105,5.063,105,1.0367,129
3,25,2012,0.006667,75,60.0,75,96.38,75,6.165,75,0.9297,98
3,26,2012,0.004947,64,58.0,64,83.34,64,9.064,64,1.1214,87
3,27,2012,0.006636,62,57.0,62,90.89,62,5.378,62,0.9168,87
3,28,2012,0.006606,55,61.0,55,84.32,55,7.943,55,1.1361,67
3,29,2012,0.004936,63,49.0,63,97.26,63,6.611,63,0.7994,95
3,30,2012,0.006077,70,64.0,70,89.94,70,5.457,70,0.7896,98
3,31,2012,0.008687,42,65.0,42,99.6,42,3.378,42,0.798,65
4,1,2012,0.005812,37,57.0,37,82.28,37,7.368,37,1.0409,45
4,2,2012,0.005249,44,60.0,43,108.28,43,4.939,44,0.829,56
4,3,2012,0.007627,29,64.0,29,107.6,29,2.506,29,0.6594,44
4,4,2012,0.004543,33,55.0,33,71.14,33,5.026,33,0.9868,44
4,5,2012,0.006838,46,58.5,46,88.45,46,4.993,46,0.7994,60
4,6,2012,0.006635,40,64.5,40,115.29,40,4.146,40,0.8716,49
4,7,2012,0.004597,39,61.0,39,100.87,39,7.041,39,0.8491,49
4,8,2012,0.00782,44,67.5,44,110.47,44,4.967,44,0.819,58
4,9,2012,0.005532,21,63.0,21,107.36,21,5.25,21,1.0441,34
4,10,2012,0.005672,22,59.0,22,96.48,22,5.148,22,0.7912,40
4,11,2012,0.006005,33,61.0,33,120.74,33,2.838,33,0.7808,48
4,12,2012,0.005782,30,56.5,30,101.88,30,5.395,30,0.8436,41
4,13,2012,0.005274,32,48.5,32,79.22,32,8.921,32,0.7939,37
4,14,2012,0.005021,27,54.0,27,83.96,27,6.532,27,1.1258,32
4,15,2012,0.005575,46,58.0,46,76.15,46,7.879,46,0.9906,52
4,16,2012,0.007218,33,47.0,33,86.36,33,7.263,33,1.0022,43
4,17,2012,0.008101,32,64.0,32,89.62,32,5.904,32,0.6576,41
4,18,2012,0.005918,34,58.5,34,80.08,34,5.171,34,1.0325,39
4,19,2012,0.006657,26,63.5,26,114.17,26,4.815,26,0.7907,36
4,20,2012,0.005781,31,67.0,31,106.03,31,5.161,31,0.9604,39
4,21,2012,0.006143,57,62.0,57,97.41,57,4.742,57,0.8378,67
4,22,2012,0.007861,40,56.5,40,92.47,40,5.761,40,1.0307,52
4,23,2012,0.005693,27,49.0,27,72.09,27,6.089,27,0.979,44
4,24,2012,0.007382,57,60.0,57,95.55,57,5.396,57,0.799,75
4,25,2012,0.010245,67,60.0,67,100.36,67,2.736,67,0.7869,108
4,26,2012,0.00797,43,61.0,43,101.01,43,4.943,43,0.7719,75
4,27,2012,0.007092,60,49.0,60,89.85,60,5.227,60,0.9229,85
4,28,2012,0.005229,69,47.0,69,75.35,69,9.453,69,1.1102,88
4,29,2012,0.00758,75,62.0,75,105.08,75,5.439,75,0.9199,93
4,30,2012,0.006953,62,64.5,62,105.52,62,5.443,62,0.9247,97
5,1,2012,0.006082,49,60.0,49,88.58,49,8.858,49,0.9533,71
5,2,2012,0.004725,66,52.5,66,79.31,66,7.169,66,0.8514,95
5,3,2012,0.00518,73,51.0,73,79.8,73,7.067,73,0.9898,92
5,4,2012,0.007468,54,57.5,54,98.72,54,5.543,54,0.8038,76
5,5,2012,0.00573,49,46.0,49,75.95,49,5.784,49,0.8714,70
5,6,2012,0.005882,84,59.0,84,90.08,84,5.322,84,0.802,112
5,7,2012,0.006196,61,65.0,61,101.01,61,5.508,61,0.8887,89
5,8,2012,0.006742,66,58.0,66,108.87,66,3.051,66,0.8048,91
5,9,2012,0.006569,81,58.0,81,92.46,81,6.438,81,0.8054,102
5,10,2012,0.006357,94,61.5,94,94.42,94,4.774,94,0.8009,127
5,11,2012,0.006422,81,65.0,81,98.75,81,6.583,81,0.9371,116
5,12,2012,0.006201,110,61.0,110,96.71,110,5.347,110,0.9163,137
5,13,2012,0.005548,87,64.0,87,102.07,87,4.997,87,0.7173,112
5,14,2012,0.004916,84,59.0,84,86.25,84,6.4,84,0.998,111
