year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,94.1,97,4.945,97,61.0,97,0.007116,97,0.803,139
2012,1,1,98.1,69,4.258,69,64.0,69,0.006980,69,0.784,98
2012,1,2,91.3,53,4.904,53,60.0,53,0.006641,53,0.958,76
2012,1,3,81.4,27,4.663,27,57.0,27,0.008078,27,0.961,42
2012,1,4,88.5,17,5.333,17,47.0,17,0.006028,17,0.777,26
2012,1,5,94.2,15,5.577,15,56.0,15,0.006384,15,0.804,21
2012,1,6,67.6,10,8.948,10,58.5,10,0.005788,10,0.787,21
2012,1,7,82.3,36,5.489,36,57.5,36,0.006151,36,0.750,49
2012,1,8,67.9,47,9.255,47,41.0,47,0.003857,47,1.173,64
2012,1,9,68.1,70,10.089,70,40.0,70,0.004124,70,1.006,97
2012,1,10,106.3,56,3.353,56,58.0,56,0.007868,56,0.627,87
2012,1,11,80.0,73,7.160,73,54.0,73,0.005659,73,1.059,99
2012,1,12,88.1,93,4.807,93,60.0,93,0.006952,93,0.886,118
2012,1,13,92.9,85,4.466,85,59.0,85,0.006552,85,0.799,116
2012,1,14,99.3,80,3.267,80,55.5,80,0.006469,80,0.799,135
2012,1,15,84.8,98,6.389,98,60.5,98,0.006061,98,0.801,141
2012,1,16,83.3,98,5.427,98,58.0,98,0.006917,98,0.857,149
2012,1,17,88.6,107,3.827,107,61.0,107,0.007384,107,0.774,154
2012,1,18,86.8,133,5.360,133,57.0,133,0.006708,133,0.794,180
2012,1,19,94.2,118,4.231,118,63.0,118,0.007499,118,0.893,160
2012,1,20,100.1,165,4.448,165,72.0,165,0.006711,165,0.844,210
2012,1,21,108.7,175,2.894,175,73.0,175,0.007078,175,0.785,204
2012,1,22,90.0,117,2.774,117,64.0,117,0.007052,117,0.790,140
2012,1,23,96.9,90,3.749,90,57.5,90,0.006370,90,0.788,133
2012,2,0,85.1,80,5.563,80,61.0,80,0.006210,80,0.802,119
2012,2,1,82.0,63,5.368,63,56.0,63,0.005015,63,0.788,92
2012,2,2,88.7,43,5.415,43,56.0,43,0.007446,43,0.859,63
2012,2,3,87.7,28,5.548,28,55.0,28,0.005286,28,0.795,40
2012,2,4,74.3,17,5.733,17,57.0,17,0.006112,17,1.124,23
2012,2,5,99.0,25,6.192,25,63.0,25,0.006425,25,0.942,40
2012,2,6,78.8,22,7.870,22,36.5,22,0.004591,22,0.806,33
2012,2,7,75.6,38,8.593,38,58.0,38,0.004747,38,1.046,49
2012,2,8,82.1,50,9.821,50,51.0,50,0.004820,50,0.730,85
2012,2,9,87.9,44,4.724,44,57.5,44,0.005914,44,0.999,71
2012,2,10,89.1,82,5.055,82,59.0,82,0.005759,82,0.790,130
2012,2,11,85.0,78,4.461,78,59.0,78,0.006993,78,0.951,117
2012,2,12,85.8,90,4.618,90,59.0,90,0.007145,90,0.790,124
2012,2,13,80.8,103,5.244,103,59.0,103,0.006250,103,0.872,137
2012,2,14,91.8,111,4.528,111,60.0,111,0.006934,111,0.775,147
2012,2,15,87.3,92,5.194,92,59.0,92,0.006780,92,0.918,140
2012,2,16,92.9,130,3.415,130,56.0,130,0.006343,130,0.785,180
2012,2,17,86.8,155,5.228,155,62.0,155,0.007107,155,0.802,204
2012,2,18,83.6,171,5.230,171,58.0,171,0.006521,171,0.799,233
2012,2,19,85.7,156,5.352,156,58.0,156,0.005731,156,0.937,213
2012,2,20,104.8,180,4.450,180,67.5,180,0.007877,180,0.799,234
2012,2,21,101.7,150,2.821,150,66.0,150,0.006511,150,0.801,202
2012,2,22,91.6,159,4.360,159,64.0,159,0.006693,159,0.799,215
2012,2,23,97.9,120,4.266,120,62.0,120,0.005573,120,0.790,161
2012,3,0,101.0,106,4.982,106,62.5,106,0.006672,106,0.771,140
2012,3,1,102.8,69,5.236,69,66.0,69,0.006905,69,0.787,102
2012,3,2,87.2,50,6.424,50,57.5,50,0.004902,50,0.803,69
2012,3,3,107.4,35,4.429,35,64.0,35,0.009149,35,0.787,45
2012,3,4,132.7,26,2.888,26,65.0,26,0.008293,26,0.665,32
2012,3,5,101.6,25,4.477,25,58.0,25,0.007380,25,0.742,31
2012,3,6,108.6,15,4.028,15,65.0,15,0.003898,15,0.789,21
2012,3,7,84.0,35,9.062,35,51.0,35,0.005148,35,1.018,58
2012,3,8,76.3,54,9.276,54,56.5,54,0.006013,54,0.993,79
2012,3,9,87.6,51,4.772,51,59.0,51,0.005077,51,0.979,80
2012,3,10,96.3,68,5.107,68,57.0,68,0.006645,68,0.783,98
2012,3,11,91.2,95,5.462,95,59.0,95,0.005808,95,0.894,129
2012,3,12,96.8,88,7.041,88,65.0,88,0.005575,88,0.860,118
2012,3,13,98.4,122,4.784,122,62.0,122,0.005842,122,0.802,168
2012,3,14,84.8,106,5.630,106,61.5,106,0.006073,106,0.911,142
2012,3,15,100.4,111,4.647,111,56.0,111,0.005394,111,0.788,165
2012,3,16,90.8,117,5.449,117,61.0,117,0.006233,117,0.806,167
2012,3,17,92.8,153,5.325,153,59.0,153,0.006819,153,0.834,207
2012,3,18,84.2,140,5.485,140,59.0,140,0.006206,140,1.078,191
2012,3,19,98.9,180,4.837,180,59.0,180,0.007060,180,0.803,228
2012,3,20,85.9,160,5.436,160,53.5,160,0.005765,160,0.926,208
2012,3,21,91.6,178,5.281,178,63.0,178,0.006951,178,0.798,221
2012,3,22,94.9,188,4.962,188,60.0,188,0.006597,188,0.920,237
2012,3,23,83.1,104,6.668,104,57.5,104,0.006089,104,0.889,149
2012,4,0,91.6,49,4.545,49,50.0,49,0.006757,49,0.793,72
2012,4,1,86.9,43,8.308,44,47.0,43,0.006510,44,0.786,57
