month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.002361,129,41.0,129,72.87,129,9.596,129,3.0937,350
1,2,2012,0.002072,161,38.0,161,74.45,161,10.145,161,3.0565,379
1,3,2012,0.00197,124,33.0,124,69.64,124,11.606,124,3.076,307
1,4,2012,0.003691,154,30.0,154,64.0,154,9.4,154,3.0775,352
1,5,2012,0.002235,123,30.0,123,70.46,123,11.682,123,3.0365,314
1,6,2012,0.002762,130,30.0,130,74.79,130,11.186,130,3.092,325
1,7,2012,0.002332,134,38.0,134,73.98,134,9.031,134,3.0669,336
1,8,2012,0.002265,146,38.0,146,74.3,146,9.135,146,3.0376,338
1,9,2012,0.003344,127,40.0,127,77.41,127,9.92,127,3.1064,318
1,10,2012,0.002698,157,43.0,157,71.15,157,9.828,157,3.0275,359
1,11,2012,0.00198,124,40.0,124,71.65,124,10.319,124,3.1228,305
1,12,2012,0.002012,124,42.0,124,76.65,124,12.029,124,3.0982,284
1,13,2012,0.0019,123,32.0,123,66.64,123,10.702,123,3.032,303
1,14,2012,0.002033,157,33.0,157,70.76,157,10.266,157,3.1254,349
1,15,2012,0.002039,156,35.0,156,67.22,156,10.635,156,3.047,348
1,16,2012,0.002273,143,36.0,143,71.86,143,12.016,143,3.1284,317
1,17,2012,0.002444,134,42.0,134,71.66,134,9.695,134,3.0904,281
1,18,2012,0.001891,144,40.0,144,69.03,144,10.999,144,3.0624,307
1,19,2012,0.002574,117,30.0,117,61.97,117,12.063,117,3.05,279
1,20,2012,0.002367,150,38.0,150,70.9,150,10.106,150,3.1016,332
1,21,2012,0.002344,139,38.0,139,74.56,139,10.96,139,3.1313,374
1,22,2012,0.003179,144,38.0,144,70.0,144,8.772,144,3.1302,333
1,23,2012,0.001553,172,33.0,172,67.4,172,12.475,172,3.1395,352
1,24,2012,0.001412,112,36.5,112,64.19,112,12.236,112,3.1711,263
1,25,2012,0.003398,128,38.0,128,69.79,128,11.065,128,3.1314,268
1,26,2012,0.001952,140,34.0,140,59.88,140,11.79,140,3.1648,304
1,27,2012,0.002314,114,40.0,114,72.39,114,11.893,114,3.1253,272
1,28,2012,0.002854,149,40.0,149,81.29,149,11.258,149,2.9955,330
1,29,2012,0.002507,156,39.0,156,77.67,156,11.282,156,3.0678,365
1,30,2012,0.002256,141,31.0,141,66.83,141,11.453,141,3.1137,282
1,31,2012,0.002143,138,33.0,137,69.71,137,13.52,138,3.2138,283
2,1,2012,0.001609,109,37.0,109,63.67,109,12.746,109,3.1385,258
2,2,2012,0.002082,112,30.5,112,66.86,112,13.862,112,3.1272,254
2,3,2012,0.002709,115,31.0,115,68.23,115,11.072,115,3.0508,267
