month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.001552,211,33,211,63.72,211,12.09,211,3.163,472
1,1,2012,0.002262,126,33,126,58.64,126,13.1,126,3.092,292
1,2,2012,0.002092,80,32,80,64.49,80,11.65,80,3.194,206
1,3,2012,0.001206,52,28,52,61,52,13.69,52,3.252,127
1,4,2012,0.002126,40,35.5,40,67.76,40,10.45,40,3.132,105
1,5,2012,0.00106,37,29,37,58.32,37,11.64,37,3.014,82
1,6,2012,0.001758,40,29.5,40,50.46,40,15.6,40,3.087,117
1,7,2012,0.002124,59,36,59,68.33,59,9.772,59,3.131,126
1,8,2012,0.001391,79,29,79,59.36,79,14.16,79,3.053,205
1,9,2012,0.00177,109,34,109,68.18,109,12.91,109,3.153,259
1,10,2012,0.002013,156,32,156,67.03,156,11.32,156,3.176,346
1,11,2012,0.002272,187,31,187,63.8,187,11.66,187,3.092,405
1,12,2012,0.002073,202,31,202,66.61,202,12.2,202,3.119,463
1,13,2012,0.002046,205,35,204,66.25,204,11.34,205,3.189,482
1,14,2012,0.002043,201,30,201,64.2,201,14.66,201,3.129,448
1,15,2012,0.002498,251,36,251,63.63,251,10.9,251,3.14,542
1,16,2012,0.002414,217,36,217,69.22,217,10.94,217,3.172,555
1,17,2012,0.002175,262,37,262,71.06,262,12.39,262,3.135,626
1,18,2012,0.002351,287,33,287,68.68,287,10.27,287,3.115,637
1,19,2012,0.002641,292,36.5,292,67.73,292,10.4,292,3.066,709
1,20,2012,0.002811,303,43,303,83.99,303,9.673,303,3.01,711
1,21,2012,0.002808,334,47,334,98.26,334,7.254,334,2.938,752
1,22,2012,0.004202,310,46,310,90.71,310,8.12,310,2.926,656
1,23,2012,0.002477,250,38,250,77.47,250,10.35,250,3.079,586
2,0,2012,0.003272,194,31,194,68.15,194,12.23,194,3.05,414
2,1,2012,0.002475,123,38,123,67.09,123,11.85,123,3.092,275
2,2,2012,0.002298,84,31,84,74.84,84,9.513,84,3.078,199
2,3,2012,0.001367,65,36,65,67.92,65,13.03,65,3.173,149
2,4,2012,0.001893,50,34.5,50,77.61,50,7.345,50,3.215,105
2,5,2012,0.0023,38,36.5,38,59.48,38,14.27,38,3.25,80
2,6,2012,0.001546,42,33.5,42,69.7,42,8.304,42,2.993,92
2,7,2012,0.002264,68,29.5,68,56.38,68,10.08,68,3.021,156
2,8,2012,0.00169,96,28,96,58.83,96,13.44,96,3.174,216
2,9,2012,0.001597,105,32,105,58,105,13.01,105,3.093,249
2,10,2012,0.002416,124,32,124,64.34,124,10.53,124,3.193,321
