year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,1,108.2,21,19.087,21,44.0,21,0.006907,21,7.238,50
2012,1,2,101.0,18,10.284,18,44.0,18,0.008719,18,3.734,45
2012,1,3,133.6,30,23.253,30,46.5,30,0.007794,30,12.366,58
2012,1,4,135.5,37,23.918,37,42.0,37,0.007149,37,11.429,53
2012,1,5,136.9,21,23.580,21,47.0,21,0.007179,21,5.048,48
2012,1,6,106.4,24,19.887,24,42.0,24,0.006952,24,7.260,52
2012,1,7,117.5,20,23.973,20,44.5,20,0.007521,20,19.255,46
2012,1,8,135.3,28,22.378,28,45.0,28,0.007972,28,17.027,50
2012,1,9,119.0,39,23.461,39,47.0,39,0.007114,39,8.483,80
2012,1,10,153.4,39,23.098,39,45.0,39,0.008092,39,11.720,58
2012,1,11,133.9,20,23.398,20,45.5,20,0.007230,20,8.241,44
2012,1,12,125.4,31,22.927,31,44.0,31,0.006774,31,8.251,70
2012,1,13,140.6,22,24.029,22,44.5,22,0.006857,22,6.047,53
2012,1,14,150.9,31,22.280,31,50.0,31,0.007437,31,5.251,45
2012,1,15,142.7,39,23.863,39,47.0,39,0.007412,39,6.643,70
2012,1,16,139.2,37,23.079,37,56.0,37,0.006797,37,5.300,65
2012,1,17,142.1,36,23.110,36,48.5,36,0.006766,36,10.226,66
2012,1,18,160.0,22,23.635,22,49.0,22,0.007671,22,9.982,51
2012,1,19,133.7,28,22.381,28,46.5,28,0.007964,28,12.382,51
2012,1,20,139.4,29,21.513,29,47.0,29,0.007782,29,5.759,60
2012,1,21,127.1,29,15.038,29,52.0,29,0.007149,29,4.554,60
2012,1,22,129.0,25,22.723,25,42.0,25,0.006966,25,8.591,55
2012,1,23,126.9,30,23.451,30,47.0,30,0.007057,30,3.851,59
2012,1,24,135.4,27,24.264,27,44.0,27,0.007892,27,7.029,55
2012,1,25,130.0,28,23.656,28,40.5,28,0.008004,28,10.283,68
2012,1,26,160.0,28,22.373,28,49.0,28,0.007578,28,12.591,61
2012,1,27,122.5,32,23.284,32,42.5,32,0.007046,32,11.582,65
2012,1,28,119.8,22,22.047,22,47.5,22,0.006913,22,13.223,52
2012,1,29,130.0,35,22.636,35,44.0,35,0.006270,35,6.880,59
2012,1,30,130.0,29,23.958,29,46.0,29,0.007271,29,11.142,56
2012,1,31,139.0,27,23.243,27,49.0,27,0.006440,27,12.011,59
2012,2,1,125.3,19,23.085,19,43.0,19,0.007134,19,8.983,53
2012,2,2,125.9,34,22.591,34,44.0,34,0.006967,34,11.141,57
2012,2,3,121.9,23,22.061,23,50.0,23,0.006651,23,4.635,58
2012,2,4,119.2,33,22.929,33,45.0,33,0.006743,33,11.631,67
2012,2,5,131.4,29,24.157,29,43.0,29,0.007708,29,12.776,62
2012,2,6,140.6,32,24.157,32,42.0,32,0.007211,32,11.352,58
2012,2,7,117.6,27,22.677,27,43.0,27,0.007003,27,9.954,58
2012,2,8,103.4,35,21.866,35,43.0,35,0.006275,35,11.798,77
2012,2,9,109.7,36,16.988,36,43.5,36,0.005515,36,4.887,80
2012,2,10,127.2,41,21.808,41,42.0,41,0.007473,41,5.298,80
2012,2,11,122.3,38,23.525,38,44.0,38,0.006832,38,4.416,85
2012,2,12,108.8,41,18.116,41,47.0,41,0.005901,41,2.912,76
2012,2,13,123.1,30,22.689,30,42.0,30,0.006926,30,10.789,63
2012,2,14,137.9,29,18.559,29,44.0,29,0.006972,29,4.372,65
2012,2,15,124.6,39,22.724,39,47.0,39,0.006820,39,8.475,61
2012,2,16,125.4,39,23.067,39,45.0,39,0.007561,39,10.102,77
2012,2,17,116.3,38,22.801,38,44.0,38,0.006775,38,8.044,68
2012,2,18,121.7,26,23.827,26,43.0,26,0.006744,26,4.061,63
2012,2,19,139.3,37,23.401,37,42.0,37,0.008130,37,5.338,71
2012,2,20,132.8,32,23.137,32,42.0,32,0.007494,32,6.856,70
2012,2,21,138.6,31,23.161,31,40.0,31,0.007825,31,4.937,77
2012,2,22,118.9,38,22.896,38,44.0,38,0.007481,38,9.236,79
2012,2,23,128.3,25,22.845,25,44.0,25,0.007260,25,5.531,65
2012,2,24,130.6,24,22.711,24,43.0,24,0.007403,24,4.177,53
2012,2,25,113.6,43,16.521,43,44.0,43,0.007989,43,4.948,66
2012,2,26,156.0,38,21.064,38,45.5,38,0.008073,38,5.096,85
2012,2,27,132.8,36,23.915,36,43.0,36,0.007655,36,5.335,77
2012,2,28,129.9,41,22.579,41,44.0,41,0.007659,41,6.116,74
2012,2,29,125.3,37,24.005,37,40.0,37,0.006570,37,9.738,65
2012,3,1,118.1,34,22.084,34,42.5,34,0.007502,34,4.116,70
2012,3,2,138.6,38,22.952,38,44.0,38,0.007503,38,13.587,67
2012,3,3,138.3,34,21.974,34,46.5,34,0.007196,34,4.454,68
2012,3,4,134.0,46,23.240,46,48.5,46,0.007558,46,4.293,86
2012,3,5,120.3,44,23.745,44,42.0,44,0.007076,44,4.692,79
2012,3,6,154.4,30,23.924,30,45.5,30,0.007608,30,4.856,65
2012,3,7,128.9,53,23.514,53,44.0,53,0.007692,53,14.795,83
2012,3,8,129.4,22,23.227,22,53.5,22,0.006753,22,18.476,40
2012,3,9,113.1,34,20.499,34,43.5,34,0.007221,34,5.169,72
2012,3,10,116.2,31,23.154,31,45.0,31,0.007127,31,7.746,67
2012,3,11,137.6,26,13.877,26,42.5,26,0.006582,26,4.992,54
2012,3,12,128.7,35,20.754,35,49.0,35,0.007617,35,4.413,62
2012,3,13,134.4,32,22.488,32,46.5,32,0.008039,32,9.690,70
2012,3,14,121.1,35,23.647,35,43.0,35,0.007431,35,5.286,73
2012,3,15,128.0,30,22.072,30,50.5,30,0.007530,30,6.775,56
2012,3,16,138.2,23,22.914,23,43.0,23,0.009392,23,13.050,57
2012,3,17,137.3,35,23.711,35,44.0,35,0.007422,35,5.961,61
2012,3,18,114.5,35,23.990,35,42.0,35,0.007061,35,20.178,74
2012,3,19,129.8,34,23.296,34,42.5,34,0.007667,34,15.054,58
2012,3,20,126.1,26,24.307,26,42.5,26,0.007936,26,12.967,48
2012,3,21,123.6,36,23.075,36,42.5,36,0.007079,36,18.675,54
2012,3,22,129.2,33,22.902,33,52.0,33,0.007775,33,5.702,68
2012,3,23,130.3,26,24.198,26,44.0,26,0.006977,26,16.699,44
2012,3,24,111.6,28,23.573,28,46.0,28,0.007047,28,5.776,64
2012,3,25,126.7,29,15.634,29,46.0,29,0.007581,29,4.050,72
2012,3,26,119.8,37,22.893,37,44.0,37,0.007148,37,11.053,73
2012,3,27,112.2,39,23.823,39,42.0,39,0.007111,39,19.487,60
2012,3,28,137.4,37,22.240,37,44.0,37,0.006500,37,13.408,64
2012,3,29,124.9,34,23.922,34,42.0,34,0.006930,34,10.188,66
2012,3,30,121.1,33,23.200,33,43.0,33,0.007428,33,4.064,58
2012,3,31,128.9,23,22.921,23,45.0,23,0.007340,23,7.909,44
2012,4,1,120.4,15,24.004,15,49.0,15,0.006848,15,10.764,30
2012,4,2,125.6,24,23.354,24,40.0,24,0.006193,24,8.810,40
2012,4,3,116.1,15,21.863,15,42.0,15,0.006159,15,10.551,31
2012,4,4,126.6,14,24.142,14,42.0,14,0.007661,14,9.592,25
2012,4,5,142.8,24,21.812,24,45.0,24,0.007756,24,8.669,48
2012,4,6,123.6,19,23.940,19,46.0,19,0.007097,19,15.383,32
2012,4,7,117.5,13,23.824,13,44.0,13,0.007404,13,6.906,28
2012,4,8,125.3,15,23.286,15,43.0,15,0.006791,15,13.012,29
2012,4,9,152.3,13,23.836,13,41.0,13,0.008380,13,4.088,29
2012,4,10,108.1,12,23.347,12,46.5,12,0.006658,12,13.472,29
2012,4,11,101.5,20,23.370,20,40.0,20,0.006254,20,11.487,39
2012,4,12,120.1,21,24.107,21,41.0,21,0.006767,21,19.556,31
2012,4,13,119.3,16,24.048,16,43.0,16,0.007348,16,16.662,34
2012,4,14,147.6,18,23.006,18,45.0,18,0.007183,18,9.679,33
2012,4,15,132.8,17,23.404,17,42.0,17,0.007694,17,4.005,39
2012,4,16,143.9,18,16.876,18,50.5,18,0.007088,18,4.123,32
2012,4,17,133.7,13,23.380,13,41.0,13,0.007163,13,4.401,35
2012,4,18,124.6,14,23.767,14,40.0,14,0.007085,14,19.069,23
2012,4,19,136.8,24,21.395,24,48.5,24,0.006917,24,11.129,38
2012,4,20,128.8,20,23.062,20,43.0,20,0.007053,20,17.207,35
2012,4,21,126.3,16,23.644,16,42.0,16,0.006890,16,9.658,34
2012,4,22,118.7,11,18.595,11,40.0,11,0.007960,11,9.849,24
2012,4,23,139.7,12,21.703,12,51.0,12,0.006772,12,4.407,25
2012,4,24,129.1,22,22.172,22,41.5,22,0.007675,22,11.490,41
2012,4,25,134.9,28,23.735,28,44.0,28,0.006993,28,15.607,58
2012,4,26,117.4,28,23.782,28,41.5,28,0.007071,28,15.270,56
2012,4,27,107.3,33,23.976,33,39.0,33,0.006837,33,13.957,65
2012,4,28,119.9,36,22.722,36,45.5,36,0.007304,36,9.698,82
2012,4,29,125.7,29,24.124,29,42.0,29,0.007587,29,13.643,63
2012,4,30,141.7,29,22.217,29,45.0,29,0.007529,29,4.629,64
2012,5,1,122.5,30,23.062,30,42.5,30,0.006652,30,10.395,69
2012,5,2,125.9,33,23.795,33,41.0,33,0.007071,33,10.911,63
2012,5,3,113.8,34,23.622,34,45.0,34,0.007181,34,12.471,62
2012,5,4,120.0,46,22.170,46,46.0,46,0.006494,46,9.461,90
2012,5,5,117.7,38,21.659,38,41.0,38,0.006190,38,6.494,81
2012,5,6,113.4,29,23.309,29,42.0,29,0.007595,29,15.586,67
2012,5,7,124.7,30,23.753,30,43.5,30,0.007260,30,8.387,65
2012,5,8,129.2,31,22.354,31,44.0,31,0.006034,31,11.669,61
2012,5,9,110.7,37,21.608,37,42.0,37,0.007004,37,8.909,86
2012,5,10,132.4,39,19.008,39,44.0,39,0.007517,39,8.194,75
2012,5,11,125.8,41,19.849,41,43.0,41,0.007398,41,4.822,74
2012,5,12,126.9,41,22.335,41,42.0,41,0.007717,41,4.245,87
2012,5,13,111.7,45,22.718,45,40.0,45,0.006826,45,7.520,92
2012,5,14,141.8,36,23.265,36,44.0,36,0.007447,36,4.753,80
2012,5,15,128.4,32,23.770,32,44.0,32,0.007883,32,12.559,66
2012,5,16,107.5,39,21.239,39,42.0,39,0.007018,39,5.386,64
2012,5,17,140.4,31,23.760,31,40.0,31,0.006601,31,11.885,72
2012,5,18,128.4,51,19.540,51,46.0,51,0.007362,51,5.774,87
2012,5,19,106.9,35,21.659,35,44.0,35,0.006715,35,11.796,71
2012,5,20,103.2,28,22.839,28,40.5,28,0.006571,28,5.257,64
2012,5,21,114.2,34,23.399,34,44.0,34,0.006572,34,10.065,78
2012,5,22,100.1,43,16.126,43,40.0,43,0.005695,43,4.167,78
2012,5,23,126.2,42,23.110,42,40.5,42,0.007264,42,10.335,74
2012,5,24,115.5,35,19.015,35,45.0,35,0.007524,35,6.926,75
2012,5,25,115.4,43,22.347,43,41.0,43,0.006608,43,8.606,80
2012,5,26,119.7,50,23.135,50,42.5,50,0.006314,50,5.756,96
2012,5,27,151.4,32,22.313,32,41.5,32,0.008882,32,4.068,78
2012,5,28,107.3,45,16.451,45,42.0,45,0.007868,45,3.962,101
2012,5,29,126.5,44,16.933,44,44.0,44,0.007614,44,4.091,97
2012,5,30,121.0,40,18.098,40,52.0,40,0.006726,40,7.246,79
2012,5,31,132.9,25,23.855,25,42.0,25,0.007869,25,11.696,53
2012,6,1,120.4,37,18.307,37,52.0,37,0.007662,37,9.708,75
2012,6,2,117.6,43,22.381,43,45.0,43,0.007405,43,4.568,80
2012,6,3,132.8,33,23.619,33,49.0,33,0.007289,33,3.461,72
2012,6,4,126.1,51,22.901,51,42.0,51,0.007436,51,10.929,93
2012,6,5,140.4,32,22.997,32,40.5,32,0.007089,32,6.735,78
2012,6,6,119.3,47,23.059,47,44.0,47,0.006807,47,11.213,84
2012,6,7,125.8,47,23.676,47,47.0,47,0.007644,47,11.986,88
2012,6,8,125.2,38,23.272,38,44.5,38,0.007436,38,12.099,97
2012,6,9,127.4,46,22.955,46,52.0,46,0.007512,46,8.340,104
2012,6,10,120.8,50,23.529,50,44.0,50,0.007358,50,13.389,99
2012,6,11,123.6,65,22.834,65,44.0,65,0.007279,65,9.849,118
2012,6,12,130.1,58,23.520,58,49.5,58,0.007364,58,10.375,122
