month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.01206,23,70,23,117.6,23,5.251,23,0.5541,50
1,2,2012,0.009426,43,57,43,93.64,43,3.64,43,0.5531,65
1,3,2012,0.006722,32,55,32,130,32,3.453,32,0.6025,60
1,4,2012,0.0091,33,58,33,124.1,33,3.137,33,0.5007,70
1,5,2012,0.007807,44,52.5,44,89.51,44,2.727,44,0.5499,68
1,6,2012,0.01375,20,68.5,20,127.1,20,2.855,20,0.532,47
1,7,2012,0.005433,23,60,23,92.65,23,1.808,23,0.5768,56
1,8,2012,0.01452,31,74,31,123,31,3.854,31,0.5745,67
1,9,2012,0.01016,26,49.5,26,107.2,26,3.72,26,0.592,39
1,10,2012,0.01328,24,49,24,118.6,24,3.272,24,0.6077,40
1,11,2012,0.01162,43,72,43,123.4,43,3.495,43,0.5754,63
1,12,2012,0.007822,27,75,27,116.1,27,2.602,27,0.5565,46
1,13,2012,0.01203,26,72.5,26,92.82,26,2.313,26,0.5599,50
1,14,2012,0.01331,26,60.5,26,132.5,26,4.244,26,0.585,41
1,15,2012,0.01369,24,76.5,24,150.7,24,2.5,24,0.4529,42
1,16,2012,0.008289,31,56,31,138.6,31,2.463,31,0.5465,63
1,17,2012,0.005155,21,68,21,86.79,21,3.08,21,0.6168,44
1,18,2012,0.008016,31,65,31,136,31,3.34,31,0.5617,60
1,19,2012,0.005475,12,52,12,113.1,12,6.006,12,0.4559,37
1,20,2012,0.01162,27,68,27,118,27,2.621,27,0.5773,52
1,21,2012,0.007821,23,68.5,24,134.6,24,2.47,24,0.5422,41
1,22,2012,0.01219,27,60,27,97.55,27,4.555,27,0.5649,64
1,23,2012,0.005277,29,54,29,104.6,29,3.54,29,0.5842,52
1,24,2012,0.008065,19,60,19,130.9,19,3.481,19,0.5837,32
1,25,2012,0.00791,23,54,23,91.82,23,5.545,23,0.6026,43
1,26,2012,0.01114,30,62.5,30,103.7,30,2.652,30,0.5947,55
1,27,2012,0.00843,38,67,38,116.6,38,2.976,38,0.5327,79
1,28,2012,0.007551,49,55,49,104,49,4.157,49,0.5937,104
1,29,2012,0.007231,22,53,22,99.2,22,3.53,22,0.6015,44
1,30,2012,0.006086,42,59,42,106.7,42,3.633,42,0.6138,75
1,31,2012,0.007207,30,58,30,85.74,30,5.855,30,0.5962,47
2,1,2012,0.00977,28,64.5,28,112.9,28,1.383,28,0.5892,58
2,2,2012,0.01315,48,70.5,48,139.2,48,1.63,48,0.5364,64
2,3,2012,0.01223,39,67,39,156.9,39,2.391,39,0.5745,69
2,4,2012,0.006245,42,68.5,42,102.1,42,3.462,42,0.5845,87
2,5,2012,0.009877,52,65,52,102.6,52,3.179,52,0.5854,91
2,6,2012,0.01178,31,70,31,129.1,31,1.934,31,0.6112,60
2,7,2012,0.01024,38,62.5,38,112.6,38,2.908,38,0.5653,76
2,8,2012,0.02063,36,70,36,107.5,36,2.591,36,0.5626,60
2,9,2012,0.00578,27,63,27,103.7,27,5.855,27,0.5993,49
2,10,2012,0.006835,45,53,45,103.5,45,5.755,45,0.6096,79
2,11,2012,0.0074,51,64,51,113.7,51,4.452,51,0.6035,83
2,12,2012,0.006259,48,54,48,111.9,48,5.756,48,0.6036,101
2,13,2012,0.005599,45,51,45,81.17,45,5.246,45,0.6016,60
2,14,2012,0.004728,36,43,36,81.91,36,5.067,36,0.6044,68
2,15,2012,0.006076,40,50.5,40,105.8,40,5.44,40,0.6123,73
2,16,2012,0.009275,47,64,47,122.1,47,3.549,47,0.5899,103
2,17,2012,0.006162,45,43,45,92.35,45,5.803,45,0.6171,73
2,18,2012,0.007508,42,69.5,42,124.3,42,2.534,42,0.5212,102
2,19,2012,0.006497,62,57.5,62,128.3,62,2.99,62,0.5858,120
2,20,2012,0.01073,55,50,55,102.3,55,4.648,55,0.5935,104
2,21,2012,0.007738,59,67,59,117.6,59,4.084,59,0.591,103
2,22,2012,0.007554,52,67,52,101.6,52,2.843,52,0.5872,89
2,23,2012,0.006897,47,55,47,104.9,47,4.404,47,0.5802,85
2,24,2012,0.007026,49,63,49,125.6,49,2.893,49,0.5836,101
2,25,2012,0.006361,53,75,53,129,53,3.106,53,0.5721,96
2,26,2012,0.008133,41,69,41,112.8,41,4.925,41,0.5858,98
2,27,2012,0.00839,29,73,29,112.1,29,5.629,29,0.5661,54
2,28,2012,0.005838,29,60,29,83.06,29,3.48,29,0.5945,52
2,29,2012,0.00442,22,58,22,99.3,22,5.205,22,0.5946,49
3,1,2012,0.008621,46,58,46,124.3,46,2.915,46,0.5862,80
3,2,2012,0.009958,58,65,58,125.3,58,4.735,58,0.5869,102
3,3,2012,0.007788,55,52,55,88.67,55,5.684,55,0.6222,96
