year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,1,48.5,179,9.025,179,20.0,179,0.002605,179,3.253,292
2012,1,2,46.8,127,6.995,127,21.0,127,0.004374,126,3.249,268
2012,1,3,50.0,105,10.983,105,19.0,105,0.001420,105,3.253,276
2012,1,4,51.3,150,8.812,150,19.0,150,0.001659,150,3.255,301
2012,1,5,47.8,133,13.061,133,18.0,133,0.002186,133,3.256,286
2012,1,6,44.9,136,12.923,136,18.0,136,0.002035,136,3.254,259
2012,1,7,46.7,154,13.200,154,19.0,154,0.001399,154,3.254,299
2012,1,8,50.8,205,7.722,205,20.0,205,0.002781,205,3.253,382
2012,1,9,49.6,147,8.000,147,19.0,147,0.002957,147,3.076,277
2012,1,10,47.2,146,6.645,146,20.5,146,0.004243,146,3.251,252
2012,1,11,43.3,140,10.819,140,20.0,140,0.001860,140,3.253,280
2012,1,12,45.7,139,8.153,139,19.0,139,0.003041,139,3.253,260
2012,1,13,48.5,160,7.740,160,20.5,160,0.002533,160,3.172,305
2012,1,14,43.6,163,10.291,163,19.0,163,0.002201,163,3.183,297
2012,1,15,47.6,216,7.422,216,21.0,216,0.003414,216,3.213,359
2012,1,16,47.3,160,4.698,160,21.0,160,0.004795,160,3.255,284
2012,1,17,46.2,153,3.897,153,22.0,153,0.005474,153,3.253,250
2012,1,18,50.6,170,9.421,170,19.5,170,0.001929,170,3.255,293
2012,1,19,47.5,148,11.817,148,19.0,148,0.001579,148,3.266,256
2012,1,20,43.6,141,11.174,141,19.0,141,0.001499,141,3.255,265
2012,1,21,47.4,163,10.676,163,20.0,163,0.000998,163,3.256,347
2012,1,22,42.7,175,10.044,175,18.0,175,0.001158,175,3.251,348
2012,1,23,46.3,149,10.909,149,18.0,149,0.001725,149,3.253,314
2012,1,24,48.3,165,10.334,165,21.0,165,0.002497,165,3.252,293
2012,1,25,45.7,195,11.411,195,20.0,195,0.002286,195,3.294,341
2012,1,26,40.8,202,13.000,202,19.0,202,0.001175,202,3.254,357
2012,1,27,44.7,194,12.456,194,18.0,194,0.000943,194,3.293,395
2012,1,28,41.5,225,14.779,225,18.0,225,0.001160,225,3.215,461
2012,1,29,46.8,185,9.935,185,19.0,185,0.001417,185,3.273,347
2012,1,30,50.6,128,7.566,128,20.0,128,0.003026,128,3.251,236
2012,1,31,49.0,168,12.109,168,19.0,168,0.001619,168,3.255,329
2012,2,1,44.1,280,10.229,280,19.0,280,0.001633,280,3.252,491
2012,2,2,49.3,233,12.422,233,19.0,233,0.001768,233,3.212,445
2012,2,3,49.0,248,13.298,248,19.0,248,0.001283,248,3.216,513
2012,2,4,44.0,306,12.019,306,18.0,306,0.001380,306,3.251,580
2012,2,5,50.9,280,11.925,280,19.0,280,0.001773,280,3.254,591
2012,2,6,42.6,270,14.208,270,19.0,270,0.001555,270,3.226,559
2012,2,7,47.5,249,10.273,249,20.0,249,0.002274,249,3.174,524
2012,2,8,47.3,210,12.645,210,19.5,210,0.001760,210,3.250,426
2012,2,9,40.6,141,10.947,141,19.0,141,0.001852,141,3.265,267
2012,2,10,43.1,290,12.093,290,18.0,290,0.001305,290,3.254,575
2012,2,11,45.0,314,9.603,314,19.0,314,0.001491,313,3.256,645
2012,2,12,47.1,340,8.234,340,20.0,340,0.002709,340,3.213,637
2012,2,13,46.4,269,11.566,269,19.0,269,0.002315,269,3.254,581
2012,2,14,42.8,229,13.690,229,19.0,229,0.001508,229,3.252,467
2012,2,15,54.4,281,10.495,281,20.0,281,0.002279,281,3.231,550
2012,2,16,45.1,237,11.813,237,18.0,237,0.001784,237,3.254,510
2012,2,17,48.9,253,11.066,253,19.0,253,0.001784,253,3.253,529
2012,2,18,44.8,291,10.866,291,19.0,291,0.001402,291,3.252,630
2012,2,19,45.8,313,10.307,313,19.0,313,0.002662,313,3.292,674
2012,2,20,48.0,312,9.587,312,19.0,312,0.001941,312,3.254,665
2012,2,21,44.2,243,9.684,243,19.0,243,0.001813,241,3.254,563
2012,2,22,46.7,263,10.957,263,19.0,263,0.001558,263,3.253,539
2012,2,23,47.0,239,10.337,239,19.0,239,0.002021,239,3.255,555
2012,2,24,50.9,235,12.198,235,19.0,235,0.001664,235,3.294,581
2012,2,25,47.1,251,12.084,251,19.0,251,0.001592,251,3.255,595
2012,2,26,47.0,380,10.492,380,18.0,380,0.001508,378,3.253,752
2012,2,27,53.2,166,12.846,166,18.0,166,0.001108,166,3.251,312
2012,2,28,44.8,152,13.561,152,18.0,152,0.001218,152,3.293,360
2012,2,29,43.1,149,16.289,149,17.0,149,0.000683,149,3.256,311
2012,3,1,46.9,223,14.837,223,18.0,223,0.000839,220,3.294,545
2012,3,2,51.5,265,10.404,265,19.0,265,0.001657,265,3.213,569
2012,3,3,49.0,232,11.113,232,18.0,232,0.001588,232,3.255,581
2012,3,4,46.3,331,12.818,331,19.0,331,0.001081,325,3.253,642
2012,3,5,42.0,305,14.272,305,17.0,305,0.000896,305,3.251,599
2012,3,6,48.1,326,10.706,326,19.0,326,0.003176,324,3.292,616
2012,3,7,47.1,283,5.107,283,22.0,283,0.003902,282,3.294,540
2012,3,8,47.2,286,7.729,286,19.0,286,0.002181,286,3.253,564
2012,3,9,51.2,245,8.911,245,19.0,245,0.002159,245,3.253,511
2012,3,10,40.0,307,12.372,307,17.0,307,0.001457,307,3.290,667
2012,3,11,46.7,246,7.969,246,19.0,246,0.002593,246,3.288,453
