month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.003013,126,29.5,126,54.35,126,8.63,126,2.399,169
1,2,2012,0.002642,136,32,135,61.04,135,7.886,136,3.106,181
1,3,2012,0.002523,82,30,82,57.77,82,6.112,82,3.015,135
1,4,2012,0.002759,83,32,83,62.94,83,7.24,83,3.173,136
1,5,2012,0.001876,86,30.5,86,56.81,86,11.83,86,3.113,132
1,6,2012,0.002015,109,29,109,54.77,109,9.29,109,3.253,161
1,7,2012,0.002433,128,28.5,128,57.95,128,8.826,128,3.175,183
1,8,2012,0.002242,107,28,107,57.06,107,7.704,107,3.139,152
1,9,2012,0.001844,84,25.5,84,45.8,84,12.17,84,2.97,154
1,10,2012,0.002544,92,27,92,57.63,92,7.113,92,3.039,140
1,11,2012,0.002572,110,27,110,56,110,9.667,110,2.96,153
1,12,2012,0.002685,107,30,107,70.7,107,8.939,107,2.653,175
1,13,2012,0.001762,108,29,108,52.56,108,10.98,108,2.624,163
1,14,2012,0.002441,91,24,91,52,91,10.88,91,3.095,153
1,15,2012,0.003645,116,35,116,63.61,116,5.65,116,2.77,183
1,16,2012,0.003652,121,31,121,61.91,121,7.415,121,2.985,171
1,17,2012,0.002059,100,31,101,61.55,101,8.816,101,2.976,157
1,18,2012,0.002208,88,28.5,88,55.79,88,9.76,88,3.052,141
1,19,2012,0.002571,83,32,83,56.56,83,9.712,83,3.034,126
1,20,2012,0.002065,94,28,94,50.18,94,12.41,94,2.976,157
1,21,2012,0.00217,118,34,118,73.04,118,8.49,118,2.935,193
1,22,2012,0.00257,133,31,133,60.66,133,9.544,133,2.73,197
1,23,2012,0.002001,119,33.5,120,57.85,120,8.662,120,3.163,177
1,24,2012,0.001998,110,34,110,69.55,110,9.487,110,2.893,156
1,25,2012,0.001572,86,27,87,48.29,87,11.92,87,3.162,144
1,26,2012,0.002326,115,23,115,46.79,115,11.1,115,3.014,174
1,27,2012,0.002622,145,28,145,53.37,145,10.8,145,3.094,235
1,28,2012,0.002709,167,31,167,65.73,167,7.256,167,2.94,286
1,29,2012,0.00309,137,26,137,52.33,137,6.274,137,2.855,205
1,30,2012,0.002135,91,28,91,54.07,91,8.547,91,2.784,164
1,31,2012,0.002342,88,27,88,53.24,88,11.97,88,3.071,135
2,1,2012,0.001897,122,28,122,55.51,122,8.664,122,2.696,199
2,2,2012,0.002046,136,24.5,136,51.5,136,12.7,136,3.081,219
2,3,2012,0.002736,140,28,140,55.87,140,6.025,140,2.936,214
2,4,2012,0.002125,127,28,127,53.08,127,8.556,127,2.986,196
2,5,2012,0.002768,142,30,142,60.72,142,8.126,142,2.803,259
2,6,2012,0.002661,138,27,138,50.81,138,9.468,138,2.77,218
2,7,2012,0.002548,131,30,131,56.22,131,7.652,131,3.211,239
2,8,2012,0.002148,133,28,133,47.23,133,10.72,133,3.174,199
2,9,2012,0.002839,83,28,83,55.87,83,10.44,83,3.131,132
2,10,2012,0.003033,159,31,159,59.55,159,8.239,159,3.175,248
2,11,2012,0.002717,171,28,171,56.78,171,8.616,171,3.061,254
2,12,2012,0.00366,185,28,185,56.31,185,7.428,185,2.973,280
2,13,2012,0.001671,171,28,171,55.65,171,9.846,171,3.04,261
2,14,2012,0.002074,130,26,130,49.21,130,10.49,130,2.909,202
2,15,2012,0.002213,160,28,160,50.39,160,10.06,160,3.173,255
2,16,2012,0.003158,139,32,139,59.78,139,7.509,139,3.095,270
2,17,2012,0.002228,136,27,136,50.75,136,9.792,136,2.893,237
2,18,2012,0.002417,181,27,181,50.48,181,9.774,181,3.215,295
2,19,2012,0.002463,209,28,209,58.78,209,6.317,209,3.015,312
2,20,2012,0.002109,184,28,184,49.84,184,9.371,184,3.138,289
2,21,2012,0.001985,121,27,122,50.46,122,12.63,122,3.059,244
2,22,2012,0.002032,126,28,126,53.85,126,12.46,126,2.911,238
2,23,2012,0.00157,156,27,156,48.74,156,12.79,156,3.044,264
2,24,2012,0.001708,157,28,157,52.82,157,11.13,157,2.986,232
2,25,2012,0.002562,161,30,161,54.88,161,10.72,161,3.213,278
2,26,2012,0.001973,189,30,189,55,189,10.33,189,3.058,293
2,27,2012,0.002344,137,28,137,53.37,137,8.752,137,2.792,205
2,28,2012,0.002385,105,33,105,70.88,105,7.23,105,2.978,163
2,29,2012,0.002633,122,28,122,63.04,122,8.423,122,3.06,184
3,1,2012,0.001974,146,27,146,51.97,146,10.11,146,3.203,219
3,2,2012,0.002219,169,36,169,59.73,169,10.16,169,2.977,269
3,3,2012,0.002455,212,34,212,59.91,212,9.949,212,3.056,340
3,4,2012,0.00277,219,34,219,56.61,219,8.241,219,3.133,348
3,5,2012,0.002216,248,34,250,68.96,250,10.27,250,3.173,407
3,6,2012,0.002699,184,34,186,66.45,186,7.949,186,3.012,275
3,7,2012,0.003218,183,34,183,61.44,183,8.176,183,3.295,283
3,8,2012,0.00238,160,33,160,54.22,160,10.5,160,2.964,244
3,9,2012,0.002177,124,32,124,61.19,124,9.181,124,3.221,198
3,10,2012,0.002572,206,34,206,65.36,206,7.797,206,3.218,298
3,11,2012,0.002813,176,34,176,57.68,176,9.24,176,3.025,230
3,12,2012,0.002438,150,34,150,61.8,150,10.29,150,3.366,240
3,13,2012,0.002508,132,36,132,67.25,132,9.872,132,2.976,227
3,14,2012,0.002662,130,36,130,64.65,130,7.324,130,3.175,206
3,15,2012,0.002953,179,32,179,56.65,179,8.669,179,3.015,262
3,16,2012,0.002844,191,34,191,62.74,191,8.032,191,2.853,255
3,17,2012,0.002857,205,33,205,57.05,205,7.937,205,3.296,277
3,18,2012,0.003457,195,35,195,61.13,195,5.557,195,3.006,278
3,19,2012,0.003518,138,34,138,58.03,138,7.436,138,3.192,182
3,20,2012,0.002346,170,34,170,52.86,170,9.106,170,2.891,231
3,21,2012,0.002474,167,35,167,61.21,167,9.747,167,3.126,265
3,22,2012,0.002584,157,33,157,52.6,157,6.794,157,3.505,219
3,23,2012,0.002512,151,34,151,56.52,151,9.526,151,3.161,216
3,24,2012,0.003386,163,35,163,54.02,163,9.464,163,3.35,237
3,25,2012,0.002968,178,35,178,59.35,178,6.355,178,2.745,294
3,26,2012,0.002881,111,32,111,53.17,111,8.396,111,3.084,171
3,27,2012,0.002386,172,33.5,172,57.86,172,7.74,172,3.004,228
3,28,2012,0.003699,199,35,199,58.11,199,6.957,199,3.069,285
3,29,2012,0.003133,138,35,138,59.21,138,7.613,138,3.004,225
3,30,2012,0.002108,147,34,147,50.72,147,12.02,147,3.272,233
3,31,2012,0.0023,155,35,155,55.95,155,9.174,155,3.102,214
4,1,2012,0.00264,207,34,207,57.73,207,7.785,207,3.304,276
4,2,2012,0.003264,200,34,200,54.42,200,9.149,200,3.169,273
4,3,2012,0.002953,129,34,129,57.01,129,6.228,129,3.132,206
4,4,2012,0.002713,161,35,161,68.44,161,7.577,161,3.01,223
4,5,2012,0.003208,141,36,141,52.81,141,7.265,141,2.611,226
4,6,2012,0.002714,172,34,172,58.05,172,9.956,172,2.839,231
4,7,2012,0.002059,147,34,147,56.67,147,11.93,147,3.487,229
4,8,2012,0.002465,202,34,202,59.23,202,6.978,202,3.01,274
4,9,2012,0.002891,152,34,152,52.77,152,8.423,152,3.086,219
4,10,2012,0.004267,199,36,199,63.5,199,4.305,199,3.164,245
4,11,2012,0.005652,184,34,184,56.95,184,3.239,184,3.012,230
4,12,2012,0.01776,170,35,170,56.8,170,1.195,170,2.928,199
4,13,2012,0.005045,172,34,172,64.11,172,3.196,172,2.762,228
4,14,2012,0.002493,168,34,168,58.63,168,10.23,168,3.248,239
4,15,2012,0.002162,169,32,169,58.28,169,11.89,169,3.056,254
4,16,2012,0.002222,143,34,143,51.18,143,12.37,143,3.44,227
4,17,2012,0.002681,128,34.5,128,61.62,128,8.281,128,3.04,181
4,18,2012,0.001871,120,33,120,52.11,120,12,120,3.445,203
4,19,2012,0.003064,166,36,166,70.72,166,7.535,166,3.158,217
4,20,2012,0.001929,154,34,154,52.38,154,12.53,154,2.945,214
4,21,2012,0.001937,166,31,166,48.85,166,13.36,166,3.231,243
4,22,2012,0.002435,196,34,196,61.75,196,7.788,196,2.884,283
4,23,2012,0.002784,138,34,138,65.31,138,10.63,138,3.219,204
4,24,2012,0.00197,117,34,117,57.83,117,9.599,117,3.083,184
4,25,2012,0.002568,116,34,116,53.89,116,11.1,116,3.162,161
4,26,2012,0.001995,141,33,142,57.87,142,8.604,142,2.766,230
