month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.007129,68,82,68,149.6,68,19.35,68,6.148,127
1,2,2012,0.004143,47,76,47,150.3,47,21.87,47,4.176,113
1,3,2012,0.006706,63,80,63,150.1,63,15.83,63,4.565,126
1,4,2012,0.006555,66,84,66,161.6,66,14.58,66,3.852,128
1,5,2012,0.00684,74,82.5,74,155.4,74,19.9,74,5.651,140
1,6,2012,0.005516,63,83,63,151.7,63,15.52,63,4.255,140
1,7,2012,0.008916,45,86,45,157.5,45,20.24,45,4.446,121
1,8,2012,0.009412,57,84,57,155,57,13.06,57,3.104,136
1,9,2012,0.009408,54,85.5,54,151.4,54,20.12,54,4.275,120
1,10,2012,0.008888,45,84,45,160.9,45,19.71,45,4.49,112
1,11,2012,0.004778,63,87,63,153,63,21.27,63,3.85,118
1,12,2012,0.00862,49,86,49,157.8,49,19.79,49,3.533,99
1,13,2012,0.005992,56,56.5,56,140.6,56,19.56,56,3.851,108
1,14,2012,0.007448,54,83,54,147.6,54,20.74,54,4.113,120
1,15,2012,0.008773,53,86,53,160.9,53,16.12,53,4.031,104
1,16,2012,0.006232,74,85,74,161.1,74,12.75,74,3.811,151
1,17,2012,0.009144,64,75,65,161.7,65,16.67,65,3.66,128
1,18,2012,0.008204,52,79.5,52,149.2,52,19.85,52,4.333,122
1,19,2012,0.009135,45,82,45,142.5,45,19.03,45,4.451,116
1,20,2012,0.008271,66,83,66,148.1,66,21.41,66,9.306,113
1,21,2012,0.007229,70,81,70,141.4,70,22.05,70,5.55,140
1,22,2012,0.008893,74,80.5,74,152.5,74,21.08,74,4.045,127
1,23,2012,0.008795,60,69.5,60,162.2,60,15.05,60,3.715,132
1,24,2012,0.007488,74,83.5,74,141.6,74,8.421,74,4.062,131
1,25,2012,0.007168,61,83,61,161.5,61,19.52,61,4.174,120
1,26,2012,0.007321,54,87,54,142.9,54,22.03,54,0.6129,218
1,27,2012,0.008395,58,89,58,152.9,58,21.84,58,4.128,145
1,28,2012,0.006122,86,82,86,141.9,86,13.8,86,3.302,180
1,29,2012,0.005603,54,73,54,134.5,54,16.08,54,4.431,122
1,30,2012,0.007184,45,82,45,153.2,45,14.38,45,3.133,101
1,31,2012,0.007336,38,82.5,38,143.6,38,17.22,38,4.377,87
2,1,2012,0.007101,66,79.5,66,154.3,66,13.78,66,3.837,138
2,2,2012,0.005395,73,48,73,100.1,73,16.03,73,7.084,157
2,3,2012,0.007667,83,82,83,145.3,83,18.42,83,3.856,163
2,4,2012,0.006249,60,64.5,60,139,60,12.78,60,3.646,159
2,5,2012,0.006117,73,65,73,143.2,73,10.72,73,2.902,147
2,6,2012,0.007327,66,70.5,66,137.6,66,19.62,66,2.437,164
2,7,2012,0.005061,77,54,77,144,77,15.92,77,4.417,201
2,8,2012,0.005679,65,55,65,136.9,65,17.29,65,4.096,141
2,9,2012,0.004037,38,22.5,38,54.52,38,12.83,38,3.978,119
2,10,2012,0.007219,83,53,83,121.8,83,12.52,83,3.699,165
2,11,2012,0.008688,92,79,92,151.3,92,7.836,92,3.676,192
2,12,2012,0.007751,83,82,83,161.1,83,12.95,83,3.454,196
2,13,2012,0.007496,77,81,77,155.9,77,11.9,77,3.694,155
2,14,2012,0.00645,56,87.5,56,159,56,10.59,56,1.97,161
