month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2012,0.0004928,1,82,1,499.1,1,12.84,1,1.414,1
11,6,2012,nan,0,nan,0,nan,0,nan,0,1.103,1
11,7,2012,0.0004614,1,74,1,80.34,1,43,1,1.405,1
11,9,2012,0.001083,1,80,1,94.36,1,1.982,1,0.4645,1
11,10,2012,0.0007657,1,80,1,96.94,1,1.499,1,0.4776,1
11,12,2012,0.005268,2,84.5,2,125.3,2,14.02,2,0.6661,2
11,14,2012,0.002187,1,79,1,89.74,1,11.49,1,0.7177,2
11,16,2012,nan,0,nan,0,nan,0,nan,0,0.5893,1
11,19,2012,nan,0,nan,0,nan,0,nan,0,0.974,1
12,6,2012,0.0005004,1,77,1,88.46,1,9.156,1,1.192,1
12,7,2012,0.002012,2,77,2,92.25,2,2.792,2,0.6059,2
12,8,2012,0.001337,4,78.5,4,91.66,4,2.955,4,0.81,4
12,10,2012,0.0001983,1,74,1,76.24,1,5.795,1,0.7005,1
12,12,2012,0.0007396,3,79,3,166.4,3,72.17,3,1.424,3
12,13,2012,0.009662,1,74,1,81.7,1,23.26,1,1.226,1
12,14,2012,0.0005947,1,74,1,98.48,1,3.903,1,0.5947,1
12,17,2012,0.0001878,1,75,1,78.27,1,6.15,1,0.656,1
12,18,2012,0.0007294,1,75,1,86.44,1,23.67,1,0.8643,1
1,5,2013,nan,0,nan,0,nan,0,nan,0,0.9028,2
1,6,2013,0.001773,1,74,1,89.48,1,2.57,1,0.6131,1
1,8,2013,0.01095,2,78,2,259.1,2,15.1,2,1.318,3
1,10,2013,0.009178,2,76.5,2,90.14,2,3.541,2,0.9135,2
1,11,2013,0.09494,1,78,1,132,1,0.3584,1,0.5493,1
1,12,2013,0.001294,1,75,1,84.64,1,3.154,1,1.061,3
1,13,2013,0.0002813,1,78,1,104.9,1,4.069,1,0.7338,3
