month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
10,18,2012,nan,0,nan,0,nan,0,nan,0,0.4168,1
10,12,2012,0.004413,1,85,1,260.1,1,1.264,1,0.6554,1
11,1,2012,0.002148,1,38,1,119,1,2.678,1,0.2309,2
11,2,2012,0.0006693,1,173,1,179.1,1,8.249,1,0.4057,1
11,3,2012,0.01813,2,49.5,2,72.4,2,7.793,2,0.2059,2
11,5,2012,nan,0,nan,0,nan,0,nan,0,7.069,2
11,7,2012,0.01185,4,74.5,4,95.17,4,3.643,4,0.5334,6
11,8,2012,0.003855,6,56.5,6,89.48,6,6.09,6,0.6035,5
11,9,2012,0.01923,2,90,2,135.5,2,4.313,2,0.9371,5
11,10,2012,0.01906,4,59,4,104.1,4,4.377,4,0.5288,6
11,11,2012,0.003343,4,63.5,4,128.3,4,4.777,4,0.6829,4
11,12,2012,0.009181,2,75,2,258.7,2,0.967,2,0.4173,4
11,13,2012,0.02008,3,102,3,234.3,3,1.219,3,0.3996,4
11,14,2012,0.01952,7,84,7,117.7,7,1.276,7,0.348,8
11,15,2012,0.01123,7,49,7,85.5,7,3.171,7,0.4492,9
11,16,2012,0.004218,8,74.5,8,136.7,8,3.929,8,0.551,9
11,17,2012,0.008366,5,41,5,83.72,5,8.346,5,0.5765,6
11,18,2012,0.002848,3,74,3,94.22,3,9.151,3,0.4595,6
11,19,2012,0.01862,3,43,3,164,3,2.74,3,0.309,3
11,20,2012,0.005163,3,51,3,117.9,3,9.222,3,0.7697,3
11,21,2012,0.01769,7,62,7,80.78,7,3.613,7,0.5853,10
11,22,2012,0.01186,2,68.5,2,141.2,2,1.487,2,0.5981,4
11,23,2012,0.02673,3,33,3,179.8,3,1.523,3,0.3279,3
12,0,2012,0.04072,1,151,1,541.6,1,0.2257,1,1.76,2
12,1,2012,0.01728,2,69,2,205.8,2,3.706,2,0.62,3
12,4,2012,0.005587,3,89,3,119.1,3,1.217,3,0.6373,5
12,5,2012,0.002646,1,28,1,33.07,1,7.451,1,6.25,1
12,6,2012,0.009395,1,93,1,100,1,2.699,1,0.5517,3
12,7,2012,0.02115,4,80,4,91.58,4,3.18,4,0.3289,7
12,8,2012,0.006025,2,58.5,2,88.15,2,7.763,2,0.4952,2
12,9,2012,0.009058,7,72,7,162.8,7,0.9209,7,0.4172,8
12,10,2012,0.006912,5,41,5,151.5,5,1.37,5,0.9152,10
12,11,2012,0.005524,2,66.5,2,75.41,2,40.21,2,0.5396,3
12,12,2012,0.00963,8,62.5,8,208.7,8,1.361,8,0.5169,9
12,13,2012,0.01521,4,73.5,4,93.81,4,2.747,4,0.5689,5
12,14,2012,0.06691,2,37,2,46.38,2,12.82,2,0.424,3
12,15,2012,0.01211,8,43.5,8,78.16,8,3.224,8,0.5254,10
12,16,2012,0.002747,3,46,3,118.4,3,15.82,3,0.1021,3
12,17,2012,0.02445,4,54,4,94.43,4,1.047,4,0.4741,6
12,18,2012,0.007463,7,49,7,100.8,7,17.71,7,1.65,7
12,19,2012,0.008307,3,64,3,89.6,3,1.566,3,0.5402,3
12,20,2012,0.000651,1,32,1,241.5,1,8.439,1,0.6294,1
12,21,2012,0.01218,4,76.5,4,155,4,2.232,4,0.4885,5
12,22,2012,0.002744,3,44,3,124.8,3,6.326,3,0.6353,3
12,23,2012,0.004695,3,55,3,304.1,3,2.39,3,0.4349,4
1,0,2013,0.007492,1,16,1,84.49,1,16.2,1,0.7183,1
1,1,2013,0.002782,1,66,1,131.4,1,3.219,1,0.006088,1
1,4,2013,0.05227,1,77,1,312.1,1,0.4393,1,0.6535,2
1,5,2013,0.04786,1,173,1,174.9,1,12.69,1,0.9604,3
