month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
10,26,2012,0.003897,1,66,1,108.8,1,5.556,1,0.8086,3
10,31,2012,0.06222,2,68.5,2,93.64,2,5.04,2,0.817,3
11,1,2012,0.00263,5,73,5,109.7,5,11.71,5,0.6905,5
11,2,2012,0.002904,3,89,3,165.7,3,6.199,3,1.159,12
11,3,2012,0.001405,4,64.5,4,85.23,4,9.736,4,0.7918,9
11,4,2012,0.008631,7,70,7,244.5,7,6.047,7,0.7938,10
11,5,2012,0.0004047,3,79,3,90.78,3,7.041,3,0.8608,9
11,6,2012,0.002475,6,67,6,86.86,6,6.446,6,0.7382,12
11,7,2012,0.01572,6,62,6,141.4,6,7.978,6,0.7561,10
11,8,2012,0.006667,5,66,5,93.06,5,7.744,5,0.7905,10
11,9,2012,0.004786,6,63.5,6,81.71,6,8.868,6,0.7365,14
11,10,2012,0.004503,8,64,8,82.88,8,13.27,8,0.7842,13
11,11,2012,0.0006629,4,70,4,97.37,4,6.642,4,0.7899,8
11,12,2012,0.04122,4,47.5,4,170.2,4,1.932,4,0.668,10
11,13,2012,0.003317,11,67,11,96.8,11,6.639,11,0.6959,17
11,14,2012,0.0009522,7,70,7,94.18,7,7.921,7,0.7859,13
11,15,2012,nan,0,nan,0,nan,0,nan,0,0.771,4
11,16,2012,0.003834,4,60,4,76.74,4,12.66,4,0.8086,11
11,17,2012,0.1696,3,24,3,92.11,3,0.1533,3,0.8127,9
11,18,2012,0.007919,4,65,4,98.03,4,4.665,4,0.7477,11
11,19,2012,0.002589,9,66,9,108.2,9,4.441,9,0.7822,12
11,20,2012,0.0555,3,77,3,120.1,3,3.711,3,0.7497,8
11,21,2012,0.002457,4,67.5,4,81.06,4,9.859,4,0.8183,9
11,22,2012,0.0005387,6,64.5,6,110.1,6,10.07,6,0.8152,16
11,23,2012,0.0146,1,70,1,89.83,1,9.497,1,0.8072,6
11,24,2012,0.0008511,10,67,10,82.92,10,13.49,10,0.8171,16
11,25,2012,0.005247,7,70,7,82.63,7,8.011,7,0.8101,9
11,26,2012,0.01003,4,68,4,101.5,4,3.046,4,0.8055,11
11,27,2012,0.001438,3,61,3,81.5,3,3.19,3,0.7788,9
11,28,2012,0.003899,6,61,6,106.8,6,10.23,6,0.7698,15
11,29,2012,0.01515,6,64,6,144,6,3.431,6,0.7956,14
11,30,2012,0.005172,8,64.5,8,102.6,8,5.058,8,0.7169,11
12,1,2012,0.001832,3,64,3,89.49,3,5.882,3,0.8058,11
12,2,2012,0.003187,5,60,5,96.43,5,6.184,5,0.8146,13
12,3,2012,0.003116,6,60,6,74.62,6,6.767,6,0.8222,16
12,4,2012,0.003916,4,65,4,129.9,4,6,4,0.7161,11
12,5,2012,0.004975,1,57,1,87.8,1,7.982,1,1.034,10
12,6,2012,0.006815,15,62,15,101.9,15,8.907,15,0.8225,25
12,7,2012,0.004778,8,64,8,104.6,8,8.509,8,0.7968,15
12,8,2012,0.001729,2,61.5,2,93.02,2,16.67,2,0.7889,9
12,9,2012,0.002152,2,42.5,2,122.6,2,11.66,2,0.7719,8
12,10,2012,0.006417,4,74.5,4,90.91,4,7.813,4,1.444,9
