year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2014,8,17,58.2,2,11.914,2,36.0,2,0.020536,2,6.724,3
2014,8,18,,,,,,,,,14.044,3
2014,8,19,38.2,2,13.291,2,11.0,2,0.003196,2,6.031,4
2014,8,20,68.5,4,5.606,4,17.5,4,0.004076,4,3.317,4
2014,8,21,25.9,5,8.770,5,13.0,5,0.001774,5,5.809,6
2014,8,22,29.1,6,8.273,6,16.5,6,0.005776,6,2.648,8
2014,8,23,,,,,,,,,2.819,2
2014,9,0,39.0,61,13.975,61,15.0,61,0.002268,61,4.890,103
2014,9,1,44.8,33,16.144,33,15.0,33,0.002933,33,4.968,61
2014,9,2,49.5,12,13.140,12,17.0,12,0.004752,12,4.916,30
2014,9,3,115.2,9,2.330,9,18.0,9,0.003243,9,6.769,20
2014,9,4,63.9,8,13.778,8,19.5,8,0.000735,8,4.672,21
2014,9,5,52.1,13,13.797,13,17.0,13,0.001811,13,5.155,34
2014,9,6,45.2,24,18.200,24,16.0,24,0.001593,24,4.867,46
2014,9,7,46.6,34,11.851,34,14.0,34,0.002279,34,6.565,67
2014,9,8,48.0,54,12.813,54,15.5,54,0.001747,54,7.609,93
2014,9,9,39.5,47,12.241,47,14.0,47,0.001485,47,4.875,86
2014,9,10,59.3,73,7.484,73,16.0,73,0.003426,73,4.821,111
2014,9,11,48.9,78,12.813,78,15.5,78,0.001425,78,4.893,106
2014,9,12,53.9,80,12.168,80,20.0,80,0.002844,80,4.901,115
2014,9,13,76.3,67,10.074,67,20.0,67,0.001846,67,4.848,119
2014,9,14,47.2,60,11.708,60,16.0,60,0.000591,60,4.872,117
2014,9,15,47.7,71,9.368,71,16.0,71,0.001112,71,4.662,124
2014,9,16,41.3,76,11.473,76,16.0,76,0.001293,76,7.449,125
2014,9,17,46.6,91,9.253,91,16.0,91,0.001235,91,5.033,146
2014,9,18,41.7,110,10.266,110,16.0,110,0.002465,110,4.835,171
2014,9,19,46.3,113,9.503,113,16.0,113,0.002004,113,4.842,173
2014,9,20,39.3,134,10.966,134,16.0,134,0.001935,134,4.902,214
2014,9,21,39.3,134,10.256,134,16.0,134,0.002216,134,4.914,214
2014,9,22,51.7,84,6.913,84,17.0,84,0.002297,84,4.666,139
2014,9,23,44.2,97,8.818,97,16.0,97,0.001554,97,4.844,151
2014,10,0,51.6,36,20.963,36,14.5,36,0.001225,36,5.188,87
2014,10,1,44.9,12,10.305,12,17.0,12,0.002161,12,4.793,28
2014,10,2,50.0,15,13.501,15,14.0,15,0.002500,15,8.733,34
2014,10,3,43.4,13,10.117,13,17.0,13,0.003262,13,4.903,23
2014,10,4,108.9,2,18.464,2,19.0,2,0.000137,2,6.424,14
2014,10,5,59.7,5,23.498,5,19.0,5,0.000572,5,4.693,11
2014,10,6,50.7,17,18.692,17,14.0,17,0.001332,17,4.381,31
2014,10,7,51.7,11,18.696,11,15.0,11,0.001824,11,7.705,31
2014,10,8,50.7,35,10.819,35,18.0,35,0.004174,35,4.929,54
2014,10,9,49.7,57,16.113,57,15.0,57,0.001408,57,6.458,95
2014,10,10,68.2,29,9.911,29,17.0,29,0.000952,29,5.087,51
2014,10,11,43.2,28,16.805,28,17.0,28,0.001188,28,4.860,54
2014,10,12,48.1,43,13.205,43,15.0,43,0.001648,43,4.872,80
2014,10,13,43.8,54,11.367,54,15.0,54,0.002215,54,4.879,94
2014,10,14,49.3,34,21.063,34,15.5,34,0.001941,34,4.915,77
2014,10,15,59.5,43,13.107,43,16.0,43,0.002350,43,4.864,91
2014,10,16,70.4,45,11.744,45,15.0,45,0.001088,45,5.779,96
2014,10,17,46.3,60,18.096,60,15.0,60,0.001378,60,6.428,132
2014,10,18,46.2,67,13.576,67,16.0,67,0.002718,67,4.841,126
2014,10,19,57.3,86,14.071,86,16.0,86,0.001508,86,4.840,153
2014,10,20,61.9,86,14.023,86,17.0,86,0.001442,86,4.805,163
2014,10,21,53.2,99,11.540,99,16.0,99,0.001629,99,4.868,165
2014,10,22,54.8,65,8.289,65,15.0,65,0.002589,65,4.927,133
2014,10,23,53.3,57,6.761,57,15.0,57,0.003035,57,4.561,103
2014,11,0,41.1,50,18.586,50,15.0,50,0.001186,50,6.530,96
2014,11,1,64.8,32,17.275,32,14.5,32,0.000948,32,7.399,87
2014,11,2,44.5,22,17.859,22,16.5,22,0.001920,22,5.930,51
2014,11,3,31.6,10,10.049,10,13.5,10,0.005129,10,5.216,31
2014,11,4,63.8,17,9.195,17,15.0,17,0.001473,17,7.349,38
2014,11,5,45.3,23,11.664,23,15.0,23,0.001908,23,4.673,44
2014,11,6,33.4,14,7.213,14,14.5,14,0.002635,14,4.752,36
2014,11,7,41.9,41,22.255,41,19.0,41,0.000777,41,6.069,78
2014,11,8,54.3,50,15.235,50,14.0,50,0.002217,50,4.728,115
2014,11,9,38.8,38,17.922,38,16.0,38,0.001040,38,5.771,91
2014,11,10,46.3,66,24.470,66,15.0,66,0.000893,66,4.897,134
2014,11,11,39.1,48,19.808,48,15.5,48,0.000898,48,4.838,95
2014,11,12,56.7,64,11.354,64,18.0,64,0.003137,64,4.689,138
2014,11,13,43.0,46,11.976,46,16.0,46,0.002997,46,4.724,125
2014,11,14,67.0,71,13.209,71,16.0,71,0.001683,71,4.638,133
2014,11,15,48.2,49,17.391,49,16.0,49,0.001424,49,4.831,100
2014,11,16,45.6,86,14.441,86,17.5,86,0.002468,86,4.828,158
2014,11,17,42.2,72,9.569,72,16.0,72,0.001947,72,4.804,168
2014,11,18,41.0,76,12.534,76,17.5,76,0.001287,76,4.779,207
2014,11,19,48.8,100,17.396,100,16.0,100,0.001293,100,4.846,201
2014,11,20,51.8,107,11.877,107,17.0,107,0.002188,107,4.749,238
2014,11,21,45.1,122,10.319,122,15.0,122,0.002780,122,4.649,234
2014,11,22,48.9,85,13.590,85,16.0,85,0.001768,85,4.632,195
