month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.007143,336,46,336,89.84,336,3.103,336,0.5097,501
1,1,2012,0.006556,192,46,192,82.28,192,3.629,192,0.5219,303
1,2,2012,0.007219,191,43,191,85.14,191,2.657,191,0.5361,259
1,3,2012,0.006104,107,45,107,87.95,107,3.46,107,0.5349,185
1,4,2012,0.006218,107,43,107,80.95,107,3.773,107,0.5398,147
1,5,2012,0.005405,75,42.5,74,90.14,74,2.559,75,0.5228,123
1,6,2012,0.005523,82,43,82,68.57,82,4.318,82,0.762,143
1,7,2012,0.005228,129,43,129,82.48,129,4.58,129,0.5377,188
1,8,2012,0.005221,210,42,209,82.55,209,4.091,210,0.5442,286
1,9,2012,0.005644,220,46,221,85.64,221,4.298,221,0.5099,341
1,10,2012,0.006551,317,44,317,87.66,317,3.024,317,0.5362,461
1,11,2012,0.006272,289,46,289,83.25,289,2.794,289,0.5216,412
1,12,2012,0.00573,348,44,348,88.07,348,2.831,348,0.5334,519
1,13,2012,0.006827,338,44,338,89.19,338,2.548,338,0.4928,509
1,14,2012,0.006245,377,43,378,88,378,2.76,378,0.5222,549
1,15,2012,0.00633,450,44,450,86.11,450,3.683,450,0.5424,639
1,16,2012,0.006335,463,45,464,87.98,464,3.253,464,0.532,652
1,17,2012,0.006543,495,45,495,86.72,495,3.08,495,0.5371,712
1,18,2012,0.005974,511,46,511,86.17,511,2.98,511,0.5453,746
1,19,2012,0.007325,575,46,575,91.77,575,2.808,575,0.5363,807
1,20,2012,0.007017,586,51,586,97.6,586,2.803,586,0.5456,827
1,21,2012,0.00767,544,53,545,98.73,545,2.688,545,0.529,770
1,22,2012,0.006983,513,47,513,89.16,513,3.198,513,0.5283,782
1,23,2012,0.006545,379,47,379,88.44,379,3.383,379,0.5354,567
2,0,2012,0.005537,283,44,283,82.72,283,4.549,283,0.5328,424
2,1,2012,0.006106,199,44,199,82.47,199,3.953,199,0.5225,291
2,2,2012,0.006659,148,47.5,148,93.32,148,2.727,148,0.5128,218
2,3,2012,0.004217,92,42.5,92,91.45,92,2.678,92,0.5099,149
2,4,2012,0.006117,89,46,89,78.75,89,4.405,89,0.5165,144
2,5,2012,0.005778,73,44,73,80.19,73,2.707,73,0.5435,105
2,6,2012,0.007125,85,44,85,98.85,85,2.518,85,0.4011,128
2,7,2012,0.004993,123,42,123,78.03,123,2.526,123,0.4958,196
2,8,2012,0.005355,155,44,155,80.97,155,4.637,155,0.5399,266
2,9,2012,0.006446,225,45,225,81.33,225,4.007,225,0.5239,337
2,10,2012,0.006379,281,43,281,83.19,281,3.822,281,0.5272,413
2,11,2012,0.007219,301,44,301,83.07,301,2.924,301,0.5227,423
2,12,2012,0.005503,289,44,289,81.4,289,3.397,289,0.5223,429
2,13,2012,0.005921,297,44,297,83.05,297,2.495,297,0.5109,438
2,14,2012,0.005782,350,43,350,85.84,350,3.356,350,0.517,508
2,15,2012,0.006665,389,44,390,85.58,390,3.349,390,0.4969,576
2,16,2012,0.005657,429,43,429,85.93,429,2.881,429,0.5205,627
2,17,2012,0.005961,415,44,416,84.03,416,3.99,416,0.5349,633
2,18,2012,0.005806,469,44,469,84.24,469,3.667,469,0.5275,677
2,19,2012,0.006711,469,45,469,88.6,469,2.516,469,0.4828,694
2,20,2012,0.005758,514,46,514,88.01,514,3.75,514,0.5209,774
2,21,2012,0.007669,453,47,453,91.81,453,2.515,453,0.5218,707
2,22,2012,0.006332,442,44.5,442,87.22,442,2.993,442,0.5295,638
2,23,2012,0.005607,380,44,380,82.31,380,4.007,380,0.5303,576
3,0,2012,0.004772,275,45,275,85.34,275,3.659,275,0.539,418
3,1,2012,0.004858,177,46,177,83.89,177,4.911,177,0.5316,287
3,2,2012,0.006576,154,47,154,95.53,154,2.816,154,0.5303,234
3,3,2012,0.006959,106,56,106,96.65,106,4.725,106,0.5183,173
3,4,2012,0.00572,79,47.5,80,91.84,80,3.339,80,0.5353,124
3,5,2012,0.006096,80,43.5,80,77.5,80,4.066,80,0.5046,120
3,6,2012,0.006725,87,42,87,80.91,87,4.276,87,0.5341,139
3,7,2012,0.005504,137,43,137,84.13,137,4.144,137,0.545,216
3,8,2012,0.006675,180,46,180,87.25,180,3.007,180,0.5235,300
3,9,2012,0.005043,201,44,200,83.43,200,4.508,201,0.52,317
3,10,2012,0.006269,282,45,282,87.27,282,3.129,282,0.5218,444
3,11,2012,0.006241,322,44,322,86.68,322,3.161,322,0.5366,477
3,12,2012,0.006026,313,46,313,87.92,313,3.847,313,0.5415,456
3,13,2012,0.006536,323,46,323,85.85,323,2.821,323,0.535,493
3,14,2012,0.005219,348,47,348,86.3,348,3.788,348,0.5102,513
3,15,2012,0.006896,367,46,367,85.48,367,3.272,367,0.5265,555
3,16,2012,0.006381,379,46,379,86.8,379,3.28,379,0.522,575
3,17,2012,0.007035,454,46,454,90.14,454,3.542,454,0.5258,693
3,18,2012,0.006072,441,45,441,88.13,441,3.754,441,0.5453,644
3,19,2012,0.005756,467,47,467,84.29,467,4.302,467,0.5484,682
3,20,2012,0.006314,560,46,561,90.36,561,2.764,561,0.533,792
3,21,2012,0.006302,454,47,454,86.27,454,3.251,454,0.5402,657
3,22,2012,0.006956,480,48,479,93.94,479,2.743,480,0.5318,734
3,23,2012,0.005845,391,48,392,88.08,392,3.93,392,0.5341,566
4,0,2012,0.005854,239,48,239,87.88,239,3.447,239,0.5248,346
4,1,2012,0.005587,155,44,155,86.52,155,4.75,155,0.5409,240
4,2,2012,0.005307,103,57,103,93.43,103,4.392,103,0.5467,150
4,3,2012,0.01072,87,51,87,99.7,87,2.198,87,0.3584,161
4,4,2012,0.004553,64,44,64,75.89,64,4.066,64,0.5201,105
4,5,2012,0.006966,74,56,74,93.52,74,2.799,74,0.5422,111
4,6,2012,0.005182,68,43,68,81.19,68,4.788,68,0.5069,119
4,7,2012,0.005945,95,42,95,78.73,95,5.03,95,0.5799,149
4,8,2012,0.007659,133,44,133,88.42,133,4.242,133,0.5244,207
4,9,2012,0.007167,174,46,174,86.36,174,3.993,174,0.5281,266
4,10,2012,0.006584,209,46,209,88.51,209,3.582,209,0.5347,327
4,11,2012,0.005838,238,46,238,83.21,238,4.401,238,0.5461,365
4,12,2012,0.006551,265,48,265,92.24,265,3.662,265,0.5018,373
4,13,2012,0.005479,292,46,292,91.46,292,3.243,292,0.5401,408
4,14,2012,0.006331,297,46.5,298,91.35,298,3.71,298,0.5176,422
4,15,2012,0.006769,297,48,296,90.99,296,3.819,297,0.519,461
4,16,2012,0.007042,345,44,345,86.55,345,3.49,345,0.5217,482
4,17,2012,0.007713,323,48,323,93.9,323,3.023,323,0.5228,485
4,18,2012,0.005909,383,45,383,89.34,383,3.608,383,0.5406,568
4,19,2012,0.006188,431,46,431,84.88,431,4.434,431,0.5399,626
4,20,2012,0.006745,409,46,409,86.8,409,3.125,409,0.5418,585
4,21,2012,0.006982,403,48,403,88.77,403,3.291,403,0.5441,586
4,22,2012,0.005828,422,46,422,84.69,422,3.324,422,0.5936,607
4,23,2012,0.007294,310,48,310,90.23,310,2.656,310,0.5264,476
5,0,2012,0.006132,317,53,317,93.08,317,3.639,317,0.5448,447
5,1,2012,0.005882,207,48,207,84.68,207,3.411,207,0.544,321
5,2,2012,0.005484,130,49.5,130,88.3,130,4.538,130,0.5458,190
5,3,2012,0.006416,124,45,124,93.01,124,4.296,124,0.5191,195
5,4,2012,0.0102,92,63.5,92,112.9,92,2.401,92,0.3627,140
5,5,2012,0.004036,90,43,90,83.89,90,5.043,90,0.5829,142
5,6,2012,0.00589,118,43.5,118,87.61,118,2.987,118,0.5049,195
5,7,2012,0.005006,145,46,145,89.51,145,4.836,145,0.5994,220
5,8,2012,0.005286,168,47,168,89.15,168,4.281,168,0.5212,273
5,9,2012,0.005286,219,48,219,86.45,219,4.709,219,0.528,340
5,10,2012,0.005657,240,43.5,240,84.78,240,4.465,240,0.5962,360
5,11,2012,0.006247,268,47,268,94.78,268,3.704,268,0.5264,413
5,12,2012,0.006229,254,45.5,254,87.06,254,4.533,254,0.5373,386
5,13,2012,0.005915,298,45,300,85.66,300,3.705,300,0.5253,469
5,14,2012,0.005362,320,46,320,83.8,320,4.328,320,0.5453,481
5,15,2012,0.005158,358,44,358,86.49,358,4.223,358,0.5618,510
5,16,2012,0.005921,413,46,414,84.41,414,4.086,414,0.5297,619
5,17,2012,0.005481,501,46,501,89.34,501,4.072,501,0.5457,672
5,18,2012,0.005458,420,45,420,87.49,420,3.783,420,0.5333,608
5,19,2012,0.005256,468,46,468,86.79,468,4.32,468,0.5465,710
5,20,2012,0.006975,470,47,470,90.79,470,2.796,470,0.5415,686
5,21,2012,0.005885,545,47,545,91.81,545,2.848,545,0.5489,760
5,22,2012,0.005813,432,48,432,89.16,432,3.405,432,0.5298,639
5,23,2012,0.006706,385,46,385,88.61,385,2.806,385,0.5409,531
6,0,2012,0.006565,377,56,377,93.41,377,3.99,377,0.5457,556
6,1,2012,0.006711,279,57,279,95.73,279,4.039,279,0.5367,412
6,2,2012,0.006192,203,56,203,93.45,203,4.12,203,0.5463,296
6,3,2012,0.005496,153,54,153,93.95,153,4.197,153,0.5444,220
6,4,2012,0.005518,108,56,108,95.9,108,4.779,108,0.6078,166
6,5,2012,0.007107,86,57.5,86,89.77,86,4.551,86,0.5361,128
6,6,2012,0.005189,101,48,101,85.29,101,4.545,101,0.6374,152
6,7,2012,0.00491,158,50,158,84.39,158,4.649,158,0.5373,211
6,8,2012,0.005814,187,47,187,87.63,187,4.281,187,0.5449,294
6,9,2012,0.004024,225,46,225,87.93,225,4.4,225,0.5307,352
6,10,2012,0.005529,282,46,282,84.75,282,4.123,282,0.5461,403
6,11,2012,0.006031,259,51,259,91.25,259,4.275,259,0.538,387
6,12,2012,0.006954,334,48.5,334,91.57,334,3.611,334,0.5481,473
6,13,2012,0.006245,386,49,386,85.77,386,4.612,386,0.5973,567
6,14,2012,0.007009,350,48,350,86.3,350,4.471,350,0.5548,550
6,15,2012,0.006478,447,49,448,88.06,448,4.083,448,0.5802,627
6,16,2012,0.006049,420,53,422,91.86,422,3.791,422,0.5258,609
6,17,2012,0.007039,452,50,452,92.63,452,3.754,452,0.5351,661
6,18,2012,0.005499,466,47,466,85.82,466,4.317,466,0.5442,658
6,19,2012,0.005693,501,49,501,86.38,501,4.628,501,0.5535,741
6,20,2012,0.005934,485,49,485,92.34,485,3.649,485,0.55,713
6,21,2012,0.006519,516,56,516,95.4,516,3.328,516,0.5678,746
6,22,2012,0.005919,507,51,506,93.36,506,3.248,507,0.5439,754
6,23,2012,0.006314,464,50,464,93.97,464,3.569,464,0.5461,641
7,0,2012,0.00609,192,49,191,86.02,191,4.15,192,0.5961,284
7,1,2012,0.006157,163,57,163,91.6,163,4.359,163,0.5966,233
7,2,2012,0.005623,96,49.5,96,85.59,96,4.725,96,0.5442,162
7,3,2012,0.006407,84,52.5,84,89.22,84,4.804,84,0.5772,128
7,4,2012,0.005851,70,49.5,70,92.24,70,4.681,70,0.5466,116
7,5,2012,0.004678,58,46,58,86.21,58,4.752,58,0.5958,86
7,6,2012,0.003517,63,49,63,83.53,63,5.06,63,0.7624,89
7,7,2012,0.005196,92,45,92,81.51,92,5.054,92,0.7455,133
7,8,2012,0.004923,108,42,108,82.66,108,4.699,108,0.5843,163
7,9,2012,0.003742,129,42,129,81.53,129,2.982,129,0.5373,202
7,10,2012,0.004917,183,43,183,80,183,4.75,183,0.5904,266
7,11,2012,0.005037,181,45,182,84.01,182,4.282,182,0.5482,285
7,12,2012,0.005292,196,44.5,196,84.54,196,4.373,196,0.5994,272
7,13,2012,0.005013,231,49,231,86.12,231,4.168,231,0.5713,322
7,14,2012,0.00554,263,50,263,93.47,263,2.941,263,0.516,372
7,15,2012,0.004541,264,46.5,264,89.12,264,4.042,264,0.5806,361
7,16,2012,0.004182,251,46,251,85.13,251,4.805,251,0.5604,355
7,17,2012,0.005001,278,47.5,278,86.5,278,4.784,278,0.5808,405
7,18,2012,0.005397,304,46,304,85.01,304,4.52,304,0.5812,443
7,19,2012,0.006501,291,48,291,89.93,291,4.652,291,0.5757,440
7,20,2012,0.006828,280,51,280,91.1,280,4.787,280,0.7014,408
7,21,2012,0.00656,345,53,345,93.68,345,4.327,345,0.6019,481
7,22,2012,0.006622,315,50,315,97.3,315,3.42,315,0.5467,456
7,23,2012,0.005744,268,49,268,85.11,268,4.039,268,0.5679,387
8,0,2012,0.005527,320,45,320,86.35,320,4,320,0.5774,483
8,1,2012,0.004664,278,43,278,81.25,278,4.631,278,0.5965,377
8,2,2012,0.005699,183,45,183,81.56,183,4.179,183,0.5431,267
8,3,2012,0.004788,133,42,133,74.3,133,4.793,133,0.5945,192
8,4,2012,0.00804,108,43,108,88.71,108,2.598,108,0.5437,180
8,5,2012,0.005437,98,42,98,81.36,98,4.803,98,0.5904,143
8,6,2012,0.005381,109,41,109,78.56,109,4.859,109,0.5366,180
8,7,2012,0.005349,129,42,129,70.63,129,5.451,129,0.5927,205
8,8,2012,0.004287,196,35,196,73.1,196,5.074,196,0.6574,295
8,9,2012,0.00607,258,39,259,82.41,259,4.369,259,0.5929,390
8,10,2012,0.004285,259,41,259,76.85,259,4.55,259,0.7032,380
