month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.002809,162,28,162,59.57,162,10.3,162,3.252,489
1,2,2012,0.002391,170,26,170,61.24,170,9.993,170,3.251,506
1,3,2012,0.001976,192,26,192,60.48,192,11.21,192,3.252,470
1,4,2012,0.002097,142,26.5,142,59.38,142,11.07,142,3.25,397
1,5,2012,0.002462,129,25.5,130,64.6,130,8.335,130,3.251,413
1,6,2012,0.001826,148,22,148,49.97,148,10.73,148,3.251,408
1,7,2012,0.002247,176,26,176,51.83,176,12.25,176,3.25,496
1,8,2012,0.00211,154,24,154,53.29,154,11.55,154,3.25,506
1,9,2012,0.00188,152,24,152,56.5,152,9.448,152,3.253,493
1,10,2012,0.00268,166,28,166,63.44,166,8.59,166,3.248,407
1,11,2012,0.001677,146,25,146,55.62,146,12.86,146,3.25,395
1,12,2012,0.002156,119,28,119,53.54,119,11.83,119,3.246,398
1,13,2012,0.002043,155,28,155,54.98,155,10.15,155,3.25,448
1,14,2012,0.001767,203,26,203,55.86,203,10.05,203,3.25,521
1,15,2012,0.002126,212,28,212,58.15,212,10.29,212,3.249,516
1,16,2012,0.00203,152,28.5,152,61.4,152,10.68,152,3.248,477
1,17,2012,0.002559,168,23,168,50.11,168,9.501,168,3.25,397
1,18,2012,0.002155,150,22,150,52.92,150,9.684,150,3.248,417
1,19,2012,0.002253,92,19,92,51.97,92,7.6,92,3.288,255
1,20,2012,0.001413,105,28,105,62.96,105,12.08,105,3.254,323
1,21,2012,0.001682,170,24,171,55.18,171,10.34,171,3.219,446
1,22,2012,0.001836,162,25,162,52.72,162,10.48,162,3.254,470
1,23,2012,0.002296,134,24,135,53.02,135,9.252,135,3.253,395
1,24,2012,0.00195,140,24,140,52.77,140,9.763,140,3.252,410
1,25,2012,0.001813,132,24.5,132,55.94,132,10.39,132,3.252,393
1,26,2012,0.002248,127,26,127,50.93,127,10.81,127,3.253,354
1,27,2012,0.002396,136,26,137,58.11,137,10.58,137,3.29,422
1,28,2012,0.001586,158,23,159,53.39,159,13.66,159,3.251,449
1,29,2012,0.001988,158,26,158,60.63,158,10.74,158,3.252,445
1,30,2012,0.002174,117,24,117,55.5,117,12.06,117,3.252,360
1,31,2012,0.0009663,124,26,124,53.98,124,13.25,124,3.251,348
2,1,2012,0.001631,127,28,127,65.01,127,11.91,127,3.251,363
2,2,2012,0.002104,124,22,124,54.57,124,8.819,124,3.232,340
2,3,2012,0.001778,127,24,127,53.22,127,12.15,127,3.25,357
2,4,2012,0.001535,190,24,190,53.91,190,13.12,190,3.251,499
2,5,2012,0.001661,148,24,149,56.62,149,13.59,149,3.254,466
2,6,2012,0.002829,124,23,127,56.78,127,11.49,127,3.253,395
2,7,2012,0.001513,143,21,143,55.19,143,13.45,143,3.249,414
2,8,2012,0.001893,147,24,147,49.46,147,13.76,147,3.252,412
2,9,2012,0.001388,135,22,135,51.58,135,13.85,135,3.289,406
2,10,2012,0.001708,142,25.5,142,53.47,142,13.01,142,3.247,455
2,11,2012,0.002057,185,22,185,49.62,185,13.1,185,3.251,484
2,12,2012,0.00206,207,24,207,53.26,207,11.41,207,3.25,557
2,13,2012,0.003265,152,24,153,48.94,153,9.215,153,3.244,448
2,14,2012,0.001252,118,22,118,52.41,118,12.19,118,3.253,356
2,15,2012,0.001425,145,24,145,51.16,145,13,145,3.251,419
2,16,2012,0.001165,130,20.5,130,48.69,130,12.73,130,3.253,386
2,17,2012,0.001328,139,24,139,51.82,139,13.52,139,3.251,442
2,18,2012,0.001365,162,24,162,51.48,162,12.48,162,3.252,481
2,19,2012,0.001541,205,23,205,49.04,205,9.555,205,3.251,550
2,20,2012,0.001559,203,23,203,48.96,203,12.15,203,3.249,505
2,21,2012,0.001334,142,21,142,48.54,142,13.23,142,3.288,415
2,22,2012,0.001451,122,26,122,61.22,122,11.46,122,3.25,391
2,23,2012,0.001837,137,21,137,51.69,137,11.21,137,3.251,431
2,24,2012,0.001419,156,21.5,156,48.51,156,13.72,156,3.251,419
2,25,2012,0.002238,156,21,156,52,156,11.21,156,3.217,493
2,26,2012,0.001278,185,24,185,54.35,185,12.96,185,3.25,494
2,27,2012,0.002024,135,26,141,59.17,141,8.971,141,3.252,397
2,28,2012,0.001634,164,21,164,52.09,164,13.04,164,3.246,431
2,29,2012,0.002097,148,23.5,148,52.86,148,10.78,148,3.249,403
3,1,2012,0.002345,150,22,150,53.18,150,10.15,150,3.211,425
3,2,2012,0.002215,182,24,182,50.44,182,12.75,182,3.208,511
3,3,2012,0.002087,218,22,218,49.96,218,12.44,218,3.247,533
3,4,2012,0.002212,218,26,218,58.07,218,10.9,218,3.249,553
3,5,2012,0.001392,168,23,168,55.54,168,11.69,168,3.248,477
3,6,2012,0.002037,177,21,177,47.67,177,11.9,177,3.288,530
3,7,2012,0.001637,143,22,143,55.12,143,12.27,143,3.247,448
3,8,2012,0.001474,133,24,133,52.29,133,12.43,133,3.246,384
3,9,2012,0.002682,150,22.5,150,56.32,150,10.93,150,3.248,388
3,10,2012,0.002078,148,26,148,57.06,148,12.1,148,3.248,385
3,11,2012,0.001698,175,22,176,51.5,176,12.34,176,3.247,449
3,12,2012,0.00189,131,24,131,53.84,131,12.89,131,3.285,403
3,13,2012,0.001618,120,25,120,61.4,120,12.17,120,3.282,359
3,14,2012,0.00117,128,24,129,57.39,129,12.41,129,3.248,357
3,15,2012,0.001599,147,23,147,50.65,147,12.79,147,3.251,380
3,16,2012,0.00119,109,22,109,48.94,109,13.31,109,3.248,317
3,17,2012,0.001497,122,23,122,51.16,122,14.01,122,3.247,362
3,18,2012,0.001688,139,26,139,58.48,139,9.544,139,3.247,433
3,19,2012,0.001476,143,24,143,51.85,143,13.21,143,3.25,385
3,20,2012,0.001948,116,24,116,49.67,116,12.08,116,3.245,301
3,21,2012,0.001543,129,25,129,56.12,129,14.46,129,3.246,340
3,22,2012,0.002079,116,28,116,55.98,116,12.94,116,3.243,342
3,23,2012,0.001357,140,26.5,140,49.39,140,13.36,140,3.238,363
3,24,2012,0.001466,149,24,149,55.23,149,13.42,149,3.239,438
3,25,2012,0.001625,175,26,175,63.21,175,13.39,175,3.246,491
3,26,2012,0.001761,131,21,131,50.74,131,13.71,131,3.246,367
3,27,2012,0.002743,143,28,143,62,143,11.76,143,3.24,362
3,28,2012,0.001246,123,24,123,53.3,123,11.5,123,3.245,365
3,29,2012,0.002432,100,26,100,53.51,100,13.02,100,3.283,259
3,30,2012,0.002078,69,28,69,56.17,69,14.14,69,3.282,199
3,31,2012,0.001608,77,29,77,51.39,77,13.65,77,3.236,192
4,1,2012,0.001644,94,28,94,56.19,94,11.69,94,3.248,255
4,2,2012,0.002024,64,29,64,51.72,64,13.84,64,3.242,191
4,3,2012,0.0009267,72,24,72,55.85,72,13.63,72,3.284,216
4,4,2012,0.002033,70,28,70,56.49,70,12.39,70,3.285,205
4,5,2012,0.001526,59,22,59,62.27,59,13.82,59,3.285,185
4,6,2012,0.002698,85,23,85,51.51,85,10.28,85,3.241,189
4,7,2012,0.002585,98,28,98,60.48,98,9.527,98,3.246,274
4,8,2012,0.002129,154,28,154,54.47,154,12.2,154,3.248,375
4,9,2012,0.003098,149,25,149,54.28,149,10.41,149,3.244,375
4,10,2012,0.00233,147,31,147,60.39,147,8.438,148,3.241,427
4,11,2012,0.001738,120,28,120,62.85,120,9.625,120,3.246,328
4,12,2012,0.001624,129,32,129,62.17,129,9.685,129,3.245,358
4,13,2012,0.001451,140,30,140,53.29,140,13.48,140,3.245,358
4,14,2012,0.001388,151,28,150,54.59,150,14.08,151,3.248,398
4,15,2012,0.00163,179,28,179,55.49,179,12.06,179,3.237,460
4,16,2012,0.002283,131,29,132,57.43,132,9.677,132,3.237,375
4,17,2012,0.002095,131,31,131,55.83,131,10.68,131,3.25,354
4,18,2012,0.001043,140,30,140,53.41,140,14.17,140,3.219,354
4,19,2012,0.0021,121,28,121,55.76,121,10.24,121,3.243,330
4,20,2012,0.001831,125,23,125,52.99,125,10.57,125,3.242,334
4,21,2012,0.001705,121,30,121,53.38,121,11.75,121,3.24,402
4,22,2012,0.001243,179,29,179,57.22,179,13.13,179,3.208,486
4,23,2012,0.001755,114,24,114,51.96,114,11.06,114,3.242,338
4,24,2012,0.001678,154,26.5,154,57.35,154,11.51,154,3.25,460
4,25,2012,0.00173,161,29,161,53.84,161,12.92,161,3.246,425
4,26,2012,0.002105,127,32,127,61.62,127,10.62,127,3.24,371
4,27,2012,0.001679,138,24,138,50.85,138,14.07,138,3.248,357
4,28,2012,0.001191,167,31,167,63.61,167,12.71,167,3.246,460
4,29,2012,0.002179,180,28,181,56.13,181,9.796,181,3.234,450
4,30,2012,0.002218,175,30,175,59.17,175,12.07,175,3.249,451
5,1,2012,0.002314,181,30,181,53.8,181,11.64,181,3.248,439
5,2,2012,0.001753,153,31,153,58.38,153,9.979,153,3.242,389
5,3,2012,0.002398,121,28,121,54.03,121,11.98,121,3.241,332
5,4,2012,0.001179,114,28,114,57.88,114,13.53,114,3.249,347
5,5,2012,0.001347,147,22,147,57.22,147,12.2,147,3.233,352
5,6,2012,0.00163,161,31,161,53.85,161,12.32,161,3.24,521
5,7,2012,0.001752,151,28,151,56.45,151,11.44,151,3.242,417
5,8,2012,0.002125,147,29,147,52.8,147,9.933,147,3.239,394
5,9,2012,0.001676,140,29.5,140,59.34,140,11.29,140,3.2,364
5,10,2012,0.001632,147,34.5,146,60.8,146,12.46,147,3.206,392
5,11,2012,0.001689,146,33,146,54.49,146,11.7,146,3.235,385
5,12,2012,0.001773,187,30,187,59.63,187,11.54,187,3.216,454
5,13,2012,0.002161,192,32,192,60.63,192,9.976,192,3.202,504
5,14,2012,0.001716,180,30,180,61.36,180,11.22,180,3.202,433
5,15,2012,0.001684,178,34,178,60.84,178,11.88,178,3.239,372
5,16,2012,0.001275,152,32,152,53.26,152,12.15,152,3.247,417
5,17,2012,0.002429,163,31,164,57.82,164,11.34,164,3.242,401
5,18,2012,0.002461,146,33,146,66.45,146,11.93,146,3.24,428
5,19,2012,0.001848,163,33,163,60.6,163,9.061,163,3.247,437
5,20,2012,0.002467,174,30,173,57.35,173,9.9,174,3.244,478
5,21,2012,0.001685,167,30,167,58.15,167,10.15,167,3.243,460
5,22,2012,0.001972,148,31,148,59.87,148,13.1,148,3.244,408
5,23,2012,0.002041,143,31,143,58.58,143,11.27,143,3.245,357
5,24,2012,0.00144,144,29.5,144,57.29,144,14.11,144,3.166,366
5,25,2012,0.002155,137,29,137,62.49,137,10.56,137,3.245,364
5,26,2012,0.001835,173,29,173,62.67,173,11.83,173,3.241,423
5,27,2012,0.001739,151,30,152,56.54,152,13.01,152,3.209,380
5,28,2012,0.001682,173,31,172,58.17,173,13.56,173,3.165,407
5,29,2012,0.001927,148,31,149,54.87,149,11.22,149,3.242,392
5,30,2012,0.001563,152,32,152,58.29,152,10.41,152,3.246,377
5,31,2012,0.001913,166,28,166,55.31,166,9.254,166,3.283,390
6,1,2012,0.0008474,144,31,144,51.36,144,15.24,144,3.241,396
6,2,2012,0.001328,145,31,145,56.9,145,13.8,145,3.242,395
6,3,2012,0.002005,177,30,177,56.03,177,11.35,177,3.211,411
6,4,2012,0.001887,161,31,161,58.03,161,8.893,161,3.201,399
6,5,2012,0.001452,150,29,150,56.15,150,12.01,150,3.24,346
6,6,2012,0.001263,114,30,114,49.05,114,11.46,114,3.222,305
6,7,2012,0.001589,138,30.5,138,63.53,138,12.02,138,3.242,354
6,8,2012,0.001463,147,31,147,58.15,147,12.94,147,3.223,362
6,9,2012,0.001506,150,26.5,150,50.95,150,13.24,150,3.166,352
6,10,2012,0.001772,154,26,154,56.91,154,11.6,154,3.242,388
6,11,2012,0.002148,161,27,161,56.48,161,14.31,161,3.242,401
6,12,2012,0.001256,140,31,140,51.92,140,13.41,140,3.207,356
6,13,2012,0.001368,146,31,146,65.14,146,9.73,146,3.197,359
