year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,65.2,98,10.855,98,31.5,98,0.002627,98,0.805,170
2012,1,1,62.3,97,11.000,97,32.0,97,0.001481,97,0.810,158
2012,1,2,59.6,72,14.873,72,30.5,72,0.001476,72,0.814,110
2012,1,3,67.7,56,14.818,56,30.0,56,0.002553,56,0.805,90
2012,1,4,68.5,38,15.803,38,31.5,38,0.002215,38,0.803,74
2012,1,5,60.7,29,10.344,29,33.0,29,0.002463,29,0.805,47
2012,1,6,53.5,54,16.078,54,28.0,54,0.002223,53,0.814,81
2012,1,7,49.9,66,12.848,66,30.0,66,0.002242,66,0.813,121
2012,1,8,60.5,64,13.161,64,30.0,64,0.001748,64,0.807,128
2012,1,9,54.6,93,13.914,93,30.0,93,0.001456,92,0.805,159
2012,1,10,58.5,81,12.974,81,31.0,81,0.002375,81,0.805,145
2012,1,11,48.2,107,15.260,107,29.0,107,0.001702,107,0.813,179
2012,1,12,57.5,124,13.461,124,31.0,124,0.002626,124,0.805,203
2012,1,13,51.5,123,10.674,123,28.0,123,0.002988,123,0.810,203
2012,1,14,58.1,121,11.139,122,32.0,121,0.003156,122,0.805,212
2012,1,15,57.7,144,11.071,144,31.0,144,0.002783,144,0.807,244
2012,1,16,57.8,188,9.474,188,29.5,188,0.002889,188,0.804,285
2012,1,17,64.5,194,9.868,194,33.0,194,0.002956,194,0.803,317
2012,1,18,66.7,195,8.333,195,34.0,195,0.003131,195,0.799,306
2012,1,19,66.3,211,7.026,211,35.0,211,0.003625,210,0.799,328
2012,1,20,74.6,218,8.292,218,37.5,218,0.003962,218,0.802,335
2012,1,21,75.9,172,7.915,172,36.5,172,0.003452,172,0.795,280
2012,1,22,66.6,187,7.775,187,32.0,187,0.002620,187,0.804,273
2012,1,23,64.0,172,9.091,172,32.0,172,0.002345,172,0.803,295
2012,2,0,56.8,157,11.122,157,31.0,157,0.002747,157,0.804,256
2012,2,1,55.8,92,13.849,92,31.0,92,0.002254,92,0.804,150
2012,2,2,54.0,78,15.206,78,31.0,78,0.002253,78,0.821,140
2012,2,3,63.9,52,15.884,52,31.0,52,0.002358,52,0.814,98
2012,2,4,49.9,56,15.312,56,29.5,56,0.002008,56,0.811,84
2012,2,5,56.2,68,13.280,68,30.5,68,0.001866,68,0.802,117
2012,2,6,49.8,64,15.762,64,32.0,64,0.001756,64,0.814,108
2012,2,7,49.7,78,13.070,78,30.0,78,0.001222,78,0.808,152
2012,2,8,50.9,106,13.723,106,29.0,106,0.002272,106,0.815,178
2012,2,9,57.0,122,12.136,122,31.5,122,0.002344,122,0.804,184
2012,2,10,60.2,133,8.937,133,32.0,133,0.003291,133,0.804,229
2012,2,11,52.6,140,12.383,140,30.0,140,0.002258,139,0.814,263
2012,2,12,55.1,173,12.899,173,31.0,173,0.002842,173,0.813,271
2012,2,13,54.9,142,11.805,142,32.0,142,0.003041,142,0.804,255
2012,2,14,56.5,172,12.742,172,30.0,172,0.002414,172,0.809,277
2012,2,15,52.2,202,10.656,202,31.0,202,0.002373,202,0.806,351
2012,2,16,57.5,180,10.842,180,31.5,180,0.002418,180,0.803,310
2012,2,17,62.5,203,10.201,203,33.0,203,0.002570,203,0.804,354
2012,2,18,57.5,225,9.228,225,31.0,225,0.002674,225,0.804,372
2012,2,19,71.1,291,8.908,291,35.0,291,0.003185,291,0.804,462
2012,2,20,69.0,269,7.734,269,35.0,269,0.003198,269,0.802,441
2012,2,21,67.0,262,9.894,262,35.0,262,0.003111,262,0.801,434
2012,2,22,57.8,208,9.666,208,31.0,208,0.002516,208,0.803,343
2012,2,23,55.7,199,11.464,199,31.0,199,0.002525,199,0.804,328
2012,3,0,59.8,158,10.955,158,32.0,158,0.002301,158,0.807,264
2012,3,1,52.8,97,15.401,97,32.0,97,0.002291,97,0.808,159
2012,3,2,57.9,71,13.184,71,31.0,71,0.002948,71,0.805,124
2012,3,3,51.9,51,14.945,51,33.0,51,0.001575,51,0.807,100
2012,3,4,56.6,40,12.218,40,34.5,40,0.001345,40,0.804,70
2012,3,5,56.2,52,14.352,52,34.5,52,0.001807,52,0.803,95
2012,3,6,55.7,56,15.171,56,33.0,56,0.001847,56,0.803,108
2012,3,7,49.7,91,13.339,91,31.0,91,0.002076,91,0.811,152
2012,3,8,52.1,87,13.393,87,32.0,87,0.001865,87,0.813,154
2012,3,9,50.5,93,14.327,93,30.0,93,0.002528,93,0.803,180
2012,3,10,51.8,130,15.267,130,30.0,130,0.001574,130,0.818,198
2012,3,11,56.0,111,11.675,111,30.0,111,0.002541,111,0.803,204
2012,3,12,57.0,123,8.966,123,34.0,123,0.002480,123,0.804,221
2012,3,13,56.2,127,13.079,127,32.0,127,0.002548,127,0.806,236
2012,3,14,57.0,137,9.611,137,31.0,137,0.002050,137,0.802,267
2012,3,15,50.9,150,13.941,150,30.0,150,0.002419,150,0.804,262
2012,3,16,52.9,181,9.908,181,30.0,181,0.002559,181,0.804,313
2012,3,17,60.9,215,11.678,215,32.0,215,0.002477,215,0.803,353
2012,3,18,55.4,229,12.605,229,30.0,229,0.002349,229,0.806,385
2012,3,19,61.4,259,9.993,259,32.0,259,0.002576,259,0.803,418
2012,3,20,71.5,254,9.021,254,39.0,254,0.003311,254,0.803,424
2012,3,21,66.9,254,8.210,254,34.0,254,0.003311,254,0.803,403
2012,3,22,57.6,230,10.254,230,31.0,230,0.002279,230,0.804,369
2012,3,23,52.8,178,13.235,178,30.0,178,0.002760,178,0.806,291
2012,4,0,61.5,104,9.673,104,30.0,104,0.002402,104,0.802,217
2012,4,1,56.8,79,14.341,79,29.0,79,0.001983,79,0.804,145
2012,4,2,68.2,62,9.109,62,33.0,62,0.002339,62,0.803,118
2012,4,3,54.1,56,12.345,56,29.0,56,0.002647,56,0.814,85
2012,4,4,49.7,32,16.230,32,27.5,32,0.001580,32,0.815,62
2012,4,5,45.7,29,13.423,29,28.0,29,0.001536,29,0.811,55
2012,4,6,49.2,41,12.872,41,30.0,41,0.001663,41,0.814,93
2012,4,7,46.5,59,16.180,59,30.0,59,0.002265,59,0.807,100
2012,4,8,50.1,64,15.409,64,28.0,64,0.002179,64,0.802,124
2012,4,9,48.7,93,14.920,93,31.0,93,0.001900,93,0.803,160
2012,4,10,52.5,94,12.129,94,29.0,94,0.002266,94,0.813,155
2012,4,11,55.6,82,9.813,82,29.0,82,0.002091,82,0.804,162
2012,4,12,47.0,119,13.368,119,28.0,119,0.002255,119,0.803,200
2012,4,13,58.2,106,13.831,106,35.0,106,0.002193,106,0.807,175
2012,4,14,60.1,132,11.486,132,31.0,132,0.001811,132,0.803,226
2012,4,15,58.6,135,9.838,135,31.0,135,0.002603,135,0.800,232
2012,4,16,54.2,132,13.201,132,32.0,132,0.001916,132,0.803,222
2012,4,17,59.0,180,10.359,180,31.0,180,0.002338,180,0.802,292
2012,4,18,56.9,202,11.256,202,30.0,202,0.002413,202,0.803,316
2012,4,19,66.7,226,10.531,226,39.0,226,0.002369,226,0.801,366
2012,4,20,77.9,200,8.784,200,50.0,200,0.002827,200,0.800,336
2012,4,21,79.8,206,7.109,206,46.0,206,0.004408,206,0.799,343
2012,4,22,64.1,196,8.923,196,34.0,196,0.003620,196,0.806,333
2012,4,23,60.3,148,11.786,148,31.0,148,0.002478,148,0.802,262
2012,5,0,57.6,151,13.478,151,34.0,151,0.002368,151,0.803,263
2012,5,1,58.7,84,11.068,84,31.0,84,0.002378,84,0.813,181
2012,5,2,60.2,61,10.858,61,35.0,61,0.001750,61,0.805,116
2012,5,3,53.8,49,15.590,49,30.0,49,0.001877,49,0.820,86
2012,5,4,52.9,46,16.344,46,28.5,46,0.001724,46,0.813,87
2012,5,5,51.8,60,14.556,60,31.0,60,0.001395,60,0.809,115
2012,5,6,53.9,72,14.843,72,34.0,72,0.001569,72,0.814,129
2012,5,7,50.8,84,13.254,84,29.5,84,0.001531,83,0.811,156
2012,5,8,47.3,104,14.901,104,30.0,104,0.001462,104,0.805,164
2012,5,9,53.5,128,14.541,128,30.0,128,0.001786,128,0.813,205
2012,5,10,55.7,126,12.730,126,31.0,126,0.002017,126,0.818,234
2012,5,11,52.6,147,12.488,147,31.0,147,0.001696,147,0.804,257
2012,5,12,65.8,174,13.104,174,31.0,174,0.002072,174,0.813,266
2012,5,13,55.3,142,11.984,142,32.5,142,0.002281,142,0.803,246
2012,5,14,57.5,209,12.778,209,31.0,209,0.002139,209,0.807,321
2012,5,15,55.6,199,12.197,199,31.0,199,0.002265,198,0.810,358
2012,5,16,56.9,238,11.819,238,33.0,238,0.002723,238,0.809,375
2012,5,17,55.1,231,11.160,231,31.0,231,0.002235,231,0.803,398
2012,5,18,58.6,281,10.477,281,32.0,281,0.002723,280,0.806,429
2012,5,19,58.9,271,11.207,271,33.0,271,0.002037,271,0.804,456
2012,5,20,72.7,297,9.273,297,39.0,297,0.002392,297,0.804,463
2012,5,21,68.0,272,8.726,272,38.0,272,0.003156,272,0.802,466
2012,5,22,58.2,323,10.570,323,31.0,323,0.002367,323,0.807,461
2012,5,23,54.9,231,10.500,231,30.0,231,0.002201,231,0.806,366
2012,6,0,56.0,159,11.986,159,32.0,159,0.001996,159,0.810,264
2012,6,1,53.6,123,13.790,123,29.0,123,0.001268,123,0.812,213
2012,6,2,60.8,94,12.693,94,32.5,94,0.002077,94,0.815,157
2012,6,3,65.6,63,16.093,63,33.0,63,0.001476,63,0.816,116
2012,6,4,63.3,45,13.276,45,34.0,45,0.002900,45,0.816,83
2012,6,5,62.2,65,13.684,65,36.0,65,0.002023,65,0.810,113
2012,6,6,55.4,61,12.231,61,30.0,61,0.001732,61,0.821,111
2012,6,7,54.6,81,12.336,81,31.0,81,0.001509,81,0.817,140
2012,6,8,53.6,103,13.360,103,32.0,103,0.001784,103,0.813,164
2012,6,9,53.5,107,12.600,107,31.0,107,0.001739,107,0.820,174
2012,6,10,53.3,124,12.726,124,31.0,124,0.002206,124,0.817,205
2012,6,11,56.3,173,11.220,173,31.0,173,0.001934,173,0.808,274
2012,6,12,59.8,143,13.890,143,32.0,143,0.002092,143,0.816,222
2012,6,13,57.5,192,12.432,192,31.0,192,0.002189,192,0.807,298
2012,6,14,54.1,205,13.620,205,31.0,205,0.001871,205,0.808,332
2012,6,15,54.8,194,11.205,194,31.0,194,0.002151,194,0.807,300
2012,6,16,60.6,217,11.489,217,33.0,217,0.001940,216,0.808,332
2012,6,17,55.3,256,10.519,256,31.0,256,0.002024,256,0.807,386
2012,6,18,57.0,274,12.066,274,31.0,274,0.002048,274,0.804,412
2012,6,19,57.6,215,10.358,215,32.0,215,0.002342,215,0.803,349
2012,6,20,72.5,250,8.943,250,42.0,250,0.002362,250,0.802,399
2012,6,21,76.9,234,7.574,234,42.0,234,0.002906,234,0.803,404
2012,6,22,59.5,238,11.289,238,33.0,238,0.002217,238,0.807,387
2012,6,23,56.0,186,10.963,186,30.0,186,0.002560,186,0.812,329
2012,7,0,57.6,93,11.821,93,31.0,93,0.001803,93,0.814,157
2012,7,1,73.4,48,8.224,48,31.0,48,0.002888,48,0.797,100
2012,7,2,49.8,48,15.177,48,27.5,48,0.001615,48,0.814,95
2012,7,3,57.7,38,13.666,38,29.0,38,0.001371,38,0.819,72
2012,7,4,56.7,27,14.794,27,34.0,27,0.001819,27,0.804,51
