month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.007258,28,38,28,134.2,28,24.29,28,6.705,57
1,2,2012,0.006073,31,52,31,147.4,31,23.16,31,4.29,45
1,3,2012,0.007418,23,37,23,126.7,23,24.45,23,16.63,46
1,4,2012,0.00673,32,39,32,127.9,32,24.09,32,19.81,53
1,5,2012,0.007082,40,47.5,40,111.9,40,22.82,40,5.919,62
1,6,2012,0.007857,26,35,26,130.1,26,24.24,26,20.64,35
1,7,2012,0.007149,36,36,36,130.4,36,24.23,36,13.27,59
1,8,2012,0.007275,38,40.5,38,128.3,38,23.52,38,3.449,64
1,9,2012,0.00745,35,38,35,131,35,24.28,35,18.04,56
1,10,2012,0.008058,38,41,38,146.6,38,23.67,38,19.03,60
1,11,2012,0.006615,31,35,31,121.4,31,24.02,31,20.2,41
1,12,2012,0.007352,24,36,24,124.8,24,24,24,11.02,49
1,13,2012,0.007271,23,37,23,150.1,23,24,23,18.62,49
1,14,2012,0.00723,28,39.5,28,146.9,28,23.82,28,12.71,49
1,15,2012,0.008213,39,55,39,149.2,39,6.853,39,0.6589,66
1,16,2012,0.007003,34,38.5,34,160.5,34,22.77,34,2.156,55
1,17,2012,0.007615,25,47,25,121.2,25,22.16,25,14.88,54
1,18,2012,0.006895,35,38,35,123.1,35,22.92,35,4.862,46
1,19,2012,0.006871,27,37,27,127.7,27,23.82,27,19.89,51
1,20,2012,0.008518,19,37,19,159.4,19,24.57,19,20.54,34
1,21,2012,0.007277,31,37,31,126.5,31,24.56,31,19.44,52
1,22,2012,0.007033,30,38.5,30,126.8,30,23.53,30,15.77,45
1,23,2012,0.007134,33,39,33,123.2,33,24.49,33,9.905,48
1,24,2012,0.006532,21,35,21,123.3,21,24.21,21,20.15,41
1,25,2012,0.008132,26,36,26,159.8,26,23.24,26,14.44,45
1,26,2012,0.007598,20,42,20,152.4,20,24.31,20,20.42,41
1,27,2012,0.008449,24,35.5,24,139.2,24,24.24,24,20.53,44
1,28,2012,0.007456,37,37,37,126.3,37,23.75,37,20.47,57
1,29,2012,0.008183,50,49,50,144.6,50,22.51,50,3.893,77
1,30,2012,0.007671,38,33,38,126.1,38,24.62,38,20.54,57
1,31,2012,0.007584,37,37,37,127.1,37,23.54,37,18.74,53
2,1,2012,0.006806,34,43.5,34,125.5,34,23.25,34,20.24,52
2,2,2012,0.006738,21,37,21,160.4,21,23.57,21,13.41,44
2,3,2012,0.007842,30,46.5,30,123.7,30,22.74,30,18.48,48
2,4,2012,0.00852,31,47,31,159.8,31,23.56,31,9.586,50
2,5,2012,0.006436,28,40,28,124.9,28,23.55,28,6.151,49
2,6,2012,0.006805,34,38,34,122.1,34,24.04,34,20.32,56
2,7,2012,0.0077,19,34,19,129.1,19,24.59,19,18.64,37
2,8,2012,0.006268,24,38,24,116.6,24,24.46,24,18.96,40
2,9,2012,0.006647,36,37,36,136.7,36,23.04,36,4.646,66
2,10,2012,0.008439,32,45,32,161.5,32,22.75,32,2.048,58
2,11,2012,0.007768,32,40,32,134.4,32,22.16,32,16.96,49
2,12,2012,0.0071,44,39,44,131.4,44,23.37,44,3.251,63
2,13,2012,0.006609,25,34,25,118.9,25,24.55,25,4.018,51
2,14,2012,0.006961,28,35,28,127.2,28,24.4,28,18.16,52
2,15,2012,0.007563,35,39,35,148.8,35,22.96,35,18.24,52
2,16,2012,0.008773,42,40,42,158.6,42,23.59,42,8.378,70
2,17,2012,0.008139,37,37,37,129.9,37,23.69,37,18.84,62
2,18,2012,0.005868,31,37,31,122.9,31,24.04,31,6.997,51
2,19,2012,0.007015,31,42,31,160.9,31,23.43,31,2.369,55
2,20,2012,0.007566,41,41,41,148.1,41,23.65,41,6.46,74
2,21,2012,0.007102,38,40.5,38,129.1,38,23.28,38,11.91,60
2,22,2012,0.007148,30,37,30,143.4,30,23.71,30,9.203,50
2,23,2012,0.006988,32,39.5,32,129.1,32,23.91,32,20.44,50
2,24,2012,0.006534,34,37,34,127.5,34,24.01,34,7.63,57
2,25,2012,0.006743,45,35,45,121.7,45,23.29,45,3.401,73
2,26,2012,0.007695,23,35,23,122.3,23,23.44,23,0.6347,52
2,27,2012,0.006969,24,34,24,121.9,24,24.57,24,18.12,55
