year,month,day,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2014,9,23,66.5,62,6.458,62,34.0,62,0.005239,62,1.154,89
2014,9,24,69.8,109,7.165,109,31.0,109,0.004511,109,1.185,147
2014,9,25,63.7,169,7.188,169,32.0,169,0.003353,169,1.224,217
2014,9,26,54.1,115,10.254,115,30.0,115,0.003088,115,1.352,158
2014,9,27,54.0,90,10.941,90,32.0,90,0.003633,90,1.401,130
2014,9,28,67.8,129,8.678,129,32.0,129,0.003230,129,1.192,162
2014,9,29,80.2,94,5.589,94,32.5,94,0.005164,94,1.151,129
2014,9,30,67.3,145,7.272,145,34.0,145,0.004544,145,1.110,177
2014,10,1,74.8,101,6.017,101,35.0,101,0.003308,101,1.171,130
2014,10,2,66.1,111,8.729,111,33.0,111,0.003101,111,1.299,154
2014,10,3,54.0,164,9.239,164,32.0,164,0.003611,164,1.301,218
2014,10,4,64.8,156,8.292,156,30.5,156,0.003544,156,1.376,196
2014,10,5,80.1,141,5.981,141,39.0,141,0.004072,141,1.156,192
2014,10,6,68.0,142,7.046,142,33.0,142,0.004104,142,1.263,196
2014,10,7,79.8,155,6.287,155,35.0,155,0.003911,155,1.150,192
2014,10,8,67.8,124,5.396,124,29.0,124,0.003952,124,1.108,161
2014,10,9,64.5,130,7.419,130,33.0,130,0.003447,130,1.068,194
2014,10,10,55.0,148,10.691,148,32.0,148,0.002660,148,1.172,203
2014,10,11,52.6,152,9.782,152,32.0,152,0.002962,152,1.385,198
2014,10,12,67.2,164,7.049,164,34.0,164,0.003511,164,1.275,204
2014,10,13,68.7,146,7.752,146,33.0,146,0.003767,146,1.129,187
2014,10,14,72.3,113,4.958,113,31.0,113,0.004550,113,0.814,149
2014,10,15,81.4,118,6.287,118,31.0,118,0.004475,118,1.180,156
2014,10,16,82.9,125,4.862,125,35.0,125,0.005766,125,1.148,158
2014,10,17,61.5,134,5.668,134,31.0,134,0.004035,134,0.871,164
2014,10,18,97.6,127,5.728,127,48.0,127,0.005766,127,0.981,168
2014,10,19,74.3,131,5.545,131,37.0,131,0.005006,131,1.067,157
2014,10,20,94.6,125,4.766,125,37.0,125,0.004085,125,0.767,159
2014,10,21,84.9,113,8.111,113,36.0,113,0.004916,113,1.150,148
2014,10,22,59.9,91,10.053,91,33.0,91,0.004056,91,1.442,118
2014,10,23,82.7,72,4.523,72,34.5,72,0.005294,72,1.089,111
2014,10,24,69.0,86,6.478,86,36.0,86,0.004232,86,1.249,108
2014,10,25,125.2,116,2.500,116,77.5,116,0.006741,116,1.150,143
2014,10,26,131.5,149,2.635,149,105.0,149,0.006026,149,1.210,176
2014,10,27,71.3,93,7.071,93,36.0,93,0.004948,93,1.388,114
2014,10,28,97.8,97,3.415,97,48.0,97,0.007789,97,1.034,133
2014,10,29,64.9,76,5.971,76,37.0,76,0.004095,76,1.186,89
2014,10,30,67.4,77,9.329,77,43.0,77,0.003817,77,1.293,106
2014,10,31,67.1,74,5.418,74,32.0,74,0.004321,74,0.970,91
2014,11,1,78.4,117,1.084,117,54.0,117,0.028736,117,1.186,146
2014,11,2,106.8,90,0.571,90,61.5,90,0.045112,90,0.884,124
2014,11,3,99.3,89,0.703,89,61.0,89,0.054146,89,1.114,105
2014,11,4,80.1,88,1.810,88,49.5,88,0.015450,88,1.166,111
2014,11,5,83.9,89,0.682,89,51.0,89,0.048951,89,1.173,120
2014,11,6,63.2,73,5.172,73,34.0,73,0.007018,73,1.186,87
2014,11,7,92.1,56,2.245,56,49.0,56,0.010702,56,0.963,72
2014,11,8,84.2,78,0.521,79,59.0,78,0.067093,79,1.102,92
2014,11,9,96.4,76,0.506,76,62.5,76,0.058672,76,1.009,101
2014,11,10,79.4,62,0.834,62,53.5,62,0.047286,62,1.142,75
2014,11,11,92.0,73,0.511,73,58.0,73,0.059155,73,0.903,93
2014,11,12,131.8,107,0.368,107,84.0,107,0.061602,107,1.352,137
2014,11,13,128.2,66,0.538,66,75.5,66,0.043874,66,1.087,93
2014,11,14,91.4,76,1.125,76,59.5,76,0.036348,76,1.008,95
2014,11,15,94.8,102,0.769,102,66.0,102,0.041099,102,1.013,128
2014,11,16,120.0,84,0.687,84,71.5,84,0.031917,84,1.153,115
2014,11,17,95.0,63,0.881,63,58.0,63,0.033103,63,0.829,95
2014,11,18,92.2,59,1.778,59,44.0,59,0.020686,59,0.973,80
2014,11,19,90.2,56,1.608,57,44.5,56,0.018495,57,1.064,91
2014,11,20,127.9,72,0.194,72,103.0,72,0.117460,72,1.386,86
2014,11,21,95.0,77,0.665,77,63.0,77,0.034169,77,1.153,91
2014,11,22,96.7,69,0.974,69,66.0,69,0.033813,69,1.169,90
2014,11,23,83.5,87,1.351,87,58.0,87,0.018038,87,1.135,107
2014,11,24,103.7,77,0.653,77,60.0,77,0.042105,77,0.991,97
2014,11,25,87.2,56,3.636,56,49.5,56,0.008023,56,0.928,80
2014,11,26,81.6,61,0.831,61,59.0,61,0.038168,61,1.192,66
2014,11,27,71.2,78,4.876,78,32.0,78,0.006495,78,1.066,103
2014,11,28,72.9,81,1.988,81,48.0,81,0.017434,81,1.185,98
2014,11,29,88.4,70,1.395,70,57.5,70,0.021886,70,1.173,90
2014,11,30,106.1,96,0.919,96,71.5,96,0.030158,96,1.086,123
2014,12,1,120.8,97,0.821,97,94.0,97,0.026906,97,0.780,112
2014,12,2,130.0,59,0.222,59,102.0,59,0.113208,59,0.967,85
2014,12,3,141.7,49,0.521,49,100.0,49,0.026596,49,1.015,68
2014,12,4,120.2,45,0.319,45,79.0,45,0.082988,45,1.423,65
2014,12,5,124.4,67,0.223,67,100.0,67,0.118421,67,1.155,84
2014,12,6,143.8,74,0.332,74,104.0,74,0.066422,74,1.207,88
2014,12,7,124.5,87,0.470,87,99.0,87,0.063241,87,0.769,117
2014,12,8,94.5,69,1.214,69,56.0,69,0.020049,69,1.155,95
2014,12,9,86.2,79,0.778,79,53.0,79,0.038194,79,0.895,112
2014,12,10,92.8,53,0.796,53,63.0,53,0.033397,53,1.308,65
2014,12,11,85.5,59,1.619,59,54.0,59,0.018229,59,1.468,73
2014,12,12,97.1,42,1.558,42,54.5,42,0.020143,42,0.579,71
2014,12,13,119.1,110,0.407,110,88.5,110,0.070340,110,1.075,125
2014,12,14,115.4,79,0.894,79,91.0,79,0.023460,79,1.261,99
2014,12,15,109.8,63,0.634,63,77.0,63,0.051546,63,1.424,80
2014,12,16,64.7,46,1.891,46,33.5,46,0.010340,46,1.016,70
2014,12,17,69.0,53,0.507,53,37.0,53,0.074742,53,1.253,68
2014,12,18,64.1,58,1.369,58,31.0,58,0.025756,58,1.212,70
2014,12,19,52.4,61,2.455,62,32.0,61,0.009509,62,1.175,87
2014,12,20,69.8,56,0.322,56,37.5,56,0.108083,56,1.156,78
2014,12,21,84.4,38,0.288,38,40.5,38,0.128460,38,0.764,73
2014,12,22,55.0,30,0.279,30,40.5,30,0.168224,30,1.354,47
2014,12,23,74.9,63,0.272,63,39.0,63,0.125000,63,1.302,76
2014,12,24,50.7,96,1.187,96,30.5,96,0.028996,96,1.162,114
2014,12,25,57.0,82,3.490,82,32.0,82,0.012007,82,1.152,94
2014,12,26,66.3,102,1.391,102,31.0,102,0.015395,102,1.057,133
