year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2014,9,0,56.7,49,7.221,49,29.0,49,0.003213,49,1.486,54
2014,9,1,49.3,24,13.559,24,33.0,24,0.002021,24,1.550,26
2014,9,2,44.8,15,11.134,15,32.0,15,0.002079,15,1.214,18
2014,9,3,48.9,11,7.774,11,33.0,11,0.003504,11,1.506,13
2014,9,4,75.2,6,9.133,6,33.0,6,0.004469,6,0.708,14
2014,9,5,61.8,15,10.099,15,31.0,15,0.001193,15,1.230,18
2014,9,6,44.7,15,10.603,15,31.0,15,0.004059,15,1.429,19
2014,9,7,59.9,10,10.068,10,31.0,10,0.002551,10,1.187,17
2014,9,8,61.3,26,10.526,26,31.5,26,0.002002,26,1.371,38
2014,9,9,51.9,32,7.842,32,28.5,32,0.001911,32,1.173,37
2014,9,10,60.3,45,11.004,45,31.0,45,0.002117,45,1.465,62
2014,9,11,46.5,28,14.476,28,28.5,28,0.003061,28,1.504,37
2014,9,12,75.7,43,6.741,43,30.0,43,0.003779,43,0.933,53
2014,9,13,60.8,31,6.182,31,33.0,31,0.004638,31,1.166,44
2014,9,14,49.9,34,13.092,34,32.0,34,0.003089,34,1.166,51
2014,9,15,66.8,49,7.266,49,31.0,49,0.004300,49,1.152,70
2014,9,16,78.5,42,6.963,42,31.0,42,0.003343,42,1.465,56
2014,9,17,66.4,42,7.381,42,31.0,42,0.004689,42,1.179,56
2014,9,18,55.4,62,9.311,62,29.0,62,0.003644,62,1.367,82
2014,9,19,69.9,67,6.581,67,33.0,67,0.004962,67,1.197,84
2014,9,20,87.2,66,6.185,66,47.0,66,0.005724,66,1.187,86
2014,9,21,79.5,91,4.879,91,36.0,91,0.005789,91,1.153,118
2014,9,22,60.1,71,6.941,71,29.0,71,0.004827,71,1.266,97
2014,9,23,84.3,39,4.698,39,31.0,39,0.004381,39,1.189,59
2014,10,0,55.6,111,7.919,111,32.0,111,0.003638,111,1.300,139
2014,10,1,46.5,93,9.213,93,31.0,93,0.003277,93,1.285,115
2014,10,2,63.7,89,6.863,89,31.0,89,0.003628,89,1.016,112
2014,10,3,68.9,60,6.961,60,33.0,60,0.002439,60,0.746,84
2014,10,4,70.4,53,7.293,53,33.0,53,0.003796,53,1.144,69
2014,10,5,49.9,47,13.043,47,32.0,47,0.002881,47,1.401,64
2014,10,6,51.8,65,10.881,65,31.0,65,0.002096,65,1.465,77
2014,10,7,64.8,104,9.954,104,32.5,104,0.003838,104,1.501,132
2014,10,8,53.2,95,11.297,95,31.0,95,0.002112,95,1.193,125
2014,10,9,57.9,126,10.131,126,32.0,126,0.003829,126,1.147,173
2014,10,10,64.7,186,6.256,186,32.0,186,0.004574,186,1.189,237
2014,10,11,62.7,159,7.422,159,31.0,159,0.004164,159,1.181,220
2014,10,12,63.6,153,5.770,153,33.0,153,0.004219,153,1.111,199
2014,10,13,65.9,161,7.031,161,32.0,161,0.004221,161,1.166,234
2014,10,14,78.5,196,6.496,196,34.0,196,0.003459,196,1.018,254
2014,10,15,74.7,185,5.375,185,34.0,185,0.004183,185,1.096,231
2014,10,16,72.4,208,6.311,208,33.0,208,0.004627,208,1.109,279
2014,10,17,72.5,239,7.263,239,33.0,239,0.004506,239,1.270,311
2014,10,18,73.5,235,6.402,235,34.0,235,0.004229,235,1.180,305
2014,10,19,92.3,276,5.791,276,46.5,276,0.004817,276,1.146,358
2014,10,20,108.1,246,4.398,246,71.5,246,0.005646,246,1.163,318
2014,10,21,114.8,297,3.402,297,66.0,297,0.005225,297,1.132,376
2014,10,22,83.8,222,5.817,222,37.0,222,0.004680,222,1.132,276
2014,10,23,64.0,145,6.561,145,33.0,145,0.004195,145,1.105,185
2014,11,0,52.5,86,8.791,86,31.5,86,0.002452,86,0.930,121
2014,11,1,66.3,53,8.774,53,31.0,53,0.004231,53,1.154,71
2014,11,2,71.1,47,6.316,47,32.0,47,0.003410,47,1.028,69
2014,11,3,60.7,35,6.892,35,25.0,35,0.004831,35,0.834,49
2014,11,4,59.0,32,6.440,32,29.0,32,0.004102,32,1.179,41
2014,11,5,75.0,28,5.184,28,33.0,28,0.004992,28,0.582,38
2014,11,6,57.2,61,12.024,61,28.0,61,0.002791,61,1.274,75
2014,11,7,56.0,63,12.331,63,30.0,63,0.002583,63,1.391,81
2014,11,8,71.8,70,8.176,70,32.0,70,0.004291,70,1.443,95
2014,11,9,66.6,69,7.383,69,31.0,69,0.004179,69,1.193,88
2014,11,10,72.6,95,4.197,95,34.0,95,0.004764,95,1.182,113
2014,11,11,77.5,104,2.012,104,46.0,104,0.009704,104,1.147,137
2014,11,12,87.3,82,1.548,82,50.0,82,0.012969,82,1.149,115
2014,11,13,81.4,89,1.759,89,49.0,89,0.019163,89,0.991,118
2014,11,14,91.4,99,1.394,99,60.0,99,0.024823,99,1.035,129
2014,11,15,95.7,124,1.042,124,63.0,124,0.024125,124,1.154,148
2014,11,16,98.4,180,0.565,180,65.0,180,0.049084,180,1.145,209
2014,11,17,108.5,183,0.384,183,70.0,183,0.075812,183,1.195,212
2014,11,18,104.7,154,0.269,154,71.5,154,0.106942,154,1.114,189
2014,11,19,121.7,150,0.157,150,79.5,150,0.149457,150,0.996,205
2014,11,20,125.7,117,0.155,119,80.0,117,0.145455,119,0.991,177
2014,11,21,122.2,141,0.225,141,77.0,141,0.115207,141,0.993,189
2014,11,22,98.3,142,0.474,142,62.0,142,0.063438,142,1.061,166
2014,11,23,66.0,124,3.850,124,36.0,124,0.009423,124,1.094,156
2014,12,0,51.1,84,4.359,84,30.0,84,0.006099,84,1.327,102
2014,12,1,59.4,51,9.282,51,32.0,51,0.004292,51,1.314,71
2014,12,2,64.0,28,8.180,28,30.0,28,0.003969,28,1.051,42
2014,12,3,61.1,25,7.213,25,29.0,25,0.005313,25,1.507,33
2014,12,4,46.6,25,13.071,25,28.0,25,0.002738,25,1.189,33
2014,12,5,74.2,28,7.757,28,31.5,28,0.004100,28,1.187,37
2014,12,6,40.1,32,13.024,32,28.0,32,0.003000,32,1.351,45
2014,12,7,80.4,39,6.575,39,31.0,39,0.003685,39,1.272,55
2014,12,8,66.1,70,9.928,70,29.0,70,0.003644,70,1.320,97
2014,12,9,54.6,90,7.194,90,29.0,90,0.003150,90,1.191,111
2014,12,10,59.6,108,7.352,108,31.5,108,0.003250,108,1.161,136
2014,12,11,61.2,95,4.528,95,33.0,95,0.006166,95,0.880,131
2014,12,12,63.1,87,1.789,87,33.0,87,0.016189,87,1.254,114
2014,12,13,73.3,90,1.996,90,35.0,90,0.012457,90,1.249,114
2014,12,14,75.7,91,1.202,91,33.0,91,0.024476,91,1.116,109
2014,12,15,93.1,122,0.518,122,56.0,122,0.054144,122,1.189,142
2014,12,16,108.6,122,0.467,122,66.5,122,0.064500,122,1.218,150
2014,12,17,94.2,143,0.389,143,58.0,143,0.074742,143,1.155,170
2014,12,18,115.5,152,0.234,152,70.5,152,0.122449,152,1.037,181
2014,12,19,129.4,121,0.138,121,86.0,121,0.187500,121,0.807,161
2014,12,20,129.2,123,0.151,123,100.0,123,0.171598,123,0.982,191
2014,12,21,117.2,127,0.127,128,95.0,127,0.191514,128,1.164,187
2014,12,22,99.3,132,0.200,133,60.5,132,0.149635,133,1.156,177
2014,12,23,82.9,112,0.800,112,43.0,112,0.039852,112,1.150,139
2015,1,0,51.9,66,7.585,66,31.5,66,0.004267,66,1.157,95
2015,1,1,56.9,51,4.669,51,29.0,51,0.005152,51,1.118,65
2015,1,2,72.0,45,7.215,45,32.0,45,0.004809,45,0.843,62
2015,1,3,60.5,22,7.207,22,30.5,22,0.003801,22,0.761,24
2015,1,4,58.0,28,5.621,28,29.0,28,0.004833,28,0.765,34
2015,1,5,69.3,18,11.999,18,30.0,18,0.002503,18,1.512,24
2015,1,6,64.4,25,8.948,25,32.0,25,0.005730,25,1.148,41
2015,1,7,60.0,52,10.056,52,26.0,52,0.004643,52,1.156,63
2015,1,8,65.3,69,7.082,69,29.0,69,0.003460,69,1.111,83
2015,1,9,50.2,73,7.045,73,29.0,73,0.004143,73,1.391,99
2015,1,10,58.4,101,7.056,101,29.0,101,0.003744,101,1.197,120
2015,1,11,58.1,95,6.813,95,30.0,95,0.005739,95,1.185,121
2015,1,12,61.3,108,3.748,108,29.5,108,0.005492,108,1.190,129
2015,1,13,56.3,115,1.813,115,32.0,115,0.019036,115,1.174,148
2015,1,14,53.8,113,1.471,113,30.0,113,0.024320,113,1.192,136
2015,1,15,76.9,97,0.360,97,38.0,97,0.078358,97,0.995,129
2015,1,16,60.5,108,0.290,108,33.0,108,0.110208,108,1.115,139
2015,1,17,78.0,136,0.205,136,41.0,136,0.140710,136,1.111,167
2015,1,18,77.1,127,0.196,128,40.0,127,0.148743,128,1.155,159
2015,1,19,81.0,86,0.132,86,40.0,86,0.210344,86,0.954,158
2015,1,20,92.0,74,0.108,76,46.5,74,0.217634,76,0.960,134
2015,1,21,77.8,98,0.123,101,46.5,98,0.212766,101,1.197,162
2015,1,22,76.5,98,0.159,99,41.0,98,0.176101,99,1.173,138
2015,1,23,68.4,85,0.529,85,33.0,85,0.056555,85,1.043,108
2015,2,0,48.6,80,4.115,80,28.0,80,0.006783,80,1.078,91
2015,2,1,61.2,61,4.784,61,29.0,61,0.007498,61,0.661,69
2015,2,2,53.9,32,10.331,32,29.0,32,0.002436,32,1.442,37
2015,2,3,38.2,17,17.810,17,27.0,17,0.002918,17,1.270,25
2015,2,4,50.4,19,14.103,19,30.0,19,0.003629,19,1.472,26
2015,2,5,59.9,23,9.302,23,30.0,23,0.003466,23,1.347,29
2015,2,6,52.1,31,12.016,31,30.0,31,0.003309,31,1.455,44
2015,2,7,58.4,61,9.667,61,25.0,61,0.003331,61,1.193,73
2015,2,8,51.4,81,6.379,81,26.0,81,0.004526,81,1.485,93
2015,2,9,46.1,106,2.961,106,30.0,106,0.008608,106,1.459,119
2015,2,10,52.6,80,1.635,80,30.0,80,0.015265,80,1.197,87
2015,2,11,47.3,68,1.157,68,29.0,68,0.029412,68,1.179,78
2015,2,12,52.3,131,1.075,131,31.0,131,0.027441,131,1.197,145
2015,2,13,60.5,102,0.647,102,30.0,102,0.038484,102,1.178,128
2015,2,14,48.4,106,1.288,107,30.0,106,0.028902,107,1.389,129
2015,2,15,69.8,101,0.201,102,38.0,101,0.130010,102,1.159,120
2015,2,16,79.0,109,0.268,109,40.0,109,0.132701,109,1.193,131
2015,2,17,66.2,99,0.223,100,35.0,99,0.149766,100,1.346,130
