year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2014,9,0,44.4,43,15.458,43,16.0,43,0.001068,43,4.895,92
2014,9,1,41.6,30,17.608,30,17.5,30,0.000557,30,6.261,68
2014,9,2,35.9,20,13.893,20,14.0,20,0.000553,20,4.721,50
2014,9,3,42.0,18,7.000,18,20.5,18,0.001214,18,4.713,42
2014,9,4,133.6,15,4.762,15,22.0,15,0.001094,15,4.684,34
2014,9,5,46.5,22,11.641,22,16.5,22,0.001312,22,4.865,49
2014,9,6,77.6,26,9.419,26,16.0,26,0.001919,26,4.702,59
2014,9,7,53.2,16,10.245,16,19.0,16,0.002011,16,6.824,42
2014,9,8,37.5,33,12.850,33,18.0,33,0.002972,33,8.783,66
2014,9,9,51.4,38,16.769,38,17.0,38,0.001213,38,7.544,80
2014,9,10,56.6,28,14.920,28,20.0,28,0.001844,28,4.810,66
2014,9,11,41.2,50,18.206,50,16.0,50,0.000994,50,8.717,107
2014,9,12,64.5,35,9.949,35,18.0,35,0.002310,35,4.882,99
2014,9,13,45.4,48,17.287,48,16.0,48,0.001588,48,8.277,117
2014,9,14,62.8,41,12.381,41,18.0,41,0.001903,41,4.816,94
2014,9,15,40.8,57,17.070,57,17.0,57,0.001674,57,6.099,118
2014,9,16,43.8,56,17.681,56,14.0,56,0.001705,56,4.995,129
2014,9,17,49.8,64,13.474,64,17.0,64,0.001772,64,7.268,150
2014,9,18,48.7,98,11.403,98,18.0,98,0.001898,98,4.838,187
2014,9,19,43.4,111,16.320,111,15.0,111,0.002102,111,6.058,206
2014,9,20,49.6,72,17.350,72,16.5,72,0.001191,72,5.546,172
2014,9,21,46.2,92,11.151,92,16.5,92,0.001294,92,4.916,173
2014,9,22,48.7,86,10.355,86,19.0,86,0.002319,86,4.791,170
2014,9,23,55.9,71,12.909,71,17.0,71,0.002477,71,4.648,151
2014,10,0,50.2,155,13.442,155,18.0,155,0.001418,155,4.848,321
2014,10,1,44.5,117,16.023,117,18.0,117,0.001328,117,6.379,274
2014,10,2,38.8,69,14.003,69,18.0,69,0.001012,69,5.688,191
2014,10,3,47.8,65,16.315,65,18.0,65,0.000966,65,4.975,165
2014,10,4,45.2,44,14.786,44,19.0,44,0.002473,44,6.212,99
2014,10,5,44.6,43,15.237,43,16.0,43,0.001570,43,4.912,132
2014,10,6,41.4,93,14.260,93,18.0,93,0.001484,93,5.415,188
2014,10,7,38.3,94,14.157,94,16.0,94,0.002203,94,7.031,211
2014,10,8,42.7,117,13.879,117,16.0,117,0.001625,117,4.887,250
2014,10,9,46.4,147,14.812,147,18.0,147,0.001591,147,4.875,282
2014,10,10,44.5,164,13.621,164,16.0,164,0.001760,164,4.961,341
2014,10,11,45.2,197,15.824,197,17.0,197,0.001522,197,5.975,400
2014,10,12,48.2,184,16.615,184,17.0,184,0.001027,184,7.331,388
2014,10,13,42.0,195,14.550,195,17.0,195,0.001786,195,7.303,412
2014,10,14,45.8,200,17.496,200,16.0,200,0.001214,200,6.620,415
2014,10,15,44.4,193,15.215,193,17.0,193,0.002029,193,6.291,395
2014,10,16,45.5,224,15.554,224,18.0,224,0.001302,224,6.109,482
2014,10,17,45.7,296,14.960,296,16.0,296,0.001218,296,5.404,589
2014,10,18,47.7,305,15.517,305,18.0,305,0.001614,305,5.358,579
2014,10,19,63.2,338,12.933,338,19.0,338,0.002137,338,4.922,634
2014,10,20,60.8,280,13.186,280,19.0,280,0.001825,280,4.880,564
2014,10,21,55.2,347,13.873,347,18.0,347,0.001731,347,4.851,651
2014,10,22,50.8,231,13.307,231,18.0,231,0.001616,231,4.921,520
2014,10,23,45.4,200,14.567,200,18.0,200,0.001347,200,5.598,411
2014,11,0,39.9,97,15.673,97,15.0,97,0.001295,97,6.896,229
2014,11,1,41.8,85,12.616,85,18.0,85,0.002049,85,5.654,181
2014,11,2,39.5,44,19.204,44,17.5,44,0.001448,44,6.452,114
2014,11,3,42.0,45,15.416,45,16.0,45,0.001669,45,7.302,111
2014,11,4,51.7,36,12.227,36,18.0,36,0.000936,36,4.911,93
2014,11,5,48.9,29,16.573,29,14.0,29,0.001148,29,4.916,88
2014,11,6,42.0,44,16.392,44,15.5,44,0.001446,44,5.149,119
2014,11,7,53.1,81,14.871,81,18.0,81,0.002670,81,4.913,172
2014,11,8,50.8,99,15.855,99,15.0,99,0.000968,99,4.898,207
2014,11,9,41.2,109,17.754,109,16.0,109,0.001219,109,4.850,242
2014,11,10,43.5,111,16.306,111,16.0,111,0.000965,111,4.852,253
2014,11,11,43.9,120,17.407,120,17.0,120,0.001329,120,4.845,273
2014,11,12,44.3,116,15.093,116,16.0,116,0.001645,116,6.779,231
2014,11,13,60.0,150,8.720,150,20.0,150,0.001858,150,5.449,297
2014,11,14,56.5,132,6.932,132,21.0,132,0.003634,132,4.907,286
2014,11,15,47.9,176,14.800,176,18.0,176,0.002466,176,5.067,331
2014,11,16,56.5,187,7.702,188,19.0,187,0.004323,188,4.716,337
2014,11,17,61.2,209,4.384,209,23.0,209,0.006471,209,4.828,346
2014,11,18,75.2,265,0.792,265,42.0,265,0.047348,265,4.706,399
2014,11,19,73.5,245,1.193,245,40.0,245,0.030682,245,4.720,378
2014,11,20,85.0,333,0.487,333,47.0,333,0.081206,333,4.561,473
2014,11,21,72.4,271,0.679,271,43.0,271,0.063934,271,4.539,401
2014,11,22,58.1,200,8.067,200,22.0,200,0.004209,200,4.958,368
2014,11,23,48.2,125,10.091,125,17.0,125,0.002857,125,4.904,252
2014,12,0,34.0,145,12.324,145,16.0,145,0.001300,145,6.472,224
2014,12,1,34.9,78,14.414,78,14.0,78,0.001007,78,8.459,139
2014,12,2,46.3,49,20.168,49,16.0,49,0.001411,49,5.895,105
2014,12,3,38.0,29,17.091,29,15.0,29,0.001080,29,5.885,80
2014,12,4,45.3,31,9.720,31,18.0,31,0.003062,31,5.709,89
2014,12,5,44.4,28,14.919,28,18.5,28,0.001325,28,6.490,72
2014,12,6,39.4,38,19.328,38,16.5,38,0.000759,38,8.983,102
2014,12,7,50.6,60,15.393,60,17.0,60,0.001153,60,4.883,139
2014,12,8,46.4,82,20.644,82,14.0,82,0.001010,82,5.099,149
2014,12,9,31.0,128,10.340,128,14.0,128,0.001976,128,6.470,183
2014,12,10,36.2,155,7.049,155,17.0,155,0.004808,155,5.394,221
2014,12,11,37.2,129,6.033,129,17.0,129,0.004272,129,4.958,181
2014,12,12,39.9,137,4.246,137,18.0,137,0.008364,137,4.781,211
2014,12,13,42.9,170,1.767,170,18.0,170,0.017449,170,5.700,237
2014,12,14,41.4,180,1.694,180,17.0,180,0.020704,180,5.932,245
2014,12,15,42.0,198,1.346,198,20.0,198,0.033504,198,7.947,263
