month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.01294,31,86,31,159.3,31,0.9418,31,0.332,49
1,2,2012,0.007362,33,58,33,121.4,33,3.535,33,0.4521,52
1,3,2012,0.007774,16,62,16,131.5,16,2.335,16,0.4296,33
1,4,2012,0.005871,22,52,22,135.1,22,1.934,22,0.3549,42
1,5,2012,0.005711,19,46,19,93.5,19,2.981,19,0.3608,41
1,6,2012,0.00878,14,77.5,14,141.9,14,2.434,14,0.5218,29
1,7,2012,0.01176,13,74,13,268,13,1.539,13,0.3642,24
1,8,2012,0.009756,27,55,27,164.2,27,2.401,27,0.5436,45
1,9,2012,0.00525,19,68,19,130.1,19,2.382,19,0.4424,34
1,10,2012,0.005307,17,73,17,118.4,17,4.561,17,0.4311,40
1,11,2012,0.004197,20,81,20,163.8,20,2.367,20,0.3912,33
1,12,2012,0.009506,25,79,25,149.1,25,1.369,25,0.3614,37
1,13,2012,0.007318,36,55.5,36,97.29,36,2.341,36,0.4402,51
1,14,2012,0.005002,31,55,31,135.2,31,2.462,31,0.3219,54
1,15,2012,0.007042,21,55,21,72.17,21,7.946,21,0.523,41
1,16,2012,0.008554,20,62,20,132,20,2.414,20,0.5182,45
1,17,2012,0.005731,21,52,21,119.4,21,2.49,21,0.4018,37
1,18,2012,0.007319,30,57,30,104.5,30,3.422,30,0.362,49
1,19,2012,0.01319,29,67,29,111.6,29,3.296,29,0.506,54
1,20,2012,0.008211,15,55,15,109.3,15,2.616,15,0.6139,41
1,21,2012,0.02135,16,55.5,16,162.7,16,1.198,16,0.3236,32
1,22,2012,0.007078,20,58.5,20,143.7,20,1.753,20,0.5491,35
1,23,2012,0.01577,39,76,39,118.8,39,0.9914,39,0.5767,43
1,24,2012,0.01034,33,64,33,130.2,33,2.31,33,0.4755,52
1,25,2012,0.007064,28,73,28,88.27,28,2.528,28,0.4022,43
1,26,2012,0.007074,23,53,23,107.6,23,2.14,23,0.3989,43
1,27,2012,0.006915,20,57.5,20,111.2,20,3.9,20,0.3865,38
1,28,2012,0.02815,26,91,26,137.4,26,1.047,26,0.4281,34
1,29,2012,0.005916,24,56,24,68.59,24,2.876,24,0.6597,46
1,30,2012,0.007682,28,84,28,138.1,28,1.503,28,0.3021,42
1,31,2012,0.01663,23,58,23,119.5,23,1.647,23,0.2896,51
2,1,2012,0.005201,22,79.5,22,148.2,22,1.741,22,0.3604,33
2,2,2012,0.008805,23,85,23,109.5,23,1.382,23,0.3298,43
2,3,2012,0.004549,14,49,14,117.4,14,3.751,14,0.4556,24
2,4,2012,0.004537,19,70,19,106.9,19,2.094,19,0.3464,30
