month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.01885,19,86,19,153.9,19,0.9658,19,0.3404,38
1,1,2012,0.007622,17,47,17,91.23,17,2.609,17,0.3571,42
1,2,2012,0.009856,12,58,12,94.89,12,3.169,12,0.3594,38
1,3,2012,0.007335,29,58,29,132.9,29,2.505,29,0.4495,44
1,4,2012,0.007578,8,74.5,8,148.8,8,3.078,8,0.3981,26
1,5,2012,0.009397,15,68,15,135.7,15,2.285,15,0.6024,25
1,6,2012,0.009171,26,78,26,122.3,26,1.471,26,0.3769,38
1,7,2012,0.008621,18,79.5,18,150.7,18,4.138,18,0.5344,35
1,8,2012,0.009346,9,86,9,113.4,9,2.752,9,0.5229,31
1,9,2012,0.007448,24,78,24,143.5,24,2.357,24,0.362,37
1,10,2012,0.008897,21,71,21,128.8,21,2.41,21,0.3304,46
1,11,2012,0.007946,21,53,21,108.6,21,2.33,21,0.5188,40
1,12,2012,0.008634,33,59,33,111,33,2.444,33,0.3706,58
1,13,2012,0.005498,33,75,33,146.6,33,1.995,33,0.3561,58
1,14,2012,0.0132,37,67,37,158,37,1.539,37,0.3734,62
1,15,2012,0.00763,37,56,37,99.78,37,4.003,37,0.5182,63
1,16,2012,0.009782,56,64,56,124.4,56,2.31,56,0.4827,81
1,17,2012,0.009278,66,63,66,114.3,66,2.866,66,0.5218,102
1,18,2012,0.008211,53,73,53,115.7,53,2.49,53,0.3567,81
1,19,2012,0.01281,52,74,52,136.8,52,1.627,52,0.3785,82
1,20,2012,0.01342,46,69.5,46,105.9,46,1.222,46,0.3579,74
1,21,2012,0.007713,38,56.5,38,108.7,38,2.208,38,0.531,71
1,22,2012,0.005545,37,57,37,114.7,37,2.477,37,0.5161,60
1,23,2012,0.01019,32,65,32,116.7,32,2.368,32,0.4865,58
2,0,2012,0.005269,22,57,22,109.3,22,2.609,22,0.537,32
2,1,2012,0.006854,10,72,10,120.8,10,3.941,10,0.6561,18
2,2,2012,0.008531,17,58,17,149.9,17,1.052,17,0.312,33
2,3,2012,0.006131,7,53,7,203.6,7,2.163,7,0.3409,13
2,4,2012,0.008374,12,55.5,12,134.2,12,2.452,12,0.5807,32
2,5,2012,0.008929,9,94,9,172.4,9,0.6229,9,0.293,29
2,6,2012,0.004876,12,94,12,139.2,12,2.002,12,1.126,41
2,7,2012,0.0115,13,78,13,144.9,13,1.897,13,0.764,27
2,8,2012,0.005852,23,81,23,114.9,23,2.056,23,0.5284,44
2,9,2012,0.01241,25,68,25,117.8,25,2.208,25,0.6015,57
2,10,2012,0.009424,25,58,25,126.1,25,2.53,25,0.5502,39
2,11,2012,0.003205,15,63,15,105.7,15,2.396,15,0.5958,34
2,12,2012,0.005213,21,58,21,125.5,21,2.515,21,0.5743,42
2,13,2012,0.01441,25,82,25,131.2,25,2.061,25,0.3784,48
2,14,2012,0.005613,25,76,25,93.35,25,2.765,25,0.3623,55
2,15,2012,0.005934,29,57,29,101.4,29,2.458,29,0.3825,56
2,16,2012,0.003903,28,52.5,28,92.83,28,3.327,28,0.5589,50
2,17,2012,0.005009,35,62,35,119.2,35,2.478,35,0.3932,54
2,18,2012,0.009506,51,60,51,103.7,51,1.891,51,0.3533,73
2,19,2012,0.008114,39,81,39,134.2,39,1.406,39,0.3573,75
2,20,2012,0.01404,47,82,47,125.8,47,1.355,47,0.3583,67
2,21,2012,0.01103,39,81,39,104.7,39,1.241,39,0.528,73
2,22,2012,0.00923,26,55,26,72.65,26,1.77,26,0.536,53
2,23,2012,0.006849,21,51,21,94.74,21,2.776,21,0.5263,40
3,0,2012,0.01115,17,71,17,129.3,17,2.579,17,0.4694,41
3,1,2012,0.008682,17,52,17,108.1,17,2.427,17,0.362,31
3,2,2012,0.00887,13,49,13,139.3,13,3.872,13,0.4901,26
3,3,2012,0.0105,8,55.5,8,123.5,8,2.26,8,0.7271,19
3,4,2012,0.005102,6,56.5,6,86.82,6,8.417,6,0.466,16
3,5,2012,0.006179,11,38,11,91.1,11,4.564,11,0.5784,17
3,6,2012,0.0025,11,82,11,278.9,11,1.941,11,0.3399,20
3,7,2012,0.03888,6,62,6,151.4,6,0.8877,6,0.2415,21
3,8,2012,0.005681,16,78,16,197.1,16,1.363,16,0.7661,23
3,9,2012,0.009869,16,81.5,16,163,16,0.9844,16,0.3456,28
