month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.008108,113,78.5,114,123.61,114,3.5,114,0.5503,196
1,2,2012,0.01005,123,90.0,123,130.25,123,2.331,123,0.5589,220
1,3,2012,0.010414,104,83.0,103,148.88,103,2.891,104,0.5738,180
1,4,2012,0.010005,102,87.5,102,143.62,102,2.151,102,0.5495,211
1,5,2012,0.009937,94,83.0,94,130.52,94,1.771,94,0.5631,180
1,6,2012,0.008792,108,78.0,108,122.9,108,3.868,108,0.567,194
1,7,2012,0.008235,161,69.0,161,113.33,161,4.544,161,0.5632,239
1,8,2012,0.009247,138,78.0,138,119.82,138,3.975,138,0.578,238
1,9,2012,0.011561,107,81.0,107,116.89,107,2.611,107,0.5782,184
1,10,2012,0.010852,93,83.0,93,123.83,93,2.367,93,0.5548,169
1,11,2012,0.011017,126,81.0,126,122.49,126,2.534,126,0.5732,176
1,12,2012,0.008441,110,79.5,110,120.4,110,2.871,110,0.574,186
1,13,2012,0.008679,109,79.0,109,125.66,109,3.501,109,0.5875,195
1,14,2012,0.008312,116,75.5,116,119.72,116,4.551,116,0.5633,196
1,15,2012,0.008254,135,80.0,135,116.56,135,3.934,135,0.5629,235
1,16,2012,0.008562,109,88.0,109,151.46,109,2.417,109,0.561,182
1,17,2012,0.010815,110,83.5,110,142.22,110,1.649,110,0.5672,189
1,18,2012,0.007796,105,85.0,105,142.43,105,2.475,105,0.5633,191
1,19,2012,0.008528,101,76.0,101,113.78,101,2.49,101,0.4795,189
1,20,2012,0.009662,131,74.0,131,130.38,131,3.146,131,0.5607,202
1,21,2012,0.008743,139,75.0,139,138.57,139,3.712,139,0.5192,219
1,22,2012,0.008292,129,79.0,129,116.59,129,3.714,129,0.5968,210
1,23,2012,0.007777,127,77.0,127,115.66,127,3.091,127,0.586,198
1,24,2012,0.01195,145,78.0,145,121.09,145,3.044,145,0.5634,239
1,25,2012,0.008654,131,69.0,131,107.85,131,5.273,131,0.5879,210
1,26,2012,0.009745,112,86.0,112,125.47,112,3.419,112,0.5795,212
1,27,2012,0.007787,114,79.0,114,114.85,114,3.439,114,0.5708,202
1,28,2012,0.009919,123,82.0,123,128.33,123,3.737,123,0.5802,212
1,29,2012,0.008965,136,82.0,136,137.97,136,3.106,136,0.5805,212
1,30,2012,0.00976,131,75.0,131,127.97,131,4.3,131,0.5635,226
1,31,2012,0.014339,86,87.0,86,130.06,86,1.671,86,0.5721,160
2,1,2012,0.010604,102,79.0,102,137.34,102,2.768,102,0.5844,177
2,2,2012,0.00773,116,74.0,116,121.93,116,3.856,116,0.5644,190
2,3,2012,0.009675,124,81.0,124,131.03,124,3.747,124,0.5563,225
2,4,2012,0.008973,104,84.0,104,124.19,104,3.534,104,0.5632,175
2,5,2012,0.008585,93,82.0,93,127.47,93,2.992,93,0.5631,179
2,6,2012,0.010088,108,82.0,108,125.54,108,2.939,108,0.5631,184
2,7,2012,0.008746,129,77.0,129,113.36,129,4.825,129,0.5958,204
2,8,2012,0.008436,122,79.5,122,131.53,122,3.757,122,0.5713,205
2,9,2012,0.010811,148,82.0,148,126.96,148,2.399,148,0.5777,256
2,10,2012,0.006591,115,78.0,115,110.23,115,3.797,115,0.59,195
2,11,2012,0.009813,154,84.0,154,128.08,154,3.266,154,0.5836,267
2,12,2012,0.010411,127,83.0,127,142.28,127,3.937,127,0.5632,206
2,13,2012,0.009674,122,81.0,122,130.41,122,4.726,122,0.5531,209
2,14,2012,0.01004,130,86.0,130,131.34,130,4.428,130,0.5668,202
2,15,2012,0.010199,117,81.0,117,137.99,117,3.711,117,0.5868,190
2,16,2012,0.010545,145,81.0,145,134.51,145,3.646,145,0.5913,240
2,17,2012,0.007813,171,81.0,171,124.77,171,4.181,171,0.5864,247
2,18,2012,0.009167,149,80.0,149,130.35,149,4.309,149,0.5898,233
2,19,2012,0.00903,152,80.0,152,124.17,152,4.301,152,0.5806,239
2,20,2012,0.009743,163,80.0,163,123.94,163,4.092,163,0.5634,255
2,21,2012,0.008561,152,82.5,152,126.69,152,4.566,152,0.5988,249
2,22,2012,0.008523,160,77.0,161,117.59,161,3.662,161,0.5623,249
2,23,2012,0.011102,121,82.0,121,131.55,121,2.081,121,0.5728,202
2,24,2012,0.011293,114,87.0,115,128.06,115,3.565,115,0.5564,215
2,25,2012,0.008906,129,80.0,130,136.64,130,3.97,130,0.5871,206
2,26,2012,0.008988,153,84.0,153,138.52,153,4.079,153,0.5587,252
2,27,2012,0.011055,140,80.0,140,111.68,140,3.978,140,0.563,239
2,28,2012,0.010402,145,83.0,145,138.17,145,2.309,145,0.5369,236
2,29,2012,0.011881,103,86.0,103,147.15,103,2.774,103,0.5632,161
3,1,2012,0.011747,136,83.0,136,128.04,136,2.698,136,0.5631,228
3,2,2012,0.010171,138,82.0,138,115.78,138,3.737,138,0.5758,225
3,3,2012,0.011307,145,83.0,145,133.58,145,2.508,145,0.5752,250
