year,month,hour,average_rtt,average_rtt_n,download_throughput,download_throughput_n,minimum_rtt,minimum_rtt_n,packet_retransmit_rate,packet_retransmit_rate_n,upload_throughput,upload_throughput_n
2012,1,0,121.2,113,4.474,113,80.0,113,0.008410,113,0.560,209
2012,1,1,112.4,95,4.311,95,75.0,95,0.007258,95,0.577,166
2012,1,2,127.5,76,5.280,76,81.0,76,0.007959,76,0.577,148
2012,1,3,102.3,65,3.781,65,72.0,65,0.007302,65,0.572,119
2012,1,4,134.4,55,2.593,55,82.0,55,0.009901,55,0.557,108
2012,1,5,115.2,57,3.063,57,73.0,57,0.010055,57,0.589,103
2012,1,6,123.7,50,4.506,50,81.0,50,0.011631,50,0.570,93
2012,1,7,131.5,65,3.044,65,83.0,65,0.011192,65,0.554,117
2012,1,8,125.8,52,2.879,52,81.0,52,0.009166,52,0.563,107
2012,1,9,124.3,94,2.800,94,84.0,94,0.009576,94,0.544,176
2012,1,10,120.4,98,2.964,98,75.0,98,0.008687,98,0.575,166
2012,1,11,121.1,143,2.723,143,77.0,143,0.011203,143,0.563,230
2012,1,12,133.1,152,2.258,152,81.0,152,0.012897,152,0.563,244
2012,1,13,117.1,113,2.862,113,75.0,113,0.009556,113,0.567,211
2012,1,14,122.2,157,4.327,157,76.0,157,0.006548,157,0.576,263
2012,1,15,108.1,161,3.561,161,75.0,161,0.008810,161,0.574,264
2012,1,16,109.7,179,3.756,180,78.0,179,0.010870,179,0.563,305
2012,1,17,124.3,204,2.635,204,82.0,204,0.009483,204,0.563,328
2012,1,18,134.3,185,3.074,185,81.0,185,0.009635,185,0.563,307
2012,1,19,128.8,178,4.192,178,81.0,178,0.008452,178,0.584,298
2012,1,20,130.5,212,3.211,212,87.0,212,0.008863,212,0.573,322
2012,1,21,128.9,192,3.365,192,82.0,192,0.010140,192,0.563,327
2012,1,22,150.9,176,2.277,176,86.0,176,0.010180,176,0.563,295
2012,1,23,143.8,157,2.566,157,82.0,157,0.010281,157,0.561,265
2012,2,0,143.8,184,2.985,184,81.0,184,0.009200,184,0.556,285
2012,2,1,124.9,126,3.907,126,79.5,126,0.008862,126,0.563,205
2012,2,2,118.5,88,5.038,88,71.5,88,0.008881,88,0.573,170
2012,2,3,121.2,86,3.707,86,84.0,86,0.009452,86,0.592,124
2012,2,4,140.8,43,3.612,43,87.0,43,0.011482,43,0.582,92
2012,2,5,120.1,79,4.416,79,83.0,79,0.011250,79,0.585,140
2012,2,6,123.5,63,2.427,63,84.0,63,0.012704,63,0.563,103
2012,2,7,126.8,84,3.582,84,85.0,84,0.011244,84,0.600,129
2012,2,8,127.6,102,3.735,102,82.0,102,0.008466,102,0.571,163
2012,2,9,129.5,124,3.216,124,81.0,124,0.010621,124,0.563,227
2012,2,10,121.8,128,4.129,128,80.0,128,0.009636,128,0.586,199
2012,2,11,113.0,159,4.831,159,74.0,159,0.009874,159,0.585,253
2012,2,12,127.2,156,3.658,156,80.0,156,0.009888,156,0.563,243
2012,2,13,124.0,179,4.185,179,75.0,179,0.009159,179,0.588,296
2012,2,14,132.4,164,3.057,164,82.0,164,0.008647,164,0.563,274
2012,2,15,137.8,184,3.671,184,82.0,184,0.009366,184,0.579,291
2012,2,16,123.0,195,4.098,195,81.0,195,0.009987,195,0.556,350
2012,2,17,121.6,226,2.816,226,81.0,226,0.010518,225,0.576,383
2012,2,18,125.8,228,4.600,228,81.0,228,0.009453,228,0.574,379
2012,2,19,129.6,246,3.771,246,83.0,246,0.008882,246,0.565,387
2012,2,20,134.2,252,3.640,252,84.0,252,0.009339,252,0.583,414
2012,2,21,144.8,258,2.890,258,87.0,258,0.009635,256,0.552,429
2012,2,22,124.3,242,3.423,242,80.0,242,0.008645,242,0.567,407
2012,2,23,132.9,215,3.510,215,81.0,215,0.009872,215,0.574,344
2012,3,0,113.8,194,3.803,195,81.0,194,0.009271,195,0.580,316
2012,3,1,126.2,144,2.217,144,83.0,144,0.009348,144,0.545,213
2012,3,2,128.6,98,2.954,98,82.0,98,0.008905,98,0.560,165
2012,3,3,131.0,68,2.448,68,81.0,68,0.009554,68,0.587,123
2012,3,4,135.1,73,2.090,73,86.0,73,0.013096,73,0.563,127
2012,3,5,127.6,53,4.840,53,77.0,53,0.014014,53,0.612,98
2012,3,6,133.8,66,4.020,66,84.5,66,0.011781,66,0.581,129
2012,3,7,124.0,93,3.401,93,80.0,93,0.011649,93,0.559,147
2012,3,8,131.6,71,2.295,71,83.0,71,0.007956,71,0.585,127
2012,3,9,126.5,129,3.540,129,81.0,129,0.008694,129,0.574,211
2012,3,10,128.5,136,3.412,136,82.0,136,0.009899,136,0.588,227
2012,3,11,119.9,152,4.733,152,79.0,152,0.008920,152,0.582,242
2012,3,12,131.0,162,2.082,162,86.5,162,0.013258,162,0.568,269
2012,3,13,125.1,162,2.460,162,82.0,162,0.011307,161,0.574,255
2012,3,14,122.4,169,3.760,169,82.0,169,0.008913,169,0.563,282
2012,3,15,131.0,193,2.948,193,81.0,193,0.009628,193,0.569,318
2012,3,16,121.2,202,3.054,202,82.0,202,0.009499,202,0.589,341
2012,3,17,132.7,259,2.874,259,84.0,259,0.010476,259,0.578,417
2012,3,18,139.7,248,2.374,248,85.0,248,0.010723,248,0.581,405
2012,3,19,122.0,280,3.927,280,80.0,280,0.008475,280,0.565,448
2012,3,20,127.5,269,2.441,269,88.0,269,0.010371,268,0.563,432
2012,3,21,145.1,247,2.742,247,88.0,247,0.010329,247,0.546,416
2012,3,22,134.1,236,3.031,236,84.0,236,0.009751,236,0.568,394
2012,3,23,130.3,199,2.634,199,83.0,199,0.009937,199,0.580,352
2012,4,0,133.6,154,2.727,154,80.5,154,0.010599,154,0.551,258
2012,4,1,121.7,113,4.451,113,80.0,113,0.009318,113,0.585,208
2012,4,2,116.9,112,3.828,112,80.5,112,0.009106,112,0.570,181
2012,4,3,149.4,62,3.324,62,86.5,62,0.014662,62,0.563,139
2012,4,4,137.9,63,2.073,63,86.0,63,0.006164,63,0.561,127
2012,4,5,139.8,68,2.624,68,88.0,68,0.009806,68,0.574,112
2012,4,6,141.6,71,4.218,71,78.0,71,0.009635,71,0.583,119
2012,4,7,119.6,74,4.975,74,86.5,74,0.009721,74,0.603,117
2012,4,8,121.2,106,3.751,106,80.0,106,0.007365,106,0.569,177
2012,4,9,131.1,129,2.193,129,85.0,129,0.013258,129,0.581,197
2012,4,10,120.7,113,4.416,113,80.0,113,0.008224,113,0.596,191
2012,4,11,127.8,137,4.100,137,81.0,137,0.010940,137,0.584,230
2012,4,12,128.1,153,3.219,153,77.0,153,0.011025,153,0.574,247
2012,4,13,127.5,157,2.868,157,82.0,157,0.008968,157,0.582,271
2012,4,14,118.4,162,3.336,162,80.0,162,0.010219,162,0.565,249
2012,4,15,128.4,193,3.173,193,82.0,193,0.009551,193,0.563,310
2012,4,16,121.7,223,2.736,223,82.0,223,0.010052,223,0.562,356
2012,4,17,120.4,198,3.534,198,82.0,198,0.009395,198,0.563,339
2012,4,18,131.1,251,3.267,251,82.0,251,0.009220,251,0.585,378
2012,4,19,142.5,228,2.914,229,85.0,228,0.010224,229,0.561,404
2012,4,20,121.5,291,3.586,291,81.0,291,0.008735,291,0.572,454
2012,4,21,121.8,264,3.783,264,81.0,264,0.009207,264,0.569,421
2012,4,22,131.7,253,2.924,253,82.0,253,0.009655,253,0.566,376
2012,4,23,124.2,193,3.114,193,82.0,193,0.009558,193,0.565,327
2012,5,0,127.7,117,3.575,117,81.0,117,0.009371,117,0.568,219
2012,5,1,124.0,72,3.185,72,81.0,72,0.008214,72,0.599,140
2012,5,2,125.2,57,4.483,57,81.0,57,0.010565,57,0.586,94
2012,5,3,121.4,51,4.649,51,71.0,51,0.007378,51,0.583,89
2012,5,4,108.3,42,3.533,42,80.5,42,0.008259,42,0.561,76
2012,5,5,128.9,66,3.428,66,80.5,66,0.011126,66,0.563,93
2012,5,6,130.7,72,5.001,72,80.5,72,0.010941,72,0.586,103
2012,5,7,139.9,78,2.325,78,86.0,78,0.011581,78,0.568,125
2012,5,8,119.2,51,4.903,51,81.0,51,0.009582,51,0.586,109
2012,5,9,123.0,93,3.797,93,81.0,93,0.009487,93,0.583,143
2012,5,10,121.2,129,3.635,129,80.0,129,0.008896,129,0.591,208
2012,5,11,112.2,99,4.026,99,79.0,99,0.009309,99,0.574,178
2012,5,12,134.3,134,2.532,134,81.5,134,0.009123,134,0.587,226
2012,5,13,121.8,106,3.655,106,80.0,106,0.007896,106,0.573,191
2012,5,14,132.7,113,2.629,113,83.0,113,0.010350,113,0.604,206
2012,5,15,118.5,147,4.866,147,74.0,147,0.007966,146,0.584,255
2012,5,16,119.0,192,4.046,192,77.0,192,0.010130,191,0.589,314
2012,5,17,118.3,161,3.986,161,77.0,161,0.008602,161,0.581,277
2012,5,18,115.7,186,4.548,186,78.0,186,0.009161,186,0.586,318
2012,5,19,112.1,181,4.414,181,76.0,181,0.008496,181,0.585,342
