month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.0008597,282,25,283,45.79,283,16.72,283,2.869,467
1,2,2012,0.001229,322,26,322,52.78,322,12.59,322,2.854,517
1,3,2012,0.001198,234,25,234,44.51,234,14.82,234,2.936,402
1,4,2012,0.001119,247,25,247,45.51,247,14.89,247,2.894,427
1,5,2012,0.001604,232,24.5,232,45.52,232,16.3,232,2.895,368
1,6,2012,0.001293,262,26,262,43.26,262,15.71,262,2.96,443
1,7,2012,0.001101,267,18,267,42.34,267,16.28,267,2.892,476
1,8,2012,0.001133,290,27,290,45,290,14.17,290,2.892,491
1,9,2012,0.001267,265,26,265,44.82,265,15.28,265,2.937,441
1,10,2012,0.001199,238,25,238,45.54,238,14.83,238,2.889,364
1,11,2012,0.001111,223,24,223,45.38,223,13.99,223,2.931,389
1,12,2012,0.001208,255,25,255,44.81,255,15.83,255,2.894,436
1,13,2012,0.001417,262,24,262,45.06,262,13.61,262,2.852,433
1,14,2012,0.001256,297,26,297,41.92,297,15.45,297,2.932,473
1,15,2012,0.001039,357,18,357,42.1,357,14.41,357,2.89,581
1,16,2012,0.002364,287,27,288,45.13,288,13.45,288,2.852,516
1,17,2012,0.001576,273,27,273,48.03,273,13.3,273,2.89,451
1,18,2012,0.001057,257,24,257,40.31,257,15.4,257,2.892,437
1,19,2012,0.0009674,230,26,230,42.87,230,16.09,230,2.985,383
1,20,2012,0.001322,216,26,216,48.11,216,13.66,216,2.894,375
1,21,2012,0.001182,290,25,290,43.52,290,15.75,290,2.891,490
1,22,2012,0.001376,327,25,327,45.68,327,15.3,327,2.896,550
1,23,2012,0.0009008,271,25,271,43.33,271,18.29,271,2.963,451
1,24,2012,0.0008123,229,13,229,41.55,229,16.93,229,2.935,407
1,25,2012,0.001022,236,24,236,41.99,236,17.34,236,2.955,387
1,26,2012,0.001249,234,17.5,234,42.58,234,16.03,234,2.878,388
1,27,2012,0.0008991,218,12,218,39.41,218,16.03,218,2.893,370
1,28,2012,0.0007136,247,12,247,35.59,247,18.38,247,2.895,427
1,29,2012,0.0006275,314,10,314,33.93,314,18.86,314,2.988,525
1,30,2012,0.0009243,252,12,252,39.58,252,17.27,252,2.933,444
1,31,2012,0.0006568,238,12,238,32.64,238,19.26,238,2.933,391
2,1,2012,0.0007431,308,12,308,36.15,308,17.47,308,2.854,501
2,2,2012,0.0008861,223,12,227,39.58,227,16.95,227,2.893,396
2,3,2012,0.000655,242,11,242,34.93,242,18.05,242,2.853,393
2,4,2012,0.0006157,288,12,288,37.96,288,19.18,288,2.926,536
2,5,2012,0.0009491,289,12,289,38.09,289,16.31,289,2.854,492
2,6,2012,0.0007082,233,11,233,34.89,233,18.63,233,2.933,394
2,7,2012,0.001068,245,12,245,37.57,245,16.57,245,2.894,389
2,8,2012,0.0006859,284,12,285,34.18,285,18.9,285,2.892,513
2,9,2012,0.0007454,277,12,277,36.84,277,16.94,277,2.891,511
2,10,2012,0.0006884,266,11,266,32.23,266,17.98,266,2.894,469
2,11,2012,0.001072,328,13,328,40.51,328,16.39,328,2.932,551
2,12,2012,0.001026,317,12,317,37.47,317,15.96,317,2.912,556
2,13,2012,0.0008986,260,12,260,36.75,260,16.73,260,2.893,425
2,14,2012,0.0007747,211,11,211,34.73,211,16.15,211,2.853,386
2,15,2012,0.0006051,235,11,236,32.02,236,18.49,236,2.929,394
2,16,2012,0.0007269,258,12,258,34.91,258,16.55,258,2.95,415
2,17,2012,0.0007245,237,12,238,35.39,238,19.14,238,2.854,429
2,18,2012,0.0005154,265,11,266,33.09,266,19.75,266,2.852,463
2,19,2012,0.0007286,298,11,298,33.77,298,19.36,298,2.974,521
2,20,2012,0.0007066,253,12,253,34.04,253,17.82,253,2.895,483
2,21,2012,0.0007582,314,12,314,34.47,314,17.07,314,2.854,519
2,22,2012,0.0005985,273,12,273,31.75,273,19.09,273,2.904,468
2,23,2012,0.0006052,227,12,227,30.85,227,20.17,227,2.933,396
2,24,2012,0.0006075,257,12,257,31.68,257,18.09,257,2.854,429
2,25,2012,0.0007331,300,11,300,34.7,300,17.58,300,2.931,509
2,26,2012,0.0006772,350,12,350,32.31,350,18.91,350,2.894,587
2,27,2012,0.0007025,269,12,269,32.1,269,19.23,269,2.89,437
2,28,2012,0.0009482,200,12,200,36.64,200,15.29,200,2.891,376
2,29,2012,0.000679,290,12,290,33.81,290,16.91,290,2.892,481
3,1,2012,0.0006984,279,11,279,31.19,279,18.5,279,2.814,445
3,2,2012,0.0008185,296,12,296,31.12,296,18.77,296,2.933,469
3,3,2012,0.0008112,315,11,315,32.37,315,19.14,315,2.93,529
3,4,2012,0.0007695,347,11,347,33.12,347,17.65,347,2.892,571
3,5,2012,0.0006933,243,11,243,34.1,243,18.42,243,2.894,444
3,6,2012,0.0007993,253,12,253,31.35,253,18.76,253,2.853,442
3,7,2012,0.0007776,263,12,263,33.52,263,17.22,263,2.892,448
3,8,2012,0.0006,254,12,254,31.62,254,19.38,254,2.855,384
3,9,2012,0.0007567,223,11,223,30.61,223,18.98,223,2.897,387
3,10,2012,0.0009346,288,11,288,32.33,288,18.36,288,2.893,470
3,11,2012,0.0007548,327,12,327,32.19,327,16.7,327,2.851,507
3,12,2012,0.0005997,285,11,285,30.37,285,19.12,285,2.966,485
3,13,2012,0.0007523,281,12,281,34.65,281,19.7,281,2.893,473
3,14,2012,0.0006708,255,11,255,30.81,255,20.1,255,2.885,423
3,15,2012,0.0006127,217,11,217,31.78,217,19.89,217,2.933,344
3,16,2012,0.000757,197,12,197,34.95,197,17.31,197,2.895,347
3,17,2012,0.0009124,338,12,338,34.95,338,17.91,338,2.897,552
3,18,2012,0.0007311,331,11,331,33.26,331,17.66,331,2.894,546
3,19,2012,0.0007672,262,12,261,33.97,261,19.03,262,2.895,411
3,20,2012,0.0006499,286,11,286,30.18,286,19.84,286,2.891,492
3,21,2012,0.0008775,282,11,282,31.04,282,19.53,282,2.888,446
3,22,2012,0.0007127,260,12,260,33.31,260,17.88,260,2.899,434
3,23,2012,0.0008354,239,12,239,33.6,239,15.6,239,2.925,437
3,24,2012,0.0008498,263,11,263,32.17,263,18.68,263,2.892,444
3,25,2012,0.0007773,256,11,256,33.86,256,17.13,256,2.906,469
3,26,2012,0.0007194,245,12,245,35.47,245,15.65,245,2.881,430
3,27,2012,0.0009787,232,12,232,34.56,232,16.42,232,2.923,405
3,28,2012,0.0007533,278,12,278,35.37,278,18.1,278,2.933,448
3,29,2012,0.0009118,251,12,251,34,251,17.33,251,2.968,416
3,30,2012,0.0009366,234,12,233,30.35,233,17,234,2.877,413
3,31,2012,0.0008763,332,11,333,32.49,333,18.51,333,2.89,565
4,1,2012,0.0006852,379,11,379,28.38,379,19.36,379,2.939,612
4,2,2012,0.0008469,291,11,291,30.07,291,19.88,291,2.892,456
4,3,2012,0.0007446,266,11,266,33.19,266,17.45,266,2.915,445
4,4,2012,0.0007722,296,12,296,35.16,296,17.94,296,2.855,421
4,5,2012,0.0008169,246,12,246,32.54,246,18.85,246,2.966,420
4,6,2012,0.0008167,233,11,233,31.04,233,17.47,233,2.891,388
4,7,2012,0.0006173,240,12,240,32.35,240,19.08,240,2.851,392
4,8,2012,0.0007462,293,12,293,35.1,293,18.05,293,2.847,483
4,9,2012,0.001053,222,12,222,34.15,222,16.01,222,2.93,381
4,10,2012,0.000754,273,12,273,34.59,273,18.51,273,2.93,425
4,11,2012,0.0006429,258,11,258,31.33,258,19.4,258,2.97,467
4,12,2012,0.0005713,233,11,233,31.91,233,19.33,233,2.843,377
4,13,2012,0.0008498,254,12,254,34.07,254,19.15,254,2.891,414
4,14,2012,0.0008042,283,12,283,37.4,283,16.99,283,2.924,462
4,15,2012,0.0006973,285,12,285,35.12,285,15.96,285,2.846,486
4,16,2012,0.0007696,262,11,262,34.49,262,17.26,262,2.888,441
4,17,2012,0.000793,269,12,269,34.01,269,18.34,269,2.926,419
4,18,2012,0.0007001,227,10,227,31.21,227,18.96,227,2.879,381
4,19,2012,0.0006994,280,12,280,30.95,280,19.38,280,2.878,437
4,20,2012,0.000592,220,11,222,30.99,222,18.74,222,2.969,352
4,21,2012,0.0007709,249,11,249,31.46,249,18.17,249,2.941,391
4,22,2012,0.0007377,251,11,251,34.38,251,18.01,251,2.921,463
4,23,2012,0.0007958,207,12,207,33.69,207,19.06,207,2.959,353
4,24,2012,0.000656,222,11,222,33,222,16.43,222,2.967,422
4,25,2012,0.0006319,220,11,220,31.1,220,17.89,220,2.941,395
4,26,2012,0.0006907,222,11,222,32.14,222,17.55,222,2.891,381
4,27,2012,0.0008086,230,11,230,32.86,230,17.94,230,2.929,387
4,28,2012,0.0008103,273,11,273,32.17,273,18.02,273,2.887,449
4,29,2012,0.0006236,277,12,277,35.61,277,17.37,277,2.925,469
4,30,2012,0.0007215,235,11,235,35.08,235,17.17,235,2.895,422
5,1,2012,0.0006336,274,11,273,30.76,273,20.04,274,2.851,471
5,2,2012,0.0007725,242,11,242,31.13,242,20.92,242,2.928,420
5,3,2012,0.0007707,260,11,260,31.72,260,15.41,260,2.881,489
5,4,2012,0.0008438,297,11,297,32.4,297,18.09,297,2.85,471
5,5,2012,0.0007182,285,12,285,36.24,285,18.21,285,2.882,509
5,6,2012,0.0006581,360,12,361,35.57,361,16.23,361,2.926,578
5,7,2012,0.0007497,248,11,248,33.32,248,18.57,248,2.888,396
5,8,2012,0.0007099,244,11,244,29.34,244,19.79,244,2.96,414
5,9,2012,0.0008295,275,11,275,31.07,275,18.02,275,2.887,482
5,10,2012,0.0007254,246,11,246,31.86,246,18.66,246,2.921,404
5,11,2012,0.0007258,264,11,264,33.5,264,20.39,264,2.929,452
5,12,2012,0.0008262,260,12,260,34.13,260,16.5,260,2.958,469
5,13,2012,0.0006817,201,11,201,33.41,201,19.35,201,2.91,354
5,14,2012,0.0005949,195,12,195,32.93,195,19.62,195,2.889,330
5,15,2012,0.0007116,133,11,133,30.04,133,16.32,133,2.958,246
5,16,2012,0.0007922,145,11,145,34.38,145,17.37,145,3.031,257
5,17,2012,0.0008606,172,12,172,36.15,172,16.87,172,2.843,307
5,18,2012,0.0007022,180,10,180,31.22,180,19.35,180,2.888,288
5,19,2012,0.0004988,187,11,187,31.04,187,21.19,187,2.928,327
5,20,2012,0.0008499,216,11,216,34.66,216,17.23,216,2.923,356
5,21,2012,0.0007889,201,12,201,34.05,201,18.15,201,2.914,343
5,22,2012,0.0009092,180,12,180,32.9,180,16.18,180,2.889,315
5,23,2012,0.0008422,150,12,150,33.23,150,18.61,150,2.961,325
5,24,2012,0.0007695,179,11,179,32.25,179,17.24,179,2.929,301
5,25,2012,0.0007801,176,11,176,30.45,176,20.51,176,2.966,296
5,26,2012,0.0007237,186,12,186,34.72,186,17.75,186,2.87,300
5,27,2012,0.0006868,204,11,204,32.44,204,20.12,204,2.968,367
5,28,2012,0.000676,221,12,221,33.34,221,16.38,221,3.01,375
5,29,2012,0.0007131,171,11,171,29.93,171,19.2,171,2.965,310
5,30,2012,0.0009247,177,12,177,32.23,177,14.53,177,2.929,295
5,31,2012,0.001063,160,12,160,40.2,160,14.76,160,2.887,276
6,1,2012,0.0008078,127,12,128,35.73,128,19.81,128,2.932,241
6,2,2012,0.0006516,193,12,193,30.94,193,21.61,193,2.852,349
6,3,2012,0.0007596,185,12,185,32.59,185,19.07,185,2.846,332
6,4,2012,0.0006381,148,12,148,31.28,148,18.34,148,2.887,251
6,5,2012,0.0008034,156,11.5,156,34.9,156,16.04,156,2.851,253
6,6,2012,0.0005793,158,12,158,31.49,158,16.45,158,2.886,255
6,7,2012,0.0005672,44,12,44,31.58,44,22.48,44,2.967,85
6,22,2012,0.0009309,173,12,173,35.66,173,15.12,173,2.924,274
6,23,2012,0.0008062,310,12,310,36.48,310,17.39,310,2.899,480
6,24,2012,0.0007383,273,12,273,31.17,273,17.65,273,2.86,434
6,25,2012,0.0006498,245,12,245,33.12,245,19.58,245,2.89,407
6,26,2012,0.0005178,283,12,283,32.06,283,20.83,283,2.971,482
