month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.001252,377,17,377,43.41,377,14.22,377,2.895,614
1,1,2012,0.001178,267,16,267,43.77,267,14.08,267,2.892,461
1,2,2012,0.001045,201,24,202,40.72,202,16.88,202,2.853,348
1,3,2012,0.0008743,156,19,156,38.22,156,18.63,156,2.853,295
1,4,2012,0.0007963,107,16,107,39.85,107,16.73,107,2.852,207
1,5,2012,0.001235,118,16,118,41.18,118,18.91,118,2.892,206
1,6,2012,0.000925,108,25.5,108,41.49,108,16.49,108,2.893,202
1,7,2012,0.0008291,128,25,128,41.77,128,19.48,128,2.936,233
1,8,2012,0.0007955,188,25.5,188,44.31,188,19.67,188,2.915,294
1,9,2012,0.00121,248,24,248,40.71,248,14.97,248,2.923,425
1,10,2012,0.001365,289,25,289,44.3,289,17.07,289,2.972,444
1,11,2012,0.0009058,324,16,324,39.98,324,18.58,324,2.968,540
1,12,2012,0.001132,333,23,333,41.96,333,15.62,333,2.933,558
1,13,2012,0.001218,346,20,346,43.99,346,16.07,346,2.893,577
1,14,2012,0.001002,364,17.5,364,40.59,364,15.14,364,2.975,608
1,15,2012,0.001012,409,16,409,41.69,409,16.13,409,2.906,673
1,16,2012,0.0008269,447,18.5,448,41.5,448,16.05,448,2.897,727
1,17,2012,0.001145,477,25,477,44.3,477,14.18,477,2.896,819
1,18,2012,0.001084,523,24,523,44.41,523,15.9,523,2.915,907
1,19,2012,0.001306,553,24,553,43.77,553,15.06,553,2.933,918
1,20,2012,0.001157,601,25,601,46.69,601,15.14,601,2.859,1010
1,21,2012,0.001261,606,24,606,46.18,606,13.38,606,2.893,1016
1,22,2012,0.00124,530,23,530,46.09,530,15.35,530,2.893,851
1,23,2012,0.001269,452,17,452,43.31,452,15.07,452,2.893,767
2,0,2012,0.0006867,333,12,333,36.4,333,18.33,333,2.893,609
2,1,2012,0.0007221,247,12,247,33.37,247,16.96,247,2.854,436
2,2,2012,0.000596,208,12,208,33.32,208,19.76,208,2.97,376
2,3,2012,0.0004818,166,11,166,34.39,166,17.96,166,2.853,278
2,4,2012,0.0005731,126,12,126,31.63,126,17.5,126,2.812,242
2,5,2012,0.0007094,106,12,106,29.99,106,19.84,106,2.814,208
2,6,2012,0.0006225,139,11,139,32,139,20.76,139,2.893,243
2,7,2012,0.0005653,131,12,132,29.51,132,20.57,132,2.973,237
2,8,2012,0.0007799,178,12,179,33.63,179,19.57,179,2.935,310
2,9,2012,0.0006998,235,12,236,32.01,236,18.84,236,2.956,374
2,10,2012,0.0007125,230,12,230,32.92,230,18.78,230,2.935,416
2,11,2012,0.0006193,276,12,276,33.86,276,17.95,276,2.898,517
2,12,2012,0.0007838,339,12,340,34.79,340,17.48,340,2.892,569
2,13,2012,0.0006609,336,11,336,32.29,336,19.62,336,2.886,591
2,14,2012,0.0006934,407,12,407,32.82,407,17.73,407,2.896,673
2,15,2012,0.0007247,384,12,384,32.84,384,17.64,384,2.896,630
2,16,2012,0.0008358,421,12,423,34.18,423,18.07,423,2.865,704
2,17,2012,0.0008044,464,12,466,36.93,466,17.59,466,2.886,814
2,18,2012,0.0008773,495,12,495,34.43,495,17.07,495,2.893,812
2,19,2012,0.0009073,517,12,517,37.01,517,16.59,517,2.892,870
2,20,2012,0.000773,581,12,581,39.07,581,16.22,581,2.899,978
2,21,2012,0.0006541,539,12,539,37.24,539,17.23,539,2.893,942
2,22,2012,0.0007499,521,12,521,36.73,521,17.05,521,2.857,867
2,23,2012,0.0008382,418,12,418,35.21,418,17.48,418,2.897,723
3,0,2012,0.0009008,364,11,364,34,364,17.87,364,2.853,660
3,1,2012,0.001013,315,12,315,34.17,315,17.85,315,2.854,486
3,2,2012,0.0007035,209,11,209,33.14,209,18.98,209,2.892,352
3,3,2012,0.0005767,200,11,200,30.85,200,21.95,200,2.894,295
3,4,2012,0.0005877,153,12,153,34.28,153,20.64,153,2.889,253
3,5,2012,0.0008865,97,11,97,33.45,97,17.75,97,2.852,183
3,6,2012,0.0009092,108,12,108,34.66,108,16.08,108,2.887,208
3,7,2012,0.0007753,141,12,141,30.88,141,20.11,141,2.894,240
3,8,2012,0.000506,176,11,176,30.47,176,19.72,176,2.892,317
3,9,2012,0.0006713,253,11,253,30.38,253,19.79,253,2.93,402
3,10,2012,0.0007593,293,10,292,30.62,292,19.83,293,2.933,478
3,11,2012,0.0006331,288,11,287,31.39,287,21.98,288,2.951,541
3,12,2012,0.0006503,355,11,355,30.27,355,20.64,355,2.928,575
3,13,2012,0.0007311,349,12,349,33.29,349,17.75,349,2.893,551
3,14,2012,0.0006185,397,12,397,30.66,397,20.31,397,2.928,689
3,15,2012,0.0007238,430,11,430,30.91,430,18.73,430,2.887,712
3,16,2012,0.0007909,427,12,427,32.61,427,17.56,427,2.934,731
3,17,2012,0.0007134,538,11,538,32.15,538,18.57,538,2.93,861
3,18,2012,0.000798,590,12,591,31.75,591,16.79,591,2.872,945
3,19,2012,0.0008343,552,11,552,33.25,552,17.34,552,2.932,909
3,20,2012,0.0007695,559,12,559,34.68,559,17.86,559,2.892,943
3,21,2012,0.0008439,567,12,567,34.62,567,17.27,567,2.886,978
3,22,2012,0.001,546,12,546,34.99,546,16,546,2.886,918
3,23,2012,0.000832,505,11,505,31.97,505,17.62,505,2.93,849
4,0,2012,0.0007588,323,12,325,31.77,325,15.98,325,2.891,570
4,1,2012,0.0008933,281,12,281,34.35,281,16.89,281,2.888,444
4,2,2012,0.0006653,195,11,195,29.84,195,19.34,195,2.931,299
4,3,2012,0.000996,161,12,161,29.06,161,19.26,161,2.929,238
4,4,2012,0.0007016,122,12,122,30.02,122,19.03,122,2.891,209
4,5,2012,0.000476,98,12,98,32.25,98,21.07,98,2.896,178
4,6,2012,0.0005132,96,11,96,27.05,96,21.72,96,2.922,170
4,7,2012,0.0005872,140,11,140,29.46,140,20.26,140,2.916,240
4,8,2012,0.0006996,210,10,210,29.72,210,19.41,210,2.913,332
4,9,2012,0.000681,212,11.5,212,32.25,212,20.55,212,2.843,339
4,10,2012,0.0009566,258,12,258,35.28,258,19.48,258,2.888,425
4,11,2012,0.0007645,237,11,237,30.84,237,19.68,237,2.952,427
4,12,2012,0.0008058,309,11,309,30.93,309,17.76,309,2.921,494
4,13,2012,0.0007667,345,12,345,30.75,345,18.5,345,2.928,557
4,14,2012,0.000676,341,12,341,33.17,341,19,341,2.922,566
4,15,2012,0.0007054,331,11,331,31.06,331,17.59,331,2.946,589
4,16,2012,0.0007369,415,11,415,31.32,415,17.19,415,2.886,684
4,17,2012,0.0007911,410,11,410,32.09,410,17.92,410,2.933,693
4,18,2012,0.0006644,482,11,482,32.67,482,19.26,482,2.893,810
4,19,2012,0.00066,560,11,560,34.29,560,17.65,560,2.922,922
4,20,2012,0.0007705,586,11,586,35.35,586,16.84,586,2.906,953
4,21,2012,0.0006802,604,11,604,33.55,604,17.46,604,2.888,1012
4,22,2012,0.0007682,521,12,521,36.98,521,15.77,521,2.929,869
4,23,2012,0.0007647,459,11,459,34.14,459,17.73,459,2.889,771
5,0,2012,0.0008559,295,11,295,32.54,295,17.41,295,2.869,555
5,1,2012,0.0008127,260,11,259,32.38,259,19.25,260,2.926,436
5,2,2012,0.0007565,180,11,180,28.89,180,17.67,180,2.904,296
5,3,2012,0.001135,127,11,127,31.98,127,13.24,127,2.887,220
5,4,2012,0.0008168,99,12,99,32.18,99,18.66,99,2.848,188
5,5,2012,0.0007005,84,11,84,28.35,84,17.99,84,2.841,144
5,6,2012,0.000512,91,11,91,27.04,91,22.34,91,2.93,184
5,7,2012,0.0005065,112,11,112,28.56,112,21.55,112,2.954,223
5,8,2012,0.0006684,147,12,147,31.54,147,19.79,147,2.958,271
5,9,2012,0.0007031,209,12,209,35.74,209,19.47,209,2.888,351
5,10,2012,0.0007648,237,11,237,29.09,237,21.9,237,2.965,415
5,11,2012,0.0006443,258,11,258,30.57,258,21.45,258,2.965,425
