month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,0,2012,0.003914,20,52,20,63.58,20,13.81,20,3.351,26
1,1,2012,0.00109,9,51,9,58.2,9,17.9,9,2.754,18
1,2,2012,0.009975,8,52,8,73.4,8,6.031,8,2.893,23
1,3,2012,0.005398,2,41,2,51.49,2,3.9,2,1.409,9
1,4,2012,0.002725,5,49,5,67.75,5,11.39,5,2.311,10
1,5,2012,0.005209,3,38,3,139.8,3,5.948,3,1.57,17
1,6,2012,0.0002641,5,53,5,64.97,5,17.51,5,3.073,10
1,7,2012,0.005488,9,56,9,80.82,9,12.26,9,1.968,21
1,8,2012,0.003453,12,57.5,12,67.84,12,12.43,12,2.132,21
1,9,2012,0.00325,8,38.5,8,48.32,8,19.52,8,3.21,10
1,10,2012,0.002076,13,57,13,77.36,13,12.04,13,2.933,19
1,11,2012,0.006272,11,52,11,67.78,11,9.879,11,3.013,25
1,12,2012,0.002207,10,53,10,75.23,10,6.261,10,2.292,19
1,13,2012,0.001334,6,47.5,6,57.76,6,19.57,6,2.772,13
1,14,2012,0.002513,12,50,12,69.97,12,7.768,12,2.731,27
1,15,2012,0.003091,15,48,15,65.68,15,6.354,15,2.491,23
1,16,2012,0.003008,18,57.5,18,79.37,18,8.455,18,2.894,35
1,17,2012,0.004555,24,53.5,24,106.2,24,5.479,24,2.775,39
1,18,2012,0.003252,22,54,22,81.82,22,9.373,22,3.214,32
1,19,2012,0.005772,22,53,23,78.06,23,5.064,23,2.312,32
1,20,2012,0.003104,17,42,17,69.78,17,9.843,17,2.292,36
1,21,2012,0.002699,13,40,13,58.86,13,7.076,13,2.408,29
1,22,2012,0.002203,14,49.5,14,63.62,14,12.42,14,2.991,26
1,23,2012,0.001458,12,46,12,63.68,12,8.258,12,2.173,22
2,0,2012,0.004217,7,38,7,69.4,7,8.451,7,1.929,13
2,1,2012,0.005409,8,51,8,80.96,8,7.139,8,2.493,10
2,2,2012,0.02208,4,65.5,4,137.7,4,10.64,4,1.759,6
2,3,2012,0.001113,4,48,4,63.51,4,13.83,4,2.715,6
2,4,2012,0.002605,4,51.5,4,65.41,4,16.66,4,1.982,6
2,5,2012,0.0003369,2,52.5,2,68.56,2,7.882,2,0.9217,10
2,6,2012,0.001585,6,51.5,6,60.89,6,16.46,6,0.696,12
2,7,2012,0.001025,6,51,6,61.24,6,20.01,6,3.651,7
2,8,2012,0.002798,6,63.5,6,86.24,6,10.68,6,0.6338,14
2,9,2012,0.002771,2,47.5,2,58.81,2,12.66,2,2.831,6
2,10,2012,0.006173,7,52,7,78.87,7,4.211,7,2.35,16
2,11,2012,0.001851,14,59,14,76.67,14,10.01,14,2.312,22
2,12,2012,0.00287,5,57,5,69.8,5,4.41,5,2.19,16
2,13,2012,0.00393,7,46,7,72.04,7,10.04,7,3.617,12
2,14,2012,0.005497,10,53,10,81.44,10,5.91,10,1.971,13
2,15,2012,0.001305,4,48,4,97.49,4,12.01,4,2.785,10
2,16,2012,0.003613,16,60.5,16,95.92,16,2.942,16,0.8586,23
2,17,2012,0.001042,15,52,15,87.81,15,8.937,15,2.211,26
2,18,2012,0.00449,11,57,11,86.76,11,4.281,11,2.853,17
2,19,2012,0.001021,20,49,20,74.96,20,5.474,20,2.432,30
2,20,2012,0.005161,16,55,16,82.3,16,4.121,16,2.131,22
2,21,2012,0.007507,14,55.5,14,82.32,14,3.66,14,1.931,20
