MlabSiteName,State,City,TransitProvider,MetroArea
ATL01,GA,Atlanta,Level3,Atlanta
ATL02,GA,Atlanta,Cogent,Atlanta
DFW01,TX,Dallas,Cogent,Dallas
IAD01,VA,Reston,XO,Washington DC
IAD02,VA,Ashburn,Cogent,Washington DC
LAX01,CA,Los Angeles,Cogent,Southern California
LGA01,NY,New York,Internap,New York
LGA02,NY,New York,Cogent,New York
MIA01,FL,Miami,Level3,Miami
MIA02,FL,Miami,Cogent,Miami
NUQ01,CA,Mountain View,Google,SF Bay Area
NUQ02,CA,Redwood,ISC,SF Bay Area
ORD01,IL,Chicago,Level3,Chicago
ORD02,IL,Chicago,Cogent,Chicago
SEA01,WA,Seattle,Cogent,Pacific Northwest
NUQ03,CA,San Jose,Cogent,SF Bay Area
